Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	INST_SPEC	TTBR_WRITE_RETIRED	BUS_CYCLES	CHAIN	L1D_CACHE_LD
2.000000	bodytrack	1	614	35.000000	5.064000	0.526000	1672045691	1684148530	1848152	1672037109	0	323776784	
4.000000	bodytrack	1	614	35.000000	5.064000	0.526000	1660014210	1677816226	1845592	1660005369	0	321971264	
2.000000	bodytrack	1	614	35.000000	5.064000	0.526000	1675791893	1690652558	1847964	1675783024	0	324653136	
2.000000	bodytrack	1	710	35.000000	5.056000	0.566000	1681221039	1679968025	1847552	1681212219	0	323003738	
4.000000	bodytrack	1	710	35.000000	5.056000	0.566000	1702031728	1699984558	1850532	1702023272	0	326943336	
2.000000	bodytrack	1	710	35.000000	5.056000	0.566000	1692233111	1690120305	1850468	1692224690	0	325076401	
2.000000	bodytrack	1	921	35.000000	5.048000	0.726000	1706080049	1671565580	1846420	1706070949	0	321511319	
4.000000	bodytrack	1	921	35.000000	5.056000	0.726000	1726352989	1692320352	1850456	1726344134	0	325394661	
2.000000	bodytrack	1	921	35.000000	5.056000	0.687000	1709474983	1675390153	1844992	1709466730	0	322091031	
4.000000	bodytrack	1	1036	36.000000	5.048000	0.848000	1725806549	1675936046	1846132	1725798030	0	322197370	
4.000000	bodytrack	1	1036	36.000000	5.048000	0.807000	1728536849	1677295375	1845240	1728527672	0	322446294	
2.000000	bodytrack	1	1036	35.000000	5.048000	0.848000	1727924787	1675158308	1845120	1727916296	0	322173796	
4.000000	bodytrack	1	1132	36.000000	5.048000	0.848000	1740635083	1681343425	1847648	1740625514	0	323325086	
4.000000	bodytrack	1	1132	36.000000	5.048000	0.848000	1753743809	1692387107	1850428	1753734758	0	325734613	
4.000000	bodytrack	1	1132	36.000000	5.048000	0.888000	1739307257	1680785201	1849024	1739298318	0	323318525	
2.000000	bodytrack	1	1224	36.000000	5.048000	0.969000	1733497783	1662580231	1842208	1733489299	0	319785075	
2.000000	bodytrack	1	1224	36.000000	5.048000	0.969000	1748957526	1674189240	1844980	1748948272	0	321947750	
4.000000	bodytrack	1	1224	36.000000	5.048000	0.969000	1750080815	1675543486	1844960	1750071813	0	322263365	
2.000000	bodytrack	1	1428	37.000000	5.032000	1.247000	1777669626	1677085880	1846532	1777660757	0	322738635	
2.000000	bodytrack	1	1428	36.000000	5.040000	1.249000	1778244756	1675952962	1844908	1778236405	0	322227989	
6.000000	bodytrack	1	1428	36.000000	5.032000	1.209000	1781286678	1677181864	1846480	1781278061	0	322925372	
2.000000	bodytrack	1	1479	38.000000	5.032000	1.247000	1801127618	1685075505	1848364	1801119155	0	323946834	
2.000000	bodytrack	1	1479	37.000000	5.032000	1.328000	1793394709	1678256131	1847016	1793386526	0	322996310	
2.000000	bodytrack	1	1479	37.000000	5.032000	1.288000	1792334712	1680331782	1846052	1792326298	0	323170356	
22.000000	dedup	1	102	35.000000	5.072000	0.243000	1465654034	1398562119	1815012	1465642869	0	262702346	
18.000000	dedup	1	102	35.000000	5.072000	0.243000	1458189631	1390448182	1813380	1458178816	0	261103038	
14.000000	dedup	1	102	35.000000	5.072000	0.243000	1461358977	1394831426	1814408	1461348015	0	262019403	
10.000000	dedup	1	204	35.000000	5.064000	0.364000	1429536979	1374982943	1812056	1429526409	0	258391389	
8.000000	dedup	1	204	35.000000	5.064000	0.364000	1428501897	1372783086	1811828	1428491544	0	258590445	
8.000000	dedup	1	204	35.000000	5.064000	0.364000	1425998092	1372480941	1811036	1425988649	0	258088067	
6.000000	dedup	1	307	35.000000	5.056000	0.444000	1422164048	1362403372	1810956	1422154115	0	256814292	
6.000000	dedup	1	307	35.000000	5.056000	0.444000	1418104281	1357484864	1810280	1418093529	0	255789393	
6.000000	dedup	1	307	35.000000	5.056000	0.485000	1411372391	1349364832	1807568	1411362444	0	253974183	
6.000000	dedup	1	403	35.000000	5.056000	0.525000	1426296754	1357115499	1809604	1426287899	0	256108416	
8.000000	dedup	1	403	35.000000	5.056000	0.525000	1425989648	1353521971	1809068	1425980905	0	255002224	
4.000000	dedup	1	403	35.000000	5.056000	0.525000	1422455624	1349053776	1808708	1422446468	0	254152058	
4.000000	dedup	1	518	36.000000	5.048000	0.605000	1433747946	1351203430	1808536	1433739014	0	254738490	
4.000000	dedup	1	518	35.000000	5.048000	0.605000	1430387749	1346398849	1809816	1430378908	0	253873968	
6.000000	dedup	1	518	35.000000	5.048000	0.605000	1450288304	1363577136	1812424	1450278728	0	257297460	
4.000000	dedup	1	614	35.000000	5.048000	0.646000	1436202291	1335686162	1804040	1436193765	0	251959487	
2.000000	dedup	1	614	35.000000	5.048000	0.686000	1436919834	1339078191	1807032	1436911280	0	252094015	
4.000000	dedup	1	614	36.000000	5.048000	0.646000	1449475552	1348524369	1808440	1449466949	0	254424867	
4.000000	dedup	1	710	36.000000	5.048000	0.726000	1442691323	1334473896	1805008	1442682363	0	251513034	
2.000000	dedup	1	710	36.000000	5.048000	0.725000	1459011030	1346638811	1810516	1459002889	0	254074404	
4.000000	dedup	1	710	36.000000	5.040000	0.726000	1444866614	1330416151	1802368	1444857724	0	250834038	
4.000000	dedup	1	921	36.000000	5.040000	0.846000	1483189874	1340820006	1806448	1483181369	0	252947618	
2.000000	dedup	1	921	36.000000	5.040000	0.887000	1480649135	1337895751	1804648	1480641239	0	252288375	
4.000000	dedup	1	921	36.000000	5.040000	0.846000	1477177332	1334180789	1805408	1477168617	0	251787611	
2.000000	dedup	1	1036	36.000000	5.040000	0.887000	1514005646	1353794519	1811540	1513997498	0	255549252	
4.000000	dedup	1	1036	36.000000	5.040000	1.008000	1501758624	1344809234	1807112	1501750266	0	253925561	
2.000000	dedup	1	1036	36.000000	5.040000	0.967000	1499859367	1337611986	1808072	1499850897	0	252543721	
2.000000	dedup	1	1132	36.000000	5.040000	0.967000	1503201202	1336477503	1806488	1503192655	0	252215680	
4.000000	dedup	1	1132	36.000000	5.040000	1.008000	1504457737	1337747559	1806376	1504449785	0	252476352	
2.000000	dedup	1	1132	36.000000	5.040000	1.006000	1500401470	1332930698	1805112	1500393693	0	251589025	
4.000000	dedup	1	1224	36.000000	5.040000	1.127000	1516200535	1336023957	1805904	1516192793	0	252312159	
4.000000	dedup	1	1224	36.000000	5.032000	1.086000	1528717464	1345017558	1810180	1528709827	0	253719787	
4.000000	dedup	1	1224	36.000000	5.040000	1.169000	1521105498	1339369784	1808776	1521097371	0	252611945	
4.000000	dedup	1	1428	37.000000	5.024000	1.406000	1553960446	1334950287	1804400	1553951836	0	252214194	
2.000000	dedup	1	1428	37.000000	5.032000	1.406000	1550439523	1339793159	1807688	1550431858	0	253263508	
2.000000	dedup	1	1428	37.000000	5.024000	1.326000	1556292574	1348080888	1808172	1556284776	0	254443443	
4.000000	dedup	1	1479	37.000000	5.024000	1.487000	1548125276	1331588955	1806312	1548117604	0	251216972	
2.000000	dedup	1	1479	37.000000	5.024000	1.366000	1564695751	1340985479	1810160	1564687652	0	253392348	
4.000000	dedup	1	1479	37.000000	5.032000	1.489000	1554161763	1336616558	1805544	1554154007	0	252430510	
16.000000	ferret	1	102	35.000000	5.072000	0.243000	1477524212	1413248700	1816384	1477512459	0	264811521	
14.000000	ferret	1	102	35.000000	5.072000	0.243000	1456260073	1398463239	1814116	1456249699	0	262122461	
16.000000	ferret	1	102	35.000000	5.064000	0.243000	1478607236	1418671677	1818540	1478596001	0	266043739	
6.000000	ferret	1	204	35.000000	5.064000	0.324000	1450923441	1400296469	1816008	1450913620	0	263001941	
8.000000	ferret	1	204	35.000000	5.072000	0.324000	1435137757	1383951523	1812164	1435127978	0	259839132	
8.000000	ferret	1	204	35.000000	5.072000	0.324000	1440968176	1384837949	1813608	1440957963	0	260154607	
6.000000	ferret	1	307	35.000000	5.072000	0.405000	1431099374	1377928239	1812368	1431089952	0	258855015	
6.000000	ferret	1	307	35.000000	5.072000	0.364000	1440915825	1380989934	1815492	1440905990	0	259745018	
6.000000	ferret	1	307	35.000000	5.072000	0.365000	1432619516	1376351107	1811260	1432609709	0	258650073	
4.000000	ferret	1	403	35.000000	5.072000	0.405000	1434763742	1366950662	1811256	1434755006	0	256978568	
4.000000	ferret	1	403	35.000000	5.072000	0.446000	1434865118	1362399307	1809136	1434856228	0	256333031	
4.000000	ferret	1	403	35.000000	5.072000	0.405000	1433710599	1364199736	1809296	1433700659	0	256248392	
4.000000	ferret	1	518	35.000000	5.072000	0.446000	1460631016	1374251525	1813652	1460622252	0	258956699	
4.000000	ferret	1	518	35.000000	5.072000	0.446000	1444995815	1364343336	1810152	1444987408	0	256526973	
2.000000	ferret	1	518	35.000000	5.072000	0.446000	1445914169	1361048305	1810336	1445905097	0	256180562	
4.000000	ferret	1	614	35.000000	5.072000	0.486000	1463601416	1365201298	1813352	1463592582	0	257166876	
4.000000	ferret	1	614	35.000000	5.072000	0.486000	1456187212	1355996984	1808432	1456178623	0	255307565	
4.000000	ferret	1	614	35.000000	5.072000	0.486000	1459459460	1362081688	1810836	1459451074	0	256670744	
4.000000	ferret	1	710	35.000000	5.072000	0.486000	1469822862	1359012105	1809936	1469813685	0	255937737	
2.000000	ferret	1	710	35.000000	5.064000	0.486000	1468887024	1360965724	1810704	1468878435	0	255986356	
2.000000	ferret	1	710	35.000000	5.064000	0.486000	1472613362	1360897302	1809680	1472604997	0	255925924	
4.000000	ferret	1	921	35.000000	5.064000	0.607000	1507381011	1365028658	1811964	1507372548	0	256963703	
4.000000	ferret	1	921	35.000000	5.064000	0.567000	1502788620	1356452407	1809272	1502779751	0	255373137	
4.000000	ferret	1	921	36.000000	5.064000	0.567000	1508194311	1368519545	1813204	1508185547	0	257721825	
2.000000	ferret	1	1036	36.000000	5.064000	0.607000	1507553132	1349713371	1807668	1507544963	0	254303233	
2.000000	ferret	1	1036	36.000000	5.064000	0.688000	1517123700	1356203026	1809532	1517115881	0	255491706	
2.000000	ferret	1	1036	35.000000	5.064000	0.607000	1520993072	1361326589	1810756	1520984812	0	256420818	
2.000000	ferret	1	1132	35.000000	5.064000	0.607000	1543829144	1376755419	1815704	1543821087	0	259845841	
4.000000	ferret	1	1132	35.000000	5.064000	0.648000	1525885869	1362443826	1810608	1525877833	0	256589266	
2.000000	ferret	1	1132	35.000000	5.064000	0.648000	1517875539	1356670636	1809356	1517867811	0	255487972	
2.000000	ferret	1	1224	35.000000	5.064000	0.728000	1533758458	1352930273	1810420	1533750653	0	254960790	
4.000000	ferret	1	1224	36.000000	5.064000	0.728000	1520949146	1346846291	1807408	1520941306	0	253899843	
