Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	EXC_PABORT	EXC_DABORT	0EXC_IRQ	0EXC_FIQ	0EXC_SMC
3.000000	streamcluster	1	1479	35.000000	5.040000	1.370000	1532079402	9736	77249	414	0	337	
2.000000	streamcluster	1	1479	34.000000	5.040000	1.411000	1522954597	9413	76877	469	0	327	
20.000000	vips	1	102	32.000000	5.072000	0.243000	1603850807	10178	78441	4547	0	344	
16.000000	vips	1	102	33.000000	5.072000	0.243000	1605048300	9833	78803	5085	0	332	
14.000000	vips	1	102	32.000000	5.072000	0.243000	1605833955	10231	78481	5187	0	333	
7.000000	vips	1	204	33.000000	5.072000	0.324000	1560783387	9518	78770	2681	0	343	
8.000000	vips	1	204	33.000000	5.072000	0.324000	1565480069	10127	78717	2667	0	326	
7.000000	vips	1	204	32.000000	5.072000	0.324000	1565361858	9853	78497	2679	0	339	
6.000000	vips	1	307	32.000000	5.072000	0.365000	1555448972	9849	78504	1847	0	323	
6.000000	vips	1	307	32.000000	5.072000	0.365000	1551990075	9530	78224	1987	0	325	
5.000000	vips	1	307	32.000000	5.064000	0.364000	1560864475	9795	78777	1944	0	329	
4.000000	vips	1	403	33.000000	5.072000	0.405000	1567585340	9847	78794	1475	0	329	
5.000000	vips	1	403	32.000000	5.072000	0.446000	1564383335	9852	78754	1496	0	331	
5.000000	vips	1	403	32.000000	5.072000	0.405000	1567510545	10523	78163	1481	0	327	
4.000000	vips	1	518	33.000000	5.072000	0.486000	1579377941	10215	78752	1245	0	329	
3.000000	vips	1	518	32.000000	5.072000	0.486000	1564607893	9843	78396	1077	0	327	
5.000000	vips	1	518	33.000000	5.064000	0.445000	1573080199	9807	78489	1165	0	333	
4.000000	vips	1	614	33.000000	5.064000	0.526000	1590769241	10518	78735	1003	0	330	
3.000000	vips	1	614	33.000000	5.064000	0.526000	1585745222	9821	78745	1023	0	330	
4.000000	vips	1	614	33.000000	5.072000	0.486000	1588944822	10208	78469	954	0	328	
3.000000	vips	1	710	33.000000	5.064000	0.567000	1590510200	9853	78129	1023	0	327	
3.000000	vips	1	710	33.000000	5.064000	0.526000	1589150205	9500	78522	874	0	328	
3.000000	vips	1	710	33.000000	5.064000	0.567000	1605625505	10845	78724	913	0	327	
3.000000	vips	1	921	33.000000	5.064000	0.648000	1624679836	9867	78478	834	0	336	
3.000000	vips	1	921	33.000000	5.064000	0.648000	1633451411	9828	79071	826	0	331	
3.000000	vips	1	921	33.000000	5.064000	0.648000	1637959803	10200	79162	816	0	328	
3.000000	vips	1	1036	34.000000	5.064000	0.729000	1654212316	10197	79417	635	0	325	
3.000000	vips	1	1036	33.000000	5.064000	0.729000	1648073792	9823	79430	635	0	329	
3.000000	vips	1	1036	33.000000	5.064000	0.729000	1641390376	9839	78523	692	0	328	
3.000000	vips	1	1132	34.000000	5.064000	0.728000	1642617452	10179	78142	529	0	327	
3.000000	vips	1	1132	33.000000	5.064000	0.729000	1647182774	9825	78489	702	0	330	
3.000000	vips	1	1132	33.000000	5.056000	0.768000	1639190370	9530	78779	710	0	325	
2.000000	vips	1	1224	33.000000	5.064000	0.849000	1666182149	10137	78442	516	0	327	
3.000000	vips	1	1224	33.000000	5.056000	0.849000	1665683085	9862	78502	709	0	328	
3.000000	vips	1	1224	34.000000	5.056000	0.849000	1668241173	10167	78434	522	0	330	
3.000000	vips	1	1428	34.000000	5.048000	1.090000	1687553232	9842	78487	508	0	329	
3.000000	vips	1	1428	34.000000	5.048000	1.130000	1686323505	9912	78480	491	0	327	
3.000000	vips	1	1428	34.000000	5.048000	1.130000	1679856065	9499	78133	592	0	324	
3.000000	vips	1	1479	34.000000	5.048000	1.251000	1704551050	9845	78450	504	0	324	
3.000000	vips	1	1479	34.000000	5.048000	1.211000	1699237623	9864	78828	458	0	330	
3.000000	vips	1	1479	33.000000	5.048000	1.171000	1704148493	10185	78824	419	0	326	
14.000000	x264	1	102	33.000000	5.072000	0.243000	1449914955	10143	77807	4816	0	327	
14.000000	x264	1	102	32.000000	5.072000	0.243000	1443140408	10108	77836	4128	0	346	
14.000000	x264	1	102	32.000000	5.072000	0.243000	1446199491	10099	77508	4641	0	347	
7.000000	x264	1	204	33.000000	5.072000	0.324000	1415260161	10100	77793	2509	0	331	
7.000000	x264	1	204	33.000000	5.072000	0.324000	1403881077	9469	77835	2360	0	329	
7.000000	x264	1	204	33.000000	5.072000	0.324000	1412253537	10181	77802	2443	0	335	
6.000000	x264	1	307	32.000000	5.072000	0.365000	1409091312	10120	78118	1584	0	327	
5.000000	x264	1	307	33.000000	5.072000	0.365000	1416148675	10149	78363	1672	0	329	
5.000000	x264	1	307	33.000000	5.072000	0.365000	1430288481	11162	78376	1764	0	324	
4.000000	x264	1	403	33.000000	5.064000	0.405000	1426594164	10469	78787	1418	0	324	
5.000000	x264	1	403	33.000000	5.064000	0.405000	1409555416	9794	77832	1278	0	328	
5.000000	x264	1	403	33.000000	5.064000	0.405000	1428178958	10819	77787	1416	0	327	
4.000000	x264	1	518	33.000000	5.072000	0.446000	1421811151	9826	78125	1029	0	329	
4.000000	x264	1	518	32.000000	5.064000	0.445000	1415470200	9423	78453	1049	0	327	
3.000000	x264	1	518	32.000000	5.072000	0.446000	1422511254	9836	77821	1061	0	330	
4.000000	x264	1	614	32.000000	5.072000	0.486000	1433955241	10142	77814	933	0	333	
4.000000	x264	1	614	33.000000	5.072000	0.486000	1424420772	9488	77549	941	0	331	
3.000000	x264	1	614	33.000000	5.072000	0.446000	1440139211	10166	78394	954	0	330	
4.000000	x264	1	710	33.000000	5.072000	0.486000	1451051128	10167	78138	867	0	331	
4.000000	x264	1	710	33.000000	5.072000	0.486000	1442872540	10097	77476	844	0	329	
3.000000	x264	1	710	33.000000	5.064000	0.486000	1447057122	9459	78400	822	0	328	
3.000000	x264	1	921	33.000000	5.064000	0.567000	1475044145	9823	78497	564	0	329	
3.000000	x264	1	921	33.000000	5.064000	0.567000	1473605780	10121	77525	540	0	329	
3.000000	x264	1	921	33.000000	5.064000	0.567000	1469449375	9814	77522	654	0	327	
3.000000	x264	1	1036	33.000000	5.064000	0.607000	1491488470	9793	78162	497	0	325	
3.000000	x264	1	1036	33.000000	5.064000	0.648000	1494215676	9781	78496	555	0	327	
2.000000	x264	1	1036	33.000000	5.064000	0.607000	1486861402	9817	77774	482	0	328	
3.000000	x264	1	1132	33.000000	5.056000	0.687000	1505633212	10508	77780	610	0	328	
3.000000	x264	1	1132	33.000000	5.064000	0.648000	1495244915	9794	78383	576	0	323	
3.000000	x264	1	1132	33.000000	5.064000	0.648000	1509199842	10796	77773	575	0	326	
2.000000	x264	1	1224	33.000000	5.064000	0.729000	1503209803	9818	77491	460	0	330	
3.000000	x264	1	1224	33.000000	5.064000	0.729000	1497216297	9443	77544	491	0	329	
3.000000	x264	1	1224	33.000000	5.064000	0.729000	1504046296	9438	77835	474	0	327	
3.000000	x264	1	1428	33.000000	5.056000	0.930000	1539862247	9865	78152	473	0	329	
3.000000	x264	1	1428	34.000000	5.056000	0.970000	1539803607	9786	78161	501	0	329	
2.000000	x264	1	1428	33.000000	5.056000	0.930000	1542471995	10133	78432	363	0	329	
3.000000	x264	1	1479	33.000000	5.056000	0.970000	1530768869	9498	77498	405	0	328	
3.000000	x264	1	1479	33.000000	5.056000	0.970000	1550812511	10137	77791	411	0	329	
3.000000	x264	1	1479	34.000000	5.032000	1.650000	1541737308	9829	77818	405	0	322	
