Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	EXC_PABORT	EXC_DABORT	0EXC_IRQ	0EXC_FIQ	0EXC_SMC
3.000000	bodytrack	1	1036	33.000000	5.056000	0.848000	1725554924	9780	79472	665	0	330	
3.000000	bodytrack	1	1036	33.000000	5.056000	0.808000	1732892997	9805	80121	822	0	324	
3.000000	bodytrack	1	1036	33.000000	5.056000	0.728000	1739201802	10783	79439	767	0	332	
3.000000	bodytrack	1	1132	33.000000	5.048000	0.848000	1738097790	10166	79815	615	0	326	
3.000000	bodytrack	1	1132	33.000000	5.048000	0.848000	1733765995	9780	79492	722	0	332	
3.000000	bodytrack	1	1132	34.000000	5.048000	0.848000	1723009762	9509	79175	612	0	332	
3.000000	bodytrack	1	1224	34.000000	5.048000	0.969000	1764724179	10784	79765	636	0	330	
2.000000	bodytrack	1	1224	33.000000	5.048000	0.928000	1754455524	10155	79462	566	0	330	
3.000000	bodytrack	1	1224	33.000000	5.048000	0.969000	1758129613	10502	79463	632	0	331	
3.000000	bodytrack	1	1428	34.000000	5.040000	1.209000	1777195315	9811	79479	555	0	330	
2.000000	bodytrack	1	1428	35.000000	5.040000	1.169000	1781011702	9800	79148	610	0	328	
3.000000	bodytrack	1	1428	34.000000	5.040000	1.209000	1770075303	9449	79172	581	0	330	
3.000000	bodytrack	1	1479	35.000000	5.032000	1.330000	1783688616	9745	79152	489	0	333	
3.000000	bodytrack	1	1479	35.000000	5.040000	1.290000	1797755038	10139	79783	548	0	331	
3.000000	bodytrack	1	1479	34.000000	5.040000	1.290000	1789159590	9787	79492	581	0	334	
22.000000	dedup	1	102	32.000000	5.072000	0.243000	1458924955	9773	79239	4877	0	336	
29.000000	dedup	1	102	33.000000	5.072000	0.243000	1457106977	9782	78656	4721	0	336	
19.000000	dedup	1	102	33.000000	5.072000	0.243000	1453276360	9827	78437	4808	0	337	
8.000000	dedup	1	204	33.000000	5.064000	0.364000	1416356205	9816	78326	2457	0	337	
8.000000	dedup	1	204	33.000000	5.064000	0.364000	1414353098	10137	78390	2373	0	331	
8.000000	dedup	1	204	33.000000	5.064000	0.364000	1418075256	9795	79252	2400	0	325	
5.000000	dedup	1	307	33.000000	5.064000	0.445000	1422409985	10486	78950	1651	0	332	
6.000000	dedup	1	307	33.000000	5.056000	0.444000	1419672839	10168	78982	1622	0	328	
5.000000	dedup	1	307	33.000000	5.056000	0.444000	1421240844	10126	79234	1649	0	327	
8.000000	dedup	1	403	33.000000	5.056000	0.525000	1405191241	9471	78332	1286	0	325	
4.000000	dedup	1	403	33.000000	5.056000	0.525000	1424866040	10462	78642	1341	0	325	
4.000000	dedup	1	403	33.000000	5.056000	0.525000	1425725218	10147	78970	1345	0	328	
4.000000	dedup	1	518	33.000000	5.056000	0.606000	1431428230	10434	78122	1045	0	330	
4.000000	dedup	1	518	33.000000	5.056000	0.606000	1432787839	10495	79027	1026	0	332	
4.000000	dedup	1	518	33.000000	5.056000	0.566000	1424894279	9851	78612	1005	0	333	
3.000000	dedup	1	614	33.000000	5.048000	0.647000	1438152097	9794	78945	807	0	332	
5.000000	dedup	1	614	33.000000	5.048000	0.646000	1441786399	9806	78962	896	0	328	
3.000000	dedup	1	614	33.000000	5.056000	0.647000	1434864317	9797	78669	895	0	328	
3.000000	dedup	1	710	33.000000	5.048000	0.726000	1441847238	9440	77825	887	0	325	
4.000000	dedup	1	710	33.000000	5.048000	0.686000	1457040175	10090	78627	832	0	339	
4.000000	dedup	1	710	33.000000	5.048000	0.767000	1441778726	9474	78948	789	0	329	
3.000000	dedup	1	921	33.000000	5.040000	0.927000	1469748881	9469	78675	598	0	334	
3.000000	dedup	1	921	33.000000	5.048000	0.848000	1496448853	10097	79581	680	0	331	
4.000000	dedup	1	921	33.000000	5.040000	0.846000	1481498369	9771	78150	598	0	323	
3.000000	dedup	1	1036	33.000000	5.040000	0.967000	1496699722	9800	78357	589	0	332	
3.000000	dedup	1	1036	33.000000	5.040000	0.967000	1505385069	10499	78631	557	0	324	
4.000000	dedup	1	1036	33.000000	5.040000	0.967000	1493313868	9801	77832	602	0	324	
3.000000	dedup	1	1132	33.000000	5.048000	1.048000	1514637996	10446	78922	499	0	329	
4.000000	dedup	1	1132	33.000000	5.040000	0.967000	1508186480	10152	78126	595	0	324	
3.000000	dedup	1	1132	33.000000	5.040000	1.008000	1508714619	10148	78640	510	0	330	
3.000000	dedup	1	1224	34.000000	5.040000	1.048000	1519778789	10179	78335	450	0	325	
3.000000	dedup	1	1224	34.000000	5.040000	1.048000	1530824438	10159	78755	468	0	328	
3.000000	dedup	1	1224	34.000000	5.040000	1.088000	1543539847	11140	78630	548	0	330	
2.000000	dedup	1	1428	34.000000	5.032000	1.408000	1546059203	9815	78430	498	0	325	
3.000000	dedup	1	1428	34.000000	5.032000	1.408000	1540843574	9768	78142	434	0	331	
3.000000	dedup	1	1428	34.000000	5.032000	1.408000	1547092279	10154	78317	401	0	329	
3.000000	dedup	1	1479	34.000000	5.032000	1.368000	1569630629	10475	79211	395	0	332	
3.000000	dedup	1	1479	34.000000	5.032000	1.487000	1566106550	10182	78988	433	0	330	
3.000000	dedup	1	1479	35.000000	5.032000	1.489000	1580617588	10839	79263	403	0	332	
15.000000	ferret	1	102	33.000000	5.072000	0.243000	1468022449	10098	78493	4291	0	325	
14.000000	ferret	1	102	32.000000	5.072000	0.243000	1463239140	10134	77855	4290	0	338	
26.000000	ferret	1	102	32.000000	5.080000	0.243000	1479757664	10482	78742	4275	0	336	
7.000000	ferret	1	204	32.000000	5.072000	0.324000	1452834214	10098	79099	2655	0	346	
6.000000	ferret	1	204	32.000000	5.072000	0.324000	1436090756	9845	78483	2455	0	334	
