Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	L2D_CACHE	L2D_CACHE_REFILL	L2D_CACHE_WB	BUS_ACCESS	MEMORY_ERROR
4.000000	bodytrack	1	614	37.000000	5.056000	0.525000	1662455520	46111143	5414418	1416617	33240201	0	
3.000000	bodytrack	1	710	37.000000	5.056000	0.566000	1676930349	46185712	5356650	1404792	32886340	0	
4.000000	bodytrack	1	710	38.000000	5.056000	0.606000	1678874549	46486605	5444744	1423608	33386764	0	
3.000000	bodytrack	1	710	38.000000	5.056000	0.566000	1680109148	45907997	5410590	1421086	33259443	0	
3.000000	bodytrack	1	921	37.000000	5.040000	0.725000	1714547196	45845286	5327534	1417596	32894432	0	
3.000000	bodytrack	1	921	38.000000	5.048000	0.726000	1713367023	45915892	5290079	1400004	32573837	0	
3.000000	bodytrack	1	921	38.000000	5.056000	0.726000	1707959346	45616075	5211103	1390756	32290721	0	
3.000000	bodytrack	1	1036	38.000000	5.048000	0.848000	1729240683	45879300	5232367	1409720	32434980	0	
3.000000	bodytrack	1	1036	38.000000	5.048000	0.848000	1725120731	45530695	5175068	1402210	32166947	0	
3.000000	bodytrack	1	1036	38.000000	5.048000	0.848000	1716564248	45255411	5118324	1390219	31804799	0	
3.000000	bodytrack	1	1132	38.000000	5.048000	0.888000	1739609635	45854065	5222430	1422600	32529221	0	
3.000000	bodytrack	1	1132	38.000000	5.048000	0.888000	1746812641	46576854	5234800	1422295	32544114	0	
3.000000	bodytrack	1	1132	38.000000	5.048000	0.848000	1735119043	45621725	5129647	1412100	32028117	0	
2.000000	bodytrack	1	1224	38.000000	5.032000	0.967000	1748179241	45824391	5180853	1421966	32301977	0	
3.000000	bodytrack	1	1224	38.000000	5.048000	0.969000	1761342521	45417625	5143051	1421981	32110487	0	
2.000000	bodytrack	1	1224	38.000000	5.048000	0.969000	1740442920	44978003	5094850	1397336	31760226	0	
2.000000	bodytrack	1	1428	38.000000	5.040000	1.209000	1790529487	45283615	5138308	1428066	32166841	0	
3.000000	bodytrack	1	1428	38.000000	5.032000	1.207000	1772199897	45038304	5041062	1401379	31605540	0	
2.000000	bodytrack	1	1428	38.000000	5.032000	1.288000	1794724065	45789558	5133263	1419971	32118528	0	
2.000000	bodytrack	1	1479	39.000000	5.032000	1.328000	1776861393	45266973	5042363	1401805	31625259	0	
3.000000	bodytrack	1	1479	38.000000	5.032000	1.328000	1793621470	45122714	5081150	1417143	31903832	0	
2.000000	bodytrack	1	1479	39.000000	5.032000	1.328000	1782865850	45107452	5015853	1395394	31497365	0	
15.000000	dedup	1	102	38.000000	5.072000	0.284000	1477858500	51718445	6674015	1469586	38057177	0	
16.000000	dedup	1	102	37.000000	5.064000	0.283000	1449918791	50696679	6540605	1460593	37467502	0	
17.000000	dedup	1	102	37.000000	5.072000	0.243000	1441882632	50264209	6470429	1442743	37092051	0	
8.000000	dedup	1	204	37.000000	5.064000	0.364000	1441602088	47482270	6043661	1438614	35337901	0	
7.000000	dedup	1	204	37.000000	5.056000	0.364000	1406369131	46651814	5709108	1418528	33946024	0	
9.000000	dedup	1	204	37.000000	5.064000	0.364000	1422865153	47581867	6022569	1439456	35293361	0	
6.000000	dedup	1	307	37.000000	5.056000	0.485000	1413558133	45709923	5632576	1403556	33421486	0	
5.000000	dedup	1	307	37.000000	5.056000	0.485000	1423573018	45950260	5626029	1431939	33721960	0	
6.000000	dedup	1	307	37.000000	5.056000	0.485000	1408021522	45194412	5646291	1422280	33675926	0	
4.000000	dedup	1	403	37.000000	5.056000	0.525000	1425635440	45065852	5333427	1425602	32360231	0	
5.000000	dedup	1	403	37.000000	5.056000	0.525000	1419726998	45161699	5519139	1422142	33216110	0	
4.000000	dedup	1	403	37.000000	5.048000	0.525000	1411920111	44499586	5362385	1416789	32574849	0	
4.000000	dedup	1	518	38.000000	5.048000	0.605000	1425737981	43920965	5185315	1404335	31691024	0	
4.000000	dedup	1	518	37.000000	5.048000	0.605000	1423364364	44038580	5078772	1393344	31177431	0	
4.000000	dedup	1	518	37.000000	5.048000	0.605000	1436795716	44778187	5302437	1434906	32313546	0	
3.000000	dedup	1	614	37.000000	5.048000	0.686000	1439097298	43604018	5211691	1434370	31949627	0	
4.000000	dedup	1	614	37.000000	5.048000	0.686000	1448096080	43937086	5165281	1426176	31834514	0	
4.000000	dedup	1	614	37.000000	5.048000	0.686000	1428841511	43865559	5130880	1404822	31513200	0	
4.000000	dedup	1	710	37.000000	5.040000	0.806000	1447006210	43119690	4968528	1397669	30791950	0	
4.000000	dedup	1	710	38.000000	5.040000	0.766000	1460359834	43999994	5076616	1417960	31346428	0	
3.000000	dedup	1	710	38.000000	5.040000	0.725000	1459050661	43869741	5094973	1414655	31386670	0	
3.000000	dedup	1	921	38.000000	5.040000	0.846000	1491898118	43704907	4966263	1418509	30934904	0	
4.000000	dedup	1	921	38.000000	5.040000	0.887000	1484931005	43390299	4943157	1381101	30589898	0	
3.000000	dedup	1	921	38.000000	5.040000	0.766000	1498358969	43511435	5079712	1428230	31595389	0	
3.000000	dedup	1	1036	38.000000	5.024000	1.004000	1500345089	43088822	4819087	1390545	30074089	0	
3.000000	dedup	1	1036	38.000000	5.040000	0.887000	1495062799	42730276	4790282	1388235	29976836	0	
3.000000	dedup	1	1036	38.000000	5.040000	1.008000	1487499716	42976739	4849870	1416329	30381397	0	
3.000000	dedup	1	1132	38.000000	5.040000	1.008000	1515574231	43342019	4958157	1434191	30898616	0	
3.000000	dedup	1	1132	38.000000	5.040000	0.967000	1503435999	42805456	4866174	1420174	30465824	0	
3.000000	dedup	1	1132	38.000000	5.032000	0.967000	1507949247	43059863	4812846	1388481	30070923	0	
3.000000	dedup	1	1224	38.000000	5.040000	1.008000	1523801293	42850866	4889104	1410042	30556772	0	
3.000000	dedup	1	1224	38.000000	5.032000	1.167000	1514908309	42800992	4799463	1401919	30105351	0	
3.000000	dedup	1	1224	38.000000	5.032000	1.086000	1521996795	43331892	4780390	1388721	29989386	0	
3.000000	dedup	1	1428	38.000000	5.032000	1.328000	1563863795	43258773	4741526	1416908	30182573	0	
3.000000	dedup	1	1428	38.000000	5.032000	1.446000	1538047910	42497535	4762061	1411418	29984308	0	
2.000000	dedup	1	1428	38.000000	5.032000	1.288000	1549685678	42679858	4735585	1391392	29712444	0	
3.000000	dedup	1	1479	39.000000	5.024000	1.487000	1564836752	42716534	4786618	1421676	30115562	0	
2.000000	dedup	1	1479	39.000000	5.024000	1.527000	1568342857	42808299	4905894	1441356	30762160	0	
3.000000	dedup	1	1479	38.000000	5.024000	1.487000	1579672297	43056687	4858355	1433695	30536851	0	
15.000000	ferret	1	102	37.000000	5.064000	0.243000	1471771296	50454492	6152389	1356445	35409698	0	
17.000000	ferret	1	102	37.000000	5.072000	0.243000	1469551549	50430895	5987061	1361060	34658521	0	
16.000000	ferret	1	102	37.000000	5.072000	0.243000	1483139546	51004886	6156243	1388547	35518881	0	
7.000000	ferret	1	204	37.000000	5.064000	0.324000	1444948425	47207428	5670333	1344961	33301766	0	
6.000000	ferret	1	204	37.000000	5.072000	0.324000	1445882550	47544514	6318289	1404526	36332968	0	
7.000000	ferret	1	204	37.000000	5.064000	0.324000	1441242093	47345612	6043341	1366935	34967735	0	
5.000000	ferret	1	307	37.000000	5.064000	0.405000	1423485246	45482034	5251148	1332972	31563075	0	
5.000000	ferret	1	307	37.000000	5.064000	0.364000	1431051663	45757253	5535547	1335932	32739698	0	
5.000000	ferret	1	307	37.000000	5.072000	0.405000	1421188931	45014870	5382810	1333393	32140074	0	
4.000000	ferret	1	403	37.000000	5.072000	0.405000	1440845488	44790224	5331056	1323841	31819665	0	
4.000000	ferret	1	403	37.000000	5.064000	0.445000	1442321644	45045975	5302694	1316651	31707584	0	
5.000000	ferret	1	403	37.000000	5.072000	0.405000	1428118205	44450403	5387022	1339458	32172339	0	
4.000000	ferret	1	518	37.000000	5.072000	0.445000	1453216682	44671576	5195445	1338038	31532352	0	
3.000000	ferret	1	518	37.000000	5.072000	0.446000	1447769670	44608321	5190706	1316755	31190455	0	
4.000000	ferret	1	518	37.000000	5.072000	0.446000	1452788778	44308246	5104019	1318810	31077133	0	
4.000000	ferret	1	614	37.000000	5.072000	0.486000	1460057928	44285003	5103364	1328170	30955151	0	
3.000000	ferret	1	614	37.000000	5.072000	0.446000	1467972946	43740637	5076473	1326357	30819859	0	
4.000000	ferret	1	614	37.000000	5.072000	0.486000	1451903624	43934405	5085613	1323970	30931837	0	
4.000000	ferret	1	710	37.000000	5.064000	0.526000	1476268999	43538330	4991681	1318835	30497258	0	
3.000000	ferret	1	710	37.000000	5.064000	0.486000	1460590372	43388950	4877579	1289321	29825430	0	
3.000000	ferret	1	710	37.000000	5.064000	0.526000	1470871481	43614122	4983515	1319829	30577306	0	
3.000000	ferret	1	921	38.000000	5.064000	0.567000	1497543750	43426830	4852585	1306268	29872046	0	
3.000000	ferret	1	921	37.000000	5.064000	0.567000	1497636848	42896920	4861641	1305482	29792358	0	
3.000000	ferret	1	921	37.000000	5.064000	0.607000	1498836865	43379494	4864036	1315995	30002440	0	
3.000000	ferret	1	1036	37.000000	5.064000	0.648000	1523833810	42991681	4877679	1314543	29933624	0	
3.000000	ferret	1	1036	37.000000	5.056000	0.687000	1533009017	43130986	4839119	1310729	29768350	0	
3.000000	ferret	1	1036	37.000000	5.064000	0.648000	1512485578	43281362	4767205	1287263	29294599	0	
3.000000	ferret	1	1132	37.000000	5.064000	0.688000	1531364090	42886511	4827212	1306850	29741149	0	
3.000000	ferret	1	1132	37.000000	5.064000	0.648000	1526169609	43075417	4782880	1300576	29538324	0	
2.000000	ferret	1	1132	37.000000	5.064000	0.648000	1512031481	42438633	4639527	1309967	29093557	0	
3.000000	ferret	1	1224	37.000000	5.056000	0.728000	1532590687	42755005	4702589	1291920	29060317	0	
3.000000	ferret	1	1224	38.000000	5.056000	0.728000	1545980838	43159633	4839409	1313465	29759192	0	
3.000000	ferret	1	1224	38.000000	5.064000	0.728000	1535159357	43005427	4731220	1324763	29496292	0	
3.000000	ferret	1	1428	38.000000	5.056000	0.930000	1572658667	42949491	4743746	1316505	29453354	0	
3.000000	ferret	1	1428	37.000000	5.056000	0.930000	1566078012	42625672	4690378	1317382	29269442	0	
3.000000	ferret	1	1428	37.000000	5.056000	0.930000	1563938362	42565096	4690005	1311273	29241074	0	
3.000000	ferret	1	1479	38.000000	5.056000	0.970000	1564774548	42535364	4655602	1300579	28992475	0	
3.000000	ferret	1	1479	38.000000	5.056000	0.970000	1590999851	43102490	4761143	1322507	29534171	0	
3.000000	ferret	1	1479	37.000000	5.048000	1.009000	1574268431	42729841	4638624	1294736	28860182	0	
21.000000	fluidanimate	1	102	37.000000	5.064000	0.283000	1482861031	50688547	6351827	1382590	36482637	0	
20.000000	fluidanimate	1	102	37.000000	5.064000	0.243000	1497462149	51356784	6506658	1426361	37497860	0	
21.000000	fluidanimate	1	102	37.000000	5.072000	0.283000	1481730004	50802076	6501807	1389908	37159998	0	
7.000000	fluidanimate	1	204	37.000000	5.056000	0.364000	1456960892	47106524	5958545	1376002	34882024	0	
8.000000	fluidanimate	1	204	37.000000	5.064000	0.364000	1449655712	46952978	5718764	1383170	33931589	0	
8.000000	fluidanimate	1	204	37.000000	5.064000	0.364000	1473998454	47573866	5945328	1377442	34760405	0	
5.000000	fluidanimate	1	307	37.000000	5.064000	0.444000	1450326487	45662115	5475580	1349318	32740431	0	
5.000000	fluidanimate	1	307	37.000000	5.056000	0.445000	1456376762	45945028	5660726	1379171	33688116	0	
5.000000	fluidanimate	1	307	37.000000	5.056000	0.444000	1452506219	45616523	5636019	1375715	33495220	0	
4.000000	fluidanimate	1	403	37.000000	5.056000	0.525000	1461463169	44870069	5194591	1353396	31648457	0	
4.000000	fluidanimate	1	403	37.000000	5.056000	0.525000	1451907715	44777176	5475818	1376804	32969695	0	
5.000000	fluidanimate	1	403	37.000000	5.056000	0.525000	1469007097	45188556	5452469	1352485	32683995	0	
4.000000	fluidanimate	1	518	37.000000	5.048000	0.605000	1466853676	44406079	5247753	1357602	31929485	0	
4.000000	fluidanimate	1	518	37.000000	5.048000	0.566000	1461094502	43641241	5043042	1327424	30838922	0	
4.000000	fluidanimate	1	518	37.000000	5.048000	0.605000	1465774566	44095290	5176278	1350812	31573764	0	
3.000000	fluidanimate	1	614	37.000000	5.048000	0.646000	1477302697	43924935	5091644	1350459	31361238	0	
