Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	L2D_CACHE	L2D_CACHE_REFILL	L2D_CACHE_WB	BUS_ACCESS	MEMORY_ERROR
4.000000	streamcluster	1	614	37.000000	5.048000	0.686000	1440027773	42803047	4970854	1281077	30103708	0	
3.000000	streamcluster	1	710	37.000000	5.040000	0.766000	1438469655	42444939	4765366	1271486	29176497	0	
3.000000	streamcluster	1	710	37.000000	5.048000	0.767000	1423927773	41980155	4784163	1260471	29217381	0	
3.000000	streamcluster	1	710	37.000000	5.048000	0.686000	1435098041	42860951	4873934	1280760	29689359	0	
3.000000	streamcluster	1	921	37.000000	5.048000	0.888000	1457534067	41907188	4704867	1271448	28936395	0	
3.000000	streamcluster	1	921	37.000000	5.040000	0.846000	1458692427	41842015	4709924	1265669	28928979	0	
3.000000	streamcluster	1	921	37.000000	5.040000	0.887000	1483838458	42481214	4806755	1273810	29365225	0	
3.000000	streamcluster	1	1036	37.000000	5.040000	0.927000	1478756548	41829749	4671901	1273211	28749194	0	
4.000000	streamcluster	1	1036	37.000000	5.048000	0.928000	1466370512	41758715	4569902	1262589	28321918	0	
3.000000	streamcluster	1	1036	37.000000	5.048000	0.927000	1471512257	41659732	4537907	1245446	28182751	0	
3.000000	streamcluster	1	1132	37.000000	5.040000	0.927000	1479833906	41760407	4562521	1236051	28093840	0	
3.000000	streamcluster	1	1132	37.000000	5.048000	0.969000	1479123441	41495896	4577007	1244875	28200964	0	
3.000000	streamcluster	1	1132	37.000000	5.048000	0.928000	1476087333	41704562	4534238	1253241	28158558	0	
3.000000	streamcluster	1	1224	38.000000	5.040000	1.048000	1482741802	41291333	4548369	1252398	28213768	0	
3.000000	streamcluster	1	1224	37.000000	5.040000	1.048000	1499387075	41775648	4562967	1258914	28258949	0	
3.000000	streamcluster	1	1224	38.000000	5.040000	1.048000	1495814986	41937426	4626310	1279447	28705772	0	
3.000000	streamcluster	1	1428	38.000000	5.040000	1.288000	1519511909	41498370	4468634	1272399	28051581	0	
3.000000	streamcluster	1	1428	38.000000	5.040000	1.330000	1524012629	41398819	4505367	1269467	28100666	0	
2.000000	streamcluster	1	1428	38.000000	5.040000	1.209000	1533712814	41639057	4500585	1269485	28150412	0	
3.000000	streamcluster	1	1479	38.000000	5.032000	1.368000	1527930659	41461207	4440175	1247389	27657834	0	
3.000000	streamcluster	1	1479	38.000000	5.032000	1.368000	1538226722	41610020	4556626	1268343	28290606	0	
3.000000	streamcluster	1	1479	38.000000	5.032000	1.408000	1533805435	41371691	4524167	1268780	28221323	0	
16.000000	vips	1	102	37.000000	5.072000	0.243000	1606195915	53486337	6436721	1435726	36851630	0	
17.000000	vips	1	102	37.000000	5.072000	0.243000	1604729076	53716822	6572711	1440572	37413365	0	
19.000000	vips	1	102	36.000000	5.064000	0.283000	1595689908	53460082	6601311	1453199	37636722	0	
6.000000	vips	1	204	37.000000	5.072000	0.324000	1572890217	49967809	5935204	1361598	34476727	0	
7.000000	vips	1	204	36.000000	5.064000	0.324000	1563865394	49791277	5598714	1371327	33051358	0	
7.000000	vips	1	204	36.000000	5.064000	0.324000	1567621202	50248638	6075811	1392383	35121285	0	
6.000000	vips	1	307	36.000000	5.064000	0.364000	1564943810	48420388	5411826	1348483	32220548	0	
5.000000	vips	1	307	36.000000	5.064000	0.405000	1567147064	48705584	5612531	1363007	33063906	0	
5.000000	vips	1	307	37.000000	5.072000	0.365000	1561618974	48244526	5561106	1352020	32794940	0	
4.000000	vips	1	403	36.000000	5.072000	0.405000	1566460395	47417741	5371599	1355797	32194472	0	
5.000000	vips	1	403	36.000000	5.064000	0.445000	1566506573	47886576	5447846	1351231	32443060	0	
4.000000	vips	1	403	37.000000	5.064000	0.445000	1567721439	47608424	5368740	1343696	32076533	0	
3.000000	vips	1	518	37.000000	5.064000	0.486000	1576455970	46716378	5252607	1333249	31497213	0	
4.000000	vips	1	518	37.000000	5.064000	0.486000	1571068558	46971510	5203155	1341379	31439735	0	
4.000000	vips	1	518	37.000000	5.072000	0.486000	1577750845	47058327	5390966	1389147	32460827	0	
3.000000	vips	1	614	37.000000	5.064000	0.526000	1605972432	46725948	5098340	1365041	31138583	0	
4.000000	vips	1	614	37.000000	5.064000	0.526000	1588909359	46411918	5116142	1341332	31077823	0	
4.000000	vips	1	614	37.000000	5.064000	0.486000	1585991528	46349143	5172632	1356673	31326531	0	
3.000000	vips	1	710	37.000000	5.064000	0.607000	1601398122	46518026	5134285	1327514	31030662	0	
3.000000	vips	1	710	37.000000	5.064000	0.567000	1598399902	46466259	5140726	1348030	31200412	0	
3.000000	vips	1	710	36.000000	5.064000	0.567000	1603179320	46088265	4964514	1337588	30407141	0	
3.000000	vips	1	921	37.000000	5.064000	0.648000	1627178564	45771870	4910498	1322111	30073966	0	
3.000000	vips	1	921	37.000000	5.064000	0.687000	1630075309	45778889	4916776	1334384	30257831	0	
4.000000	vips	1	921	37.000000	5.056000	0.647000	1626126939	45567739	4804271	1319297	29645372	0	
3.000000	vips	1	1036	37.000000	5.056000	0.768000	1635288806	45403807	4892185	1331036	29991335	0	
3.000000	vips	1	1036	37.000000	5.056000	0.728000	1646664636	45909344	4888873	1321507	29970673	0	
3.000000	vips	1	1036	37.000000	5.064000	0.728000	1644727997	45876494	4932517	1335080	30300946	0	
2.000000	vips	1	1132	37.000000	5.056000	0.768000	1640679838	45416825	4745059	1331702	29446483	0	
3.000000	vips	1	1132	37.000000	5.056000	0.728000	1649042874	46152927	4764311	1327381	29521994	0	
2.000000	vips	1	1132	37.000000	5.056000	0.768000	1658224300	46093059	4887363	1348458	30165507	0	
3.000000	vips	1	1224	37.000000	5.056000	0.889000	1663317373	45485514	4769224	1327334	29513006	0	
3.000000	vips	1	1224	37.000000	5.056000	0.889000	1658520607	45199116	4789799	1345586	29696979	0	
3.000000	vips	1	1224	37.000000	5.056000	0.889000	1661790166	45573637	4821067	1355695	29913915	0	
3.000000	vips	1	1428	38.000000	5.048000	1.130000	1688541076	45319663	4733170	1338850	29485062	0	
2.000000	vips	1	1428	37.000000	5.048000	1.130000	1688971726	45192156	4774565	1346908	29723492	0	
3.000000	vips	1	1428	38.000000	5.048000	1.171000	1692050226	45545399	4751743	1353040	29669817	0	
2.000000	vips	1	1479	39.000000	5.048000	1.211000	1695974979	45303987	4755191	1338073	29616488	0	
2.000000	vips	1	1479	39.000000	5.040000	1.249000	1696675620	45485183	4762999	1348937	29600052	0	
3.000000	vips	1	1479	38.000000	5.048000	1.211000	1711493519	45673236	4722583	1348423	29548611	0	
17.000000	x264	1	102	37.000000	5.072000	0.243000	1449935050	50512223	6301297	1366489	35923889	0	
21.000000	x264	1	102	36.000000	5.072000	0.243000	1436328796	49814115	5982916	1340118	34498138	0	
21.000000	x264	1	102	37.000000	5.072000	0.243000	1441886121	49794241	6029139	1360075	34817117	0	
6.000000	x264	1	204	36.000000	5.072000	0.324000	1400595772	45910968	5587276	1307245	32695088	0	
8.000000	x264	1	204	36.000000	5.072000	0.324000	1415209561	46722099	5832452	1340603	33887279	0	
7.000000	x264	1	204	36.000000	5.072000	0.324000	1411084639	46809378	5808999	1329019	33755133	0	
6.000000	x264	1	307	37.000000	5.064000	0.364000	1395509126	44455934	5120658	1294636	30740128	0	
8.000000	x264	1	307	36.000000	5.072000	0.405000	1412593906	45339512	5480594	1311813	32251014	0	
5.000000	x264	1	307	36.000000	5.072000	0.365000	1414673987	45180519	5344928	1328646	31859523	0	
5.000000	x264	1	403	36.000000	5.064000	0.405000	1413357665	44610982	5248818	1304194	31303966	0	
6.000000	x264	1	403	36.000000	5.072000	0.405000	1413510597	44659563	5259026	1307561	31365027	0	
6.000000	x264	1	403	36.000000	5.064000	0.405000	1413097802	44507812	5204583	1297508	31074583	0	
4.000000	x264	1	518	36.000000	5.072000	0.446000	1412477037	43366864	5123547	1293866	30733396	0	
4.000000	x264	1	518	37.000000	5.072000	0.446000	1419030557	43319250	4891232	1297634	29796844	0	
4.000000	x264	1	518	36.000000	5.072000	0.446000	1414573101	43617798	5080379	1294894	30604460	0	
4.000000	x264	1	614	37.000000	5.072000	0.486000	1428862996	42979285	4959228	1297261	30142136	0	
4.000000	x264	1	614	37.000000	5.072000	0.486000	1432741396	43803251	5070857	1315949	30772439	0	
3.000000	x264	1	614	36.000000	5.072000	0.486000	1443365891	43637272	4935585	1292454	29994194	0	
4.000000	x264	1	710	36.000000	5.064000	0.526000	1450661507	42962506	4924818	1297762	29987886	0	
3.000000	x264	1	710	36.000000	5.072000	0.486000	1438840998	42740815	4820933	1273938	29392457	0	
3.000000	x264	1	710	36.000000	5.064000	0.526000	1445975810	43007489	4779117	1280358	29291412	0	
3.000000	x264	1	921	36.000000	5.064000	0.567000	1480705029	42857037	4893717	1316103	30052917	0	
3.000000	x264	1	921	37.000000	5.064000	0.607000	1471562545	42337341	4746010	1275839	29090530	0	
3.000000	x264	1	921	37.000000	5.064000	0.607000	1460762642	42314332	4706067	1268933	28932173	0	
4.000000	x264	1	1036	37.000000	5.064000	0.607000	1478464280	42132167	4715790	1276020	29008556	0	
3.000000	x264	1	1036	37.000000	5.064000	0.648000	1476968430	41992350	4684646	1261433	28819247	0	
3.000000	x264	1	1036	37.000000	5.064000	0.648000	1487829026	42416166	4674028	1283488	28942399	0	
3.000000	x264	1	1132	37.000000	5.056000	0.728000	1499162982	42607617	4752700	1282809	29200948	0	
2.000000	x264	1	1132	37.000000	5.064000	0.648000	1505562642	42408148	4731195	1276952	29043271	0	
2.000000	x264	1	1132	37.000000	5.064000	0.648000	1498646451	42746348	4640903	1281397	28760875	0	
3.000000	x264	1	1224	37.000000	5.064000	0.729000	1515436789	42529432	4676591	1279809	28891128	0	
2.000000	x264	1	1224	37.000000	5.056000	0.768000	1495815617	41778118	4564872	1266645	28342497	0	
2.000000	x264	1	1224	37.000000	5.056000	0.728000	1508943903	42263531	4660357	1287014	28889367	0	
3.000000	x264	1	1428	38.000000	5.056000	0.930000	1531813515	42101592	4536943	1267569	28206284	0	
3.000000	x264	1	1428	38.000000	5.056000	0.930000	1534225094	41856421	4563748	1277557	28407913	0	
3.000000	x264	1	1428	38.000000	5.056000	0.930000	1530558986	41961649	4571047	1268794	28447979	0	
3.000000	x264	1	1479	37.000000	5.048000	1.049000	1545747156	41791387	4717414	1277171	29054557	0	
3.000000	x264	1	1479	37.000000	5.056000	0.969000	1550745755	42247285	4608259	1302274	28731328	0	
2.000000	x264	1	1479	38.000000	5.056000	0.970000	1532335990	41710815	4558392	1263425	28352965	0	
