Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	0EXC_HVC	0EXC_TRAP_PABORT	0EXC_TRAP_DABORT	0EXC_TRAP_OTHER	0EXC_TRAP_IRQ
3.250000	bodytrack	1	1132	30.000000	5.056000	0.849000	1733475364	0	0	0	0	0	
2.875000	bodytrack	1	1132	31.000000	5.048000	0.848000	1745134909	0	0	0	0	0	
2.875000	bodytrack	1	1132	30.000000	5.056000	0.848000	1735320867	0	0	0	0	0	
2.875000	bodytrack	1	1224	30.000000	5.048000	0.969000	1736115413	0	0	0	0	0	
3.000000	bodytrack	1	1224	31.000000	5.048000	0.928000	1747892153	0	0	0	0	0	
2.875000	bodytrack	1	1224	30.000000	5.048000	0.928000	1740162416	0	0	0	0	0	
2.500000	bodytrack	1	1428	31.000000	5.040000	1.169000	1771014179	0	0	0	0	0	
2.625000	bodytrack	1	1428	31.000000	5.040000	1.209000	1778737689	0	0	0	0	0	
2.625000	bodytrack	1	1428	31.000000	5.040000	1.209000	1772655768	0	0	0	0	0	
2.500000	bodytrack	1	1479	32.000000	5.040000	1.290000	1782087668	0	0	0	0	0	
2.500000	bodytrack	1	1479	31.000000	5.040000	1.290000	1783545434	0	0	0	0	0	
2.625000	bodytrack	1	1479	32.000000	5.040000	1.249000	1779321866	0	0	0	0	0	
22.500000	dedup	1	102	30.000000	5.072000	0.243000	1452810880	0	0	0	0	0	
22.625000	dedup	1	102	30.000000	5.072000	0.243000	1454424590	0	0	0	0	0	
12.750000	dedup	1	102	29.000000	5.072000	0.243000	1445285314	0	0	0	0	0	
7.500000	dedup	1	204	29.000000	5.064000	0.364000	1433835379	0	0	0	0	0	
7.250000	dedup	1	204	30.000000	5.064000	0.324000	1420268523	0	0	0	0	0	
8.250000	dedup	1	204	30.000000	5.072000	0.324000	1417642356	0	0	0	0	0	
6.250000	dedup	1	307	30.000000	5.056000	0.444000	1425221616	0	0	0	0	0	
5.625000	dedup	1	307	30.000000	5.064000	0.445000	1427856335	0	0	0	0	0	
5.750000	dedup	1	307	30.000000	5.064000	0.445000	1409669616	0	0	0	0	0	
4.250000	dedup	1	403	30.000000	5.056000	0.485000	1410424352	0	0	0	0	0	
