Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	0EXC_HVC	0EXC_TRAP_PABORT	0EXC_TRAP_DABORT	0EXC_TRAP_OTHER	0EXC_TRAP_IRQ
3.250000	vips	1	710	30.000000	5.064000	0.526000	1600221009	0	0	0	0	0	
3.500000	vips	1	710	31.000000	5.072000	0.527000	1596487523	0	0	0	0	0	
3.250000	vips	1	710	31.000000	5.064000	0.526000	1591470121	0	0	0	0	0	
3.000000	vips	1	921	31.000000	5.064000	0.607000	1625071135	0	0	0	0	0	
3.250000	vips	1	921	31.000000	5.064000	0.607000	1617930604	0	0	0	0	0	
3.500000	vips	1	921	31.000000	5.064000	0.648000	1622779253	0	0	0	0	0	
3.000000	vips	1	1036	30.000000	5.064000	0.688000	1632783243	0	0	0	0	0	
3.000000	vips	1	1036	31.000000	5.064000	0.729000	1628753348	0	0	0	0	0	
3.000000	vips	1	1036	31.000000	5.064000	0.688000	1622782742	0	0	0	0	0	
2.750000	vips	1	1132	31.000000	5.064000	0.729000	1651457657	0	0	0	0	0	
2.750000	vips	1	1132	31.000000	5.064000	0.729000	1649047244	0	0	0	0	0	
3.000000	vips	1	1132	31.000000	5.064000	0.769000	1641974451	0	0	0	0	0	
2.750000	vips	1	1224	31.000000	5.056000	0.849000	1653362676	0	0	0	0	0	
2.750000	vips	1	1224	31.000000	5.056000	0.889000	1656908721	0	0	0	0	0	
3.000000	vips	1	1224	32.000000	5.056000	0.849000	1661926403	0	0	0	0	0	
2.750000	vips	1	1428	31.000000	5.048000	1.130000	1702421197	0	0	0	0	0	
2.750000	vips	1	1428	32.000000	5.056000	1.092000	1696038470	0	0	0	0	0	
2.750000	vips	1	1428	32.000000	5.048000	1.130000	1707382597	0	0	0	0	0	
2.500000	vips	1	1479	32.000000	5.048000	1.171000	1691181736	0	0	0	0	0	
2.750000	vips	1	1479	32.000000	5.048000	1.171000	1691231622	0	0	0	0	0	
2.750000	vips	1	1479	31.000000	5.048000	1.171000	1683300628	0	0	0	0	0	
15.750000	x264	1	102	30.000000	5.072000	0.243000	1437671848	0	0	0	0	0	
12.500000	x264	1	102	30.000000	5.072000	0.243000	1432229734	0	0	0	0	0	
15.750000	x264	1	102	30.000000	5.072000	0.243000	1445226997	0	0	0	0	0	
6.750000	x264	1	204	30.000000	5.072000	0.324000	1410648194	0	0	0	0	0	
7.750000	x264	1	204	30.000000	5.072000	0.284000	1406902495	0	0	0	0	0	
10.000000	x264	1	204	30.000000	5.072000	0.324000	1410517480	0	0	0	0	0	
5.750000	x264	1	307	30.000000	5.072000	0.365000	1397890477	0	0	0	0	0	
6.000000	x264	1	307	30.000000	5.072000	0.365000	1405291753	0	0	0	0	0	
5.750000	x264	1	307	30.000000	5.072000	0.365000	1389508470	0	0	0	0	0	
5.000000	x264	1	403	30.000000	5.072000	0.405000	1404370288	0	0	0	0	0	
5.750000	x264	1	403	30.000000	5.072000	0.405000	1410021287	0	0	0	0	0	
5.000000	x264	1	403	30.000000	5.072000	0.405000	1420887797	0	0	0	0	0	
4.000000	x264	1	518	30.000000	5.072000	0.446000	1425370585	0	0	0	0	0	
4.000000	x264	1	518	30.000000	5.072000	0.405000	1415611226	0	0	0	0	0	
3.750000	x264	1	518	31.000000	5.072000	0.405000	1413771860	0	0	0	0	0	
3.750000	x264	1	614	31.000000	5.072000	0.446000	1425311433	0	0	0	0	0	
3.500000	x264	1	614	30.000000	5.072000	0.446000	1426716629	0	0	0	0	0	
3.500000	x264	1	614	31.000000	5.072000	0.446000	1433983800	0	0	0	0	0	
3.250000	x264	1	710	31.000000	5.072000	0.486000	1445491743	0	0	0	0	0	
3.250000	x264	1	710	31.000000	5.072000	0.486000	1440983533	0	0	0	0	0	
3.250000	x264	1	710	31.000000	5.072000	0.486000	1446596400	0	0	0	0	0	
2.750000	x264	1	921	31.000000	5.064000	0.568000	1458329252	0	0	0	0	0	
3.000000	x264	1	921	31.000000	5.064000	0.567000	1475303036	0	0	0	0	0	
3.250000	x264	1	921	31.000000	5.072000	0.567000	1468139956	0	0	0	0	0	
3.250000	x264	1	1036	31.000000	5.064000	0.607000	1482572782	0	0	0	0	0	
2.750000	x264	1	1036	31.000000	5.064000	0.607000	1489347212	0	0	0	0	0	
3.000000	x264	1	1036	31.000000	5.064000	0.607000	1468698985	0	0	0	0	0	
2.750000	x264	1	1132	31.000000	5.064000	0.648000	1496209175	0	0	0	0	0	
2.750000	x264	1	1132	31.000000	5.064000	0.648000	1504823467	0	0	0	0	0	
3.000000	x264	1	1132	31.000000	5.064000	0.648000	1498279980	0	0	0	0	0	
2.750000	x264	1	1224	32.000000	5.064000	0.688000	1500901899	0	0	0	0	0	
2.750000	x264	1	1224	32.000000	5.064000	0.688000	1506962219	0	0	0	0	0	
2.750000	x264	1	1224	31.000000	5.064000	0.729000	1511983220	0	0	0	0	0	
3.000000	x264	1	1428	31.000000	5.056000	0.930000	1537725878	0	0	0	0	0	
2.500000	x264	1	1428	32.000000	5.056000	0.970000	1525915041	0	0	0	0	0	
2.750000	x264	1	1428	32.000000	5.056000	0.930000	1526480754	0	0	0	0	0	
2.750000	x264	1	1479	33.000000	5.056000	0.970000	1542018448	0	0	0	0	0	
2.500000	x264	1	1479	32.000000	5.056000	0.970000	1528856029	0	0	0	0	0	
2.500000	x264	1	1479	31.000000	5.056000	0.970000	1555054629	0	0	0	0	0	
