Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	L1D_CACHE_INVAL	L1D_TLB_REFILL_LD	L1D_TLB_REFILL_ST	L2D_CACHE_LD	L2D_CACHE_ST
4.000000	streamcluster	1	403	36.000000	5.056000	0.525000	1398446864	25941	4378050	540916	31310957	12103676	
6.000000	streamcluster	1	403	35.000000	5.056000	0.525000	1425057056	25022	4427706	547022	31978056	12462496	
4.000000	streamcluster	1	518	35.000000	5.048000	0.605000	1413122042	21755	4375535	541809	30986831	12047021	
4.000000	streamcluster	1	518	35.000000	5.048000	0.565000	1428047738	22008	4417420	540642	30983414	12165656	
4.000000	streamcluster	1	518	35.000000	5.056000	0.606000	1410832974	21062	4394881	538072	31078703	12271388	
4.000000	streamcluster	1	614	36.000000	5.048000	0.686000	1424221505	19891	4325781	534918	30605683	12044665	
4.000000	streamcluster	1	614	36.000000	5.048000	0.646000	1410735709	23479	4355637	536798	30444756	11861484	
2.000000	streamcluster	1	614	36.000000	5.048000	0.646000	1424756536	21797	4394036	543354	30625964	11974608	
4.000000	streamcluster	1	710	35.000000	5.048000	0.766000	1430613439	20493	4381247	540590	30458088	11954976	
4.000000	streamcluster	1	710	36.000000	5.048000	0.686000	1427911622	19032	4377048	533481	30405831	12006965	
4.000000	streamcluster	1	710	36.000000	5.040000	0.726000	1448066505	19246	4367766	538490	30490669	12009323	
2.000000	streamcluster	1	921	36.000000	5.048000	0.848000	1457452773	16760	4313306	537616	29967240	11940929	
2.000000	streamcluster	1	921	36.000000	5.048000	0.887000	1460110448	17335	4329192	536350	29946021	11797421	
2.000000	streamcluster	1	921	35.000000	5.048000	0.888000	1461267787	17268	4357967	538062	30154821	11952773	
2.000000	streamcluster	1	1036	36.000000	5.048000	0.888000	1479755859	15673	4377839	538314	29911033	11886689	
4.000000	streamcluster	1	1036	36.000000	5.040000	0.928000	1485896216	15618	4322616	531399	30125472	12099261	
2.000000	streamcluster	1	1036	36.000000	5.048000	0.888000	1472078363	15468	4310051	537638	29997962	11904705	
2.000000	streamcluster	1	1132	36.000000	5.048000	0.927000	1477059233	17475	4339745	535958	29770178	11921487	
4.000000	streamcluster	1	1132	36.000000	5.048000	0.928000	1474449225	18328	4338764	535587	29745083	11859431	
4.000000	streamcluster	1	1132	36.000000	5.040000	0.887000	1485560306	16435	4375914	534833	30008773	11890493	
4.000000	streamcluster	1	1224	36.000000	5.032000	1.046000	1497044220	17142	4332938	531532	29885232	12027112	
2.000000	streamcluster	1	1224	36.000000	5.032000	1.086000	1512404161	14505	4379698	537530	29877241	11947913	
4.000000	streamcluster	1	1224	36.000000	5.040000	1.048000	1491114037	19101	4339685	538216	29753919	11881965	
2.000000	streamcluster	1	1428	36.000000	5.040000	1.209000	1536211691	15618	4353427	535367	29826179	12135310	
2.000000	streamcluster	1	1428	37.000000	5.040000	1.288000	1528126371	15535	4359089	536586	29679387	11910976	
4.000000	streamcluster	1	1428	36.000000	5.040000	1.288000	1526780401	18095	4368224	541293	29547096	11903152	
2.000000	streamcluster	1	1479	36.000000	5.032000	1.408000	1538919389	17064	4325182	539925	29750134	11910830	
2.000000	streamcluster	1	1479	37.000000	5.024000	1.366000	1537264391	16605	4375202	540780	29777923	11964332	
4.000000	streamcluster	1	1479	36.000000	5.032000	1.368000	1528804448	17218	4319387	534328	29373522	11773648	
20.000000	vips	1	102	35.000000	5.072000	0.243000	1598590939	75974	5093372	1333243	38786285	14913447	
14.000000	vips	1	102	35.000000	5.072000	0.243000	1613134541	73164	5137107	1333149	39301067	15200851	
14.000000	vips	1	102	35.000000	5.072000	0.243000	1603516192	71617	5093736	1334050	39153383	14896177	
8.000000	vips	1	204	35.000000	5.072000	0.324000	1571278715	41357	4973588	1315357	35852979	14513547	
8.000000	vips	1	204	35.000000	5.072000	0.324000	1568310327	41530	5014648	1318948	35319866	14235884	
8.000000	vips	1	204	35.000000	5.064000	0.324000	1574932511	46813	5014017	1321439	35913219	14349491	
4.000000	vips	1	307	35.000000	5.072000	0.365000	1553507841	32844	4863532	1306256	34158796	14071584	
6.000000	vips	1	307	35.000000	5.072000	0.364000	1555106471	37730	4889077	1304671	34281358	13876375	
6.000000	vips	1	307	35.000000	5.064000	0.364000	1569656839	32671	4937293	1304743	34540353	14066273	
6.000000	vips	1	403	35.000000	5.072000	0.405000	1559255802	26779	4850717	1301862	33224089	13676091	
4.000000	vips	1	403	35.000000	5.064000	0.445000	1565226617	27995	4898141	1306931	33835812	14055550	
4.000000	vips	1	403	35.000000	5.064000	0.445000	1574125809	28282	4889943	1305175	33718137	13892981	
4.000000	vips	1	518	35.000000	5.064000	0.486000	1579038375	24543	4844953	1296198	33214729	13822953	
4.000000	vips	1	518	35.000000	5.064000	0.445000	1573377047	26603	4821950	1296400	33187107	13790210	
4.000000	vips	1	518	35.000000	5.072000	0.445000	1562145974	23247	4862101	1302269	32890330	13590612	
4.000000	vips	1	614	35.000000	5.064000	0.526000	1586630359	23315	4858557	1303520	32869698	13759529	
4.000000	vips	1	614	35.000000	5.064000	0.526000	1587869200	24610	4830227	1293829	32936378	13749684	
4.000000	vips	1	614	35.000000	5.072000	0.486000	1581276728	21546	4856618	1297022	32863414	13721180	
2.000000	vips	1	710	35.000000	5.064000	0.567000	1609155778	18674	4832087	1292690	32810396	13826398	
4.000000	vips	1	710	35.000000	5.064000	0.567000	1603701597	20405	4860541	1297497	32655593	13776185	
4.000000	vips	1	710	35.000000	5.064000	0.567000	1587452592	20207	4835533	1297352	32327971	13504267	
4.000000	vips	1	921	36.000000	5.064000	0.687000	1623269928	18639	4800666	1289929	32105185	13539664	
2.000000	vips	1	921	36.000000	5.064000	0.647000	1636796686	19972	4858634	1297279	32468374	13770275	
2.000000	vips	1	921	36.000000	5.064000	0.648000	1631713753	21908	4830289	1299167	32561942	13904881	
4.000000	vips	1	1036	36.000000	5.056000	0.728000	1643185154	22097	4805255	1292556	32269996	13719733	
2.000000	vips	1	1036	35.000000	5.064000	0.728000	1636167286	19324	4798916	1290544	32231918	13657780	
2.000000	vips	1	1036	36.000000	5.056000	0.728000	1653404367	18729	4827830	1293850	32286404	13742254	
2.000000	vips	1	1132	36.000000	5.056000	0.768000	1652018707	25647	4820321	1291779	32022201	13644105	
4.000000	vips	1	1132	35.000000	5.056000	0.728000	1644243891	20760	4840290	1299140	32053546	13601115	
2.000000	vips	1	1132	36.000000	5.056000	0.768000	1656061081	20803	4870727	1297806	31947350	13529513	
2.000000	vips	1	1224	36.000000	5.056000	0.849000	1658555689	15596	4800606	1300433	31741278	13486883	
2.000000	vips	1	1224	36.000000	5.056000	0.889000	1672714205	18351	4841486	1301588	32019976	13639474	
2.000000	vips	1	1224	36.000000	5.056000	0.889000	1664600032	19476	4834990	1294548	32227263	13773487	
2.000000	vips	1	1428	37.000000	5.048000	1.130000	1694551174	16470	4785817	1299448	31772202	13483336	
2.000000	vips	1	1428	36.000000	5.048000	1.130000	1692367468	17645	4801396	1296979	31839550	13600400	
2.000000	vips	1	1428	37.000000	5.040000	1.128000	1698041136	18914	4799926	1297761	31750892	13518127	
4.000000	vips	1	1479	38.000000	5.032000	1.207000	1700684769	18442	4810742	1291203	31660110	13584023	
2.000000	vips	1	1479	37.000000	5.032000	1.207000	1704152966	20318	4842202	1295453	31867492	13512799	
4.000000	vips	1	1479	38.000000	5.040000	1.209000	1716840044	18509	4836902	1289656	31858752	13572087	
14.000000	x264	1	102	35.000000	5.064000	0.243000	1444461312	63497	4652800	572067	36625602	13302775	
16.000000	x264	1	102	35.000000	5.072000	0.243000	1434977943	62461	4620791	571958	36336164	13241527	
16.000000	x264	1	102	35.000000	5.064000	0.243000	1451353142	64119	4647679	574219	36693392	13477916	
8.000000	x264	1	204	35.000000	5.072000	0.324000	1410057913	38326	4501731	555048	33574853	12689676	
10.000000	x264	1	204	35.000000	5.064000	0.324000	1412127968	37950	4476827	550577	33955162	12851691	
6.000000	x264	1	204	35.000000	5.072000	0.324000	1419022823	37718	4565261	558183	33969519	12867197	
6.000000	x264	1	307	35.000000	5.072000	0.365000	1405374861	29503	4401095	541511	32301940	12415850	
6.000000	x264	1	307	35.000000	5.072000	0.365000	1406068899	30078	4428044	546370	32415166	12300786	
6.000000	x264	1	307	35.000000	5.064000	0.364000	1396923421	28569	4438256	551607	32177898	12310532	
6.000000	x264	1	403	35.000000	5.072000	0.405000	1411752043	30141	4403706	540831	31716607	12216893	
4.000000	x264	1	403	35.000000	5.072000	0.405000	1416378496	27774	4458985	547464	31828203	12376697	
6.000000	x264	1	403	35.000000	5.072000	0.405000	1407649339	27657	4434230	543236	31981512	12471852	
4.000000	x264	1	518	35.000000	5.072000	0.445000	1443698998	23710	4474847	545503	31660362	12439493	
4.000000	x264	1	518	35.000000	5.072000	0.446000	1424937571	23941	4394694	544496	31397779	12351677	
4.000000	x264	1	518	35.000000	5.072000	0.445000	1420886955	21624	4398254	543669	31347149	12256785	
4.000000	x264	1	614	35.000000	5.072000	0.445000	1445303455	20629	4457930	548733	30994444	12109339	
4.000000	x264	1	614	35.000000	5.072000	0.446000	1421195113	22711	4338313	541112	30846007	12019387	
2.000000	x264	1	614	35.000000	5.072000	0.486000	1446946441	21470	4445283	541508	31302388	12237367	
4.000000	x264	1	710	35.000000	5.064000	0.486000	1474403140	22120	4461463	546397	31306742	12336435	
4.000000	x264	1	710	35.000000	5.064000	0.486000	1446064542	21673	4400725	541666	30971605	12267710	
2.000000	x264	1	710	35.000000	5.064000	0.526000	1451062239	23607	4445086	544277	30936629	12185725	
4.000000	x264	1	921	35.000000	5.064000	0.607000	1482340129	22304	4434497	547311	30678632	12191992	
4.000000	x264	1	921	35.000000	5.064000	0.567000	1469363717	21250	4320908	537105	30416385	12081824	
2.000000	x264	1	921	35.000000	5.064000	0.567000	1488011421	17669	4446270	547096	30603203	12150663	
2.000000	x264	1	1036	35.000000	5.064000	0.607000	1485726584	16862	4304253	538066	30272443	12153914	
4.000000	x264	1	1036	36.000000	5.064000	0.607000	1488149704	17592	4411934	538704	30270654	12006068	
2.000000	x264	1	1036	35.000000	5.064000	0.648000	1484746601	18006	4361757	543258	30272157	11996130	
2.000000	x264	1	1132	35.000000	5.064000	0.648000	1497756020	16070	4384740	538953	30581466	12316760	
4.000000	x264	1	1132	35.000000	5.064000	0.648000	1512746470	19005	4389862	541717	30627936	12325985	
4.000000	x264	1	1132	35.000000	5.064000	0.648000	1490712933	18960	4417640	542209	30233964	11925092	
4.000000	x264	1	1224	35.000000	5.064000	0.728000	1512362247	22651	4446381	546923	30219654	12020603	
4.000000	x264	1	1224	35.000000	5.064000	0.728000	1506240071	17723	4361639	539069	30245394	12103597	
4.000000	x264	1	1224	36.000000	5.064000	0.728000	1509938541	17970	4431419	547712	30216201	12076038	
2.000000	x264	1	1428	36.000000	5.056000	0.930000	1556345100	18486	4415626	537717	30369957	12252533	
2.000000	x264	1	1428	35.000000	5.048000	0.928000	1525008283	16375	4279602	531305	29886229	11935874	
4.000000	x264	1	1428	36.000000	5.056000	0.930000	1535808802	16142	4370314	534506	29707358	11904171	
2.000000	x264	1	1479	36.000000	5.056000	0.970000	1546541119	16008	4374059	540987	29939665	12019271	
2.000000	x264	1	1479	36.000000	5.048000	0.969000	1555853386	16101	4393132	538545	30113642	12135397	
4.000000	x264	1	1479	37.000000	5.048000	1.009000	1558690140	16996	4389126	540554	30184509	12099072	
