Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	L2D_CACHE_REFILL_LD	L2D_CACHE_REFILL_ST	L2D_CACHE_WB_VICTIM	L2D_CACHE_WB_CLEAN	L2D_CACHE_INVAL
2.000000	streamcluster	1	710	36.000000	5.048000	0.686000	1437074421	3840965	953835	1265923	0	0	
4.000000	streamcluster	1	921	36.000000	5.048000	0.848000	1465253729	3757332	955717	1267627	0	0	
4.000000	streamcluster	1	921	36.000000	5.032000	0.846000	1461807026	3782537	951048	1260680	0	0	
2.000000	streamcluster	1	921	36.000000	5.048000	0.807000	1460485049	3741718	943901	1251942	0	0	
4.000000	streamcluster	1	1036	36.000000	5.048000	0.887000	1479465945	3695951	937553	1249883	0	0	
2.000000	streamcluster	1	1036	36.000000	5.048000	0.928000	1477207974	3637783	949159	1262437	0	0	
4.000000	streamcluster	1	1036	36.000000	5.040000	0.887000	1474866390	3663094	941618	1251023	0	0	
2.000000	streamcluster	1	1132	36.000000	5.040000	0.967000	1473742431	3626052	947608	1247444	0	0	
4.000000	streamcluster	1	1132	36.000000	5.040000	0.967000	1477485691	3629986	933946	1246184	0	0	
4.000000	streamcluster	1	1132	36.000000	5.048000	0.927000	1491919459	3589672	941959	1247055	0	0	
4.000000	streamcluster	1	1224	36.000000	5.040000	1.048000	1498206543	3615953	952932	1269204	0	0	
4.000000	streamcluster	1	1224	36.000000	5.040000	1.048000	1507638510	3606108	945639	1251344	0	0	
4.000000	streamcluster	1	1224	36.000000	5.040000	1.088000	1502666292	3695753	970610	1279819	0	0	
2.000000	streamcluster	1	1428	36.000000	5.040000	1.330000	1511001439	3552960	954153	1264245	0	0	
2.000000	streamcluster	1	1428	37.000000	5.040000	1.330000	1513619683	3437403	927282	1230746	0	0	
2.000000	streamcluster	1	1428	37.000000	5.040000	1.290000	1524610466	3597365	954126	1250218	0	0	
2.000000	streamcluster	1	1479	37.000000	5.040000	1.330000	1525141798	3553592	948046	1252231	0	0	
2.000000	streamcluster	1	1479	37.000000	5.032000	1.368000	1522864527	3597628	965569	1259967	0	0	
2.000000	streamcluster	1	1479	37.000000	5.032000	1.368000	1539931053	3553914	963354	1274360	0	0	
22.000000	vips	1	102	35.000000	5.072000	0.243000	1594125982	5244318	1200283	1437035	0	0	
16.000000	vips	1	102	35.000000	5.064000	0.243000	1619535438	5366847	1189053	1448134	0	0	
18.000000	vips	1	102	35.000000	5.072000	0.243000	1601866693	5235353	1197110	1434894	0	0	
8.000000	vips	1	204	35.000000	5.064000	0.324000	1568355845	5005225	1130515	1395547	0	0	
6.000000	vips	1	204	35.000000	5.072000	0.324000	1564770470	4454501	1098494	1376478	0	0	
8.000000	vips	1	204	35.000000	5.064000	0.324000	1562744989	4883499	1156549	1417715	0	0	
6.000000	vips	1	307	35.000000	5.064000	0.364000	1555036761	4396880	1088476	1369744	0	0	
6.000000	vips	1	307	35.000000	5.064000	0.405000	1578427869	4603599	1072720	1378546	0	0	
4.000000	vips	1	307	35.000000	5.072000	0.364000	1569031559	4482018	1084175	1353166	0	0	
4.000000	vips	1	403	35.000000	5.072000	0.405000	1558977677	4331264	1056451	1361257	0	0	
6.000000	vips	1	403	35.000000	5.064000	0.445000	1569394161	4396605	1069908	1342821	0	0	
4.000000	vips	1	403	35.000000	5.064000	0.445000	1558892087	4289013	1046099	1343898	0	0	
4.000000	vips	1	518	35.000000	5.072000	0.446000	1570007260	4162469	1021807	1321533	0	0	
4.000000	vips	1	518	35.000000	5.064000	0.486000	1581320718	4242967	1062843	1340861	0	0	
4.000000	vips	1	518	35.000000	5.072000	0.486000	1572691987	4204827	1074480	1344849	0	0	
4.000000	vips	1	614	35.000000	5.064000	0.526000	1586997778	4063916	1028198	1342752	0	0	
4.000000	vips	1	614	35.000000	5.064000	0.526000	1587251073	4106639	1038431	1345494	0	0	
4.000000	vips	1	614	35.000000	5.072000	0.486000	1587058698	4161903	1087959	1348999	0	0	
4.000000	vips	1	710	36.000000	5.064000	0.567000	1594881543	4137220	1059133	1353441	0	0	
4.000000	vips	1	710	36.000000	5.064000	0.567000	1605389606	4046107	1032078	1339245	0	0	
4.000000	vips	1	710	36.000000	5.064000	0.567000	1593279887	3910630	999793	1303882	0	0	
2.000000	vips	1	921	35.000000	5.064000	0.647000	1628514569	3890686	1030316	1330194	0	0	
4.000000	vips	1	921	36.000000	5.064000	0.687000	1616640078	3888652	1031991	1323628	0	0	
4.000000	vips	1	921	36.000000	5.064000	0.648000	1630562872	3859918	1013244	1309317	0	0	
2.000000	vips	1	1036	36.000000	5.056000	0.728000	1648248766	3802919	1114477	1364304	0	0	
4.000000	vips	1	1036	36.000000	5.056000	0.728000	1636671445	3751761	1061035	1338704	0	0	
2.000000	vips	1	1036	36.000000	5.056000	0.728000	1636354267	3862706	1090950	1356757	0	0	
2.000000	vips	1	1132	36.000000	5.056000	0.768000	1657681210	3702300	1037625	1330373	0	0	
2.000000	vips	1	1132	36.000000	5.056000	0.768000	1649716899	3774679	1062423	1350293	0	0	
4.000000	vips	1	1132	36.000000	5.056000	0.768000	1639238805	3829988	1076284	1354295	0	0	
2.000000	vips	1	1224	36.000000	5.056000	0.889000	1680707283	3824838	1079083	1362406	0	0	
2.000000	vips	1	1224	36.000000	5.056000	0.889000	1651999226	3724720	1063898	1342258	0	0	
2.000000	vips	1	1224	36.000000	5.056000	0.889000	1661167437	3822052	1079735	1357489	0	0	
2.000000	vips	1	1428	37.000000	5.048000	1.171000	1709344628	3735261	1064100	1356441	0	0	
2.000000	vips	1	1428	37.000000	5.048000	1.130000	1708348736	3777566	1043394	1344363	0	0	
4.000000	vips	1	1428	37.000000	5.048000	1.130000	1689938231	3730439	1041330	1331785	0	0	
2.000000	vips	1	1479	37.000000	5.048000	1.171000	1699100937	3735715	1044117	1336074	0	0	
4.000000	vips	1	1479	37.000000	5.040000	1.209000	1698339669	3698429	1062053	1345010	0	0	
2.000000	vips	1	1479	37.000000	5.040000	1.209000	1688515064	3666242	1062370	1343062	0	0	
14.000000	x264	1	102	35.000000	5.072000	0.243000	1451159112	5174524	1039196	1367406	0	0	
14.000000	x264	1	102	35.000000	5.072000	0.202000	1446864747	5062445	1007313	1345210	0	0	
14.000000	x264	1	102	35.000000	5.072000	0.243000	1443817158	4995527	1026623	1358507	0	0	
8.000000	x264	1	204	35.000000	5.072000	0.324000	1414237406	4603343	994679	1314212	0	0	
8.000000	x264	1	204	35.000000	5.072000	0.324000	1429785686	4914022	1008013	1328507	0	0	
10.000000	x264	1	204	35.000000	5.072000	0.324000	1418238445	4865120	1002973	1318628	0	0	
4.000000	x264	1	307	35.000000	5.072000	0.365000	1405427172	4239056	965398	1298605	0	0	
6.000000	x264	1	307	35.000000	5.072000	0.365000	1405470569	4491670	997611	1316267	0	0	
6.000000	x264	1	307	35.000000	5.072000	0.364000	1408184280	4291666	988712	1309163	0	0	
4.000000	x264	1	403	35.000000	5.072000	0.405000	1413028621	4285731	988571	1305489	0	0	
6.000000	x264	1	403	35.000000	5.072000	0.405000	1412035206	4258891	999271	1311668	0	0	
4.000000	x264	1	403	35.000000	5.072000	0.405000	1413184878	4318686	991967	1308677	0	0	
4.000000	x264	1	518	35.000000	5.072000	0.446000	1431938478	4138088	1005498	1330154	0	0	
4.000000	x264	1	518	35.000000	5.072000	0.446000	1425806083	4100386	971930	1289220	0	0	
4.000000	x264	1	518	35.000000	5.064000	0.445000	1421781761	4078206	981113	1290723	0	0	
2.000000	x264	1	614	35.000000	5.072000	0.446000	1434284431	4013484	978148	1297985	0	0	
4.000000	x264	1	614	35.000000	5.072000	0.446000	1440798655	4099601	993058	1303114	0	0	
4.000000	x264	1	614	35.000000	5.072000	0.486000	1432965723	4052762	983733	1292036	0	0	
4.000000	x264	1	710	35.000000	5.064000	0.486000	1445384061	3949691	980710	1299594	0	0	
2.000000	x264	1	710	35.000000	5.064000	0.486000	1444934036	3914055	948288	1265956	0	0	
4.000000	x264	1	710	35.000000	5.064000	0.486000	1438153580	3985721	972926	1294764	0	0	
4.000000	x264	1	921	35.000000	5.064000	0.567000	1494621602	3906493	991808	1313088	0	0	
4.000000	x264	1	921	36.000000	5.064000	0.567000	1473876718	3797423	963683	1272985	0	0	
2.000000	x264	1	921	36.000000	5.064000	0.567000	1479661631	3775477	976708	1297952	0	0	
4.000000	x264	1	1036	36.000000	5.064000	0.648000	1485199249	3756483	959192	1282124	0	0	
4.000000	x264	1	1036	36.000000	5.064000	0.607000	1477707316	3686160	956245	1268278	0	0	
4.000000	x264	1	1036	36.000000	5.064000	0.648000	1495970524	3799754	969281	1286387	0	0	
4.000000	x264	1	1132	36.000000	5.064000	0.648000	1510912890	3738153	951220	1273195	0	0	
2.000000	x264	1	1132	36.000000	5.064000	0.648000	1509447173	3750560	969242	1285220	0	0	
2.000000	x264	1	1132	36.000000	5.064000	0.648000	1499446744	3647442	963383	1287439	0	0	
2.000000	x264	1	1224	36.000000	5.064000	0.729000	1510695371	3760342	974826	1295530	0	0	
4.000000	x264	1	1224	36.000000	5.056000	0.728000	1506521514	3698169	971037	1284985	0	0	
4.000000	x264	1	1224	36.000000	5.064000	0.729000	1508552189	3659891	955558	1274676	0	0	
2.000000	x264	1	1428	36.000000	5.056000	0.930000	1545280047	3659785	985545	1294194	0	0	
4.000000	x264	1	1428	37.000000	5.048000	0.928000	1528284755	3669161	969250	1284369	0	0	
2.000000	x264	1	1428	36.000000	5.056000	0.928000	1541922879	3629991	972390	1300128	0	0	
4.000000	x264	1	1479	36.000000	5.048000	0.969000	1544660840	3622682	969508	1278915	0	0	
4.000000	x264	1	1479	37.000000	5.048000	1.009000	1539874815	3599642	963491	1274926	0	0	
2.000000	x264	1	1479	36.000000	5.056000	0.970000	1540353887	3562004	962892	1273336	0	0	
