Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	BUS_ACCESS_PERIPH	MEM_ACCESS_LD	MEM_ACCESS_ST	UNALIGNED_LD_SPEC	UNALIGNED_ST_SPEC
4.000000	streamcluster	1	518	35.000000	5.048000	0.605000	1412297657	7268	250833157	189084863	1277140	59601	
4.000000	streamcluster	1	614	36.000000	5.048000	0.686000	1425111465	6180	249893531	188515531	1282401	59320	
4.000000	streamcluster	1	614	35.000000	5.048000	0.686000	1425168168	6582	250542256	188812996	927020	58445	
4.000000	streamcluster	1	614	35.000000	5.048000	0.686000	1413583933	5969	248248769	187416463	1036128	59619	
4.000000	streamcluster	1	710	36.000000	5.048000	0.767000	1440502760	5686	251209073	189381725	1147791	59312	
4.000000	streamcluster	1	710	36.000000	5.048000	0.726000	1441784240	5107	251194805	189435453	1279673	59996	
4.000000	streamcluster	1	710	36.000000	5.048000	0.686000	1435253368	5321	250120890	188607407	925418	59497	
4.000000	streamcluster	1	921	35.000000	5.048000	0.848000	1478600324	4823	252573171	190184510	1282273	60509	
4.000000	streamcluster	1	921	36.000000	5.048000	0.807000	1465130731	5276	249489724	188014845	924646	59788	
2.000000	streamcluster	1	921	36.000000	5.048000	0.888000	1463316687	4878	250159289	188517493	1277127	59738	
2.000000	streamcluster	1	1036	36.000000	5.040000	0.887000	1478445993	4145	250231646	188655615	1278226	59696	
4.000000	streamcluster	1	1036	36.000000	5.048000	0.928000	1469900127	3991	248168082	187481048	1149991	59299	
2.000000	streamcluster	1	1036	36.000000	5.048000	0.928000	1484259406	4304	250614231	188976682	1146450	59384	
4.000000	streamcluster	1	1132	36.000000	5.048000	0.928000	1485335522	3860	250025434	188443896	1152138	59433	
2.000000	streamcluster	1	1132	36.000000	5.040000	0.927000	1482653426	3801	248500963	187447057	1146355	59411	
2.000000	streamcluster	1	1132	36.000000	5.040000	0.927000	1485125917	4043	249729501	188225626	925698	59447	
2.000000	streamcluster	1	1224	36.000000	5.048000	1.048000	1501723294	3987	250359540	188585219	1147640	59464	
2.000000	streamcluster	1	1224	36.000000	5.040000	1.048000	1486114272	3579	247690091	186863229	1034104	59299	
2.000000	streamcluster	1	1224	36.000000	5.040000	1.088000	1497699877	4223	249345517	188182539	923580	59411	
4.000000	streamcluster	1	1428	36.000000	5.040000	1.249000	1513010525	3233	247254268	186526888	1031950	58738	
2.000000	streamcluster	1	1428	36.000000	5.032000	1.328000	1530272877	3323	251307536	189337320	1031127	59110	
2.000000	streamcluster	1	1428	36.000000	5.040000	1.330000	1526847444	3348	250291899	188605279	929139	59379	
2.000000	streamcluster	1	1479	37.000000	5.040000	1.328000	1536272264	3367	249571624	188410131	1038297	59985	
4.000000	streamcluster	1	1479	37.000000	5.032000	1.408000	1530761182	3650	248814790	187786006	1032864	58978	
2.000000	streamcluster	1	1479	36.000000	5.040000	1.290000	1524136358	3181	247589637	186690506	1033553	59350	
24.000000	vips	1	102	35.000000	5.072000	0.243000	1609139278	34370	291304898	214553387	1395497	72808	
14.000000	vips	1	102	35.000000	5.072000	0.243000	1596839384	34395	288466532	212523256	1041129	72749	
14.000000	vips	1	102	35.000000	5.072000	0.243000	1620545560	35889	292930334	215545631	1040584	73805	
6.000000	vips	1	204	35.000000	5.072000	0.324000	1565478585	17595	285231385	209816017	1027680	73089	
6.000000	vips	1	204	35.000000	5.064000	0.324000	1567775735	16408	287119707	211035242	1137702	72397	
8.000000	vips	1	204	35.000000	5.072000	0.324000	1561191375	18024	283862117	208792959	1138061	71797	
6.000000	vips	1	307	35.000000	5.072000	0.364000	1558032298	12843	283542106	208496980	1647605	72759	
6.000000	vips	1	307	35.000000	5.064000	0.364000	1563352097	12277	283689161	208585735	1650571	72192	
6.000000	vips	1	307	35.000000	5.072000	0.364000	1553785720	12338	281971804	207514642	1025795	72198	
4.000000	vips	1	403	35.000000	5.072000	0.405000	1561869241	9396	281946266	207396190	1134012	72639	
4.000000	vips	1	403	35.000000	5.064000	0.405000	1572882860	9586	283655527	208565605	1377668	72300	
4.000000	vips	1	403	35.000000	5.064000	0.445000	1568274516	10396	283311944	208411562	1402052	72859	
4.000000	vips	1	518	35.000000	5.064000	0.486000	1564480086	8269	279706286	205802736	1130676	72139	
4.000000	vips	1	518	35.000000	5.064000	0.486000	1577691020	7942	282207003	207388623	1028408	72921	
4.000000	vips	1	518	36.000000	5.064000	0.445000	1569775509	8877	280891188	206598002	1131556	72604	
2.000000	vips	1	614	35.000000	5.064000	0.526000	1586179478	6266	282264867	207604783	1250225	73070	
2.000000	vips	1	614	35.000000	5.064000	0.526000	1572374573	6715	279027981	205268795	1643068	71884	
4.000000	vips	1	614	35.000000	5.064000	0.526000	1582114565	7328	280248017	206124117	1134751	72411	
4.000000	vips	1	710	35.000000	5.064000	0.567000	1588802866	6284	279622245	205703528	1128142	72168	
2.000000	vips	1	710	35.000000	5.064000	0.567000	1601355785	5955	281785956	207267695	1024186	73195	
4.000000	vips	1	710	35.000000	5.064000	0.567000	1586845404	6535	279182844	205373247	1289763	72817	
4.000000	vips	1	921	36.000000	5.064000	0.648000	1626291218	5217	280404807	206277792	1133767	71931	
4.000000	vips	1	921	35.000000	5.056000	0.687000	1623232995	5311	280031412	206036319	1374590	71911	
2.000000	vips	1	921	36.000000	5.064000	0.648000	1635167084	5213	281842457	207140749	1135408	71845	
2.000000	vips	1	1036	36.000000	5.056000	0.728000	1652641431	4817	281840992	207271827	1248381	72770	
4.000000	vips	1	1036	35.000000	5.056000	0.728000	1655935162	4301	283273133	207960313	1377635	73133	
2.000000	vips	1	1036	35.000000	5.056000	0.728000	1652568627	5275	282136363	207276790	1285612	73105	
4.000000	vips	1	1132	36.000000	5.056000	0.728000	1663634163	4570	283627681	208215272	1642982	73931	
4.000000	vips	1	1132	36.000000	5.056000	0.728000	1636319039	3971	278140524	204594107	1136986	72109	
2.000000	vips	1	1132	36.000000	5.056000	0.768000	1660637645	4534	282667389	207734393	1376880	72195	
2.000000	vips	1	1224	36.000000	5.056000	0.889000	1656546527	3742	280109164	205896003	1373435	71575	
2.000000	vips	1	1224	36.000000	5.056000	0.889000	1648820369	3831	278127067	204566621	1292160	72036	
2.000000	vips	1	1224	35.000000	5.056000	0.889000	1658064466	4106	279596092	205533223	1132957	72369	
2.000000	vips	1	1428	36.000000	5.048000	1.130000	1697090812	3393	281395935	206704639	1241639	72334	
2.000000	vips	1	1428	36.000000	5.048000	1.130000	1687869146	3727	279614941	205662870	1295957	72130	
4.000000	vips	1	1428	36.000000	5.048000	1.130000	1694607798	3827	280132978	205931196	1023387	72470	
4.000000	vips	1	1479	38.000000	5.048000	1.171000	1701077357	3580	280491880	206309555	1289340	72622	
2.000000	vips	1	1479	36.000000	5.048000	1.211000	1705376997	3514	281501896	206914699	1242666	72679	
2.000000	vips	1	1479	37.000000	5.048000	1.171000	1687702332	3578	278602462	204828723	1130851	72332	
14.000000	x264	1	102	35.000000	5.072000	0.243000	1450160433	30707	260014501	196318787	1299108	67283	
14.000000	x264	1	102	35.000000	5.072000	0.243000	1435136180	31321	257806686	195074735	1300288	67344	
16.000000	x264	1	102	35.000000	5.072000	0.243000	1446960442	30565	259812778	196314272	1166175	68272	
8.000000	x264	1	204	35.000000	5.072000	0.324000	1409956478	16920	255016683	192421443	935084	67125	
8.000000	x264	1	204	35.000000	5.072000	0.324000	1425401201	17247	257407779	193968217	1044197	67365	
8.000000	x264	1	204	35.000000	5.072000	0.324000	1411490469	17137	254165964	192145447	1045640	66986	
6.000000	x264	1	307	35.000000	5.072000	0.365000	1397085199	10678	252357476	190274658	934002	68061	
6.000000	x264	1	307	35.000000	5.072000	0.365000	1411874176	11298	253897537	191604303	1041301	67004	
4.000000	x264	1	307	35.000000	5.072000	0.365000	1412020936	11436	254669496	192021267	1040367	67525	
4.000000	x264	1	403	35.000000	5.072000	0.405000	1415352472	9615	252781099	190699984	1282344	67357	
4.000000	x264	1	403	35.000000	5.072000	0.405000	1413607283	9226	252938396	190771561	1283871	67827	
4.000000	x264	1	403	35.000000	5.072000	0.405000	1419210708	9333	254033882	191514146	1039528	67092	
4.000000	x264	1	518	35.000000	5.064000	0.486000	1429206079	7338	252672725	190760166	931105	67115	
4.000000	x264	1	518	35.000000	5.072000	0.445000	1426419352	6912	252466412	190538054	1154117	68578	
4.000000	x264	1	518	35.000000	5.072000	0.446000	1421008679	7472	251289619	189904861	933303	67435	
2.000000	x264	1	614	35.000000	5.072000	0.486000	1440000215	5930	253173299	190947545	1151390	68031	
2.000000	x264	1	614	35.000000	5.072000	0.486000	1434272804	6261	251488517	189794747	1042641	67859	
4.000000	x264	1	614	35.000000	5.072000	0.446000	1431859544	6208	251217105	189647102	1153226	67407	
4.000000	x264	1	710	35.000000	5.064000	0.526000	1441750431	5452	250230964	188794220	1152400	66728	
2.000000	x264	1	710	35.000000	5.072000	0.486000	1448381869	5350	251971867	190203756	1039265	67664	
4.000000	x264	1	710	35.000000	5.064000	0.486000	1447465066	6144	251316318	189632185	1151461	67966	
4.000000	x264	1	921	35.000000	5.064000	0.567000	1461993568	4487	248967834	188059052	1038266	66441	
4.000000	x264	1	921	35.000000	5.064000	0.567000	1463790172	4665	249350241	188236073	1154669	67887	
2.000000	x264	1	921	35.000000	5.064000	0.567000	1472445104	4263	250871416	189402608	1285136	67790	
4.000000	x264	1	1036	35.000000	5.064000	0.648000	1491501956	4134	250624080	189399069	1037965	66951	
4.000000	x264	1	1036	35.000000	5.064000	0.648000	1482670156	3783	249714923	188632430	1036029	67158	
2.000000	x264	1	1036	35.000000	5.064000	0.648000	1491732003	4120	250790102	189269074	1036058	66516	
2.000000	x264	1	1132	35.000000	5.064000	0.648000	1517559140	4221	255269912	192320151	1038342	68063	
4.000000	x264	1	1132	35.000000	5.064000	0.648000	1505192201	4628	252162958	190187391	1284797	68386	
2.000000	x264	1	1132	36.000000	5.064000	0.648000	1491445326	4202	250293818	188959899	1040581	67518	
4.000000	x264	1	1224	35.000000	5.056000	0.728000	1506822015	4120	250137581	189080159	932529	67045	
2.000000	x264	1	1224	35.000000	5.064000	0.729000	1514615742	4062	251430624	189675105	1038684	67304	
4.000000	x264	1	1224	35.000000	5.064000	0.728000	1502246192	3642	249977019	188689516	1155468	67704	
2.000000	x264	1	1428	36.000000	5.056000	0.930000	1533834161	3474	249673859	188490686	929343	66794	
4.000000	x264	1	1428	35.000000	5.048000	0.969000	1526683416	3432	249102671	188083050	1282231	67202	
2.000000	x264	1	1428	36.000000	5.056000	0.930000	1534631956	3215	250293778	189046992	1284030	67205	
4.000000	x264	1	1479	36.000000	5.056000	0.969000	1555768875	3452	252528630	190332755	931002	67456	
2.000000	x264	1	1479	35.000000	5.056000	1.009000	1541923652	3698	249864681	188719377	929025	66883	
2.000000	x264	1	1479	36.000000	5.048000	1.049000	1544552337	3844	250321516	189029534	1282979	67270	
