Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	BUS_ACCESS_PERIPH	MEM_ACCESS_LD	MEM_ACCESS_ST	UNALIGNED_LD_SPEC	UNALIGNED_ST_SPEC
4.000000	bodytrack	1	614	35.000000	5.064000	0.526000	1676321356	6452	325020600	207787367	1130914	69280	
4.000000	bodytrack	1	710	35.000000	5.056000	0.566000	1683055016	7139	322635146	206327892	1248968	68799	
4.000000	bodytrack	1	710	35.000000	5.056000	0.566000	1684451698	6471	323350515	206789991	1380647	69326	
2.000000	bodytrack	1	710	36.000000	5.056000	0.566000	1679230039	6943	322412619	206260796	1250907	69067	
4.000000	bodytrack	1	921	36.000000	5.048000	0.686000	1712694552	4759	322699102	206205218	1377061	68786	
4.000000	bodytrack	1	921	36.000000	5.056000	0.687000	1711247580	5927	322322247	205940314	1250683	69092	
2.000000	bodytrack	1	921	35.000000	5.056000	0.726000	1720514008	5547	323223544	206618337	1251841	69614	
4.000000	bodytrack	1	1036	35.000000	5.048000	0.848000	1724830418	5428	320885708	205158874	1250351	68272	
4.000000	bodytrack	1	1036	35.000000	5.048000	0.848000	1731188714	4865	322838725	206180635	1241652	69529	
4.000000	bodytrack	1	1036	36.000000	5.048000	0.848000	1725831419	4900	322066566	205732355	1133105	69447	
4.000000	bodytrack	1	1132	36.000000	5.048000	0.888000	1734949818	5292	322179929	205977414	1246719	69270	
2.000000	bodytrack	1	1132	36.000000	5.040000	0.846000	1729793170	4811	321067447	204989151	1378654	68252	
2.000000	bodytrack	1	1132	36.000000	5.040000	0.846000	1748090316	4761	325014390	207742757	1244773	69830	
4.000000	bodytrack	1	1224	36.000000	5.040000	0.967000	1761459470	5040	324721412	207477464	1247367	69554	
4.000000	bodytrack	1	1224	36.000000	5.040000	0.966000	1750994215	4568	322457464	205829227	1133447	68813	
2.000000	bodytrack	1	1224	36.000000	5.048000	0.928000	1748302650	5121	321653264	205553986	1250821	68770	
2.000000	bodytrack	1	1428	36.000000	5.032000	1.207000	1765232511	3945	319752250	204166316	1136320	68356	
4.000000	bodytrack	1	1428	37.000000	5.032000	1.249000	1761565293	3704	319630987	204186486	1135764	68598	
2.000000	bodytrack	1	1428	37.000000	5.040000	1.207000	1788047485	3599	323370037	206721394	1134450	69316	
2.000000	bodytrack	1	1479	36.000000	5.032000	1.288000	1799836377	4094	324889005	207484322	1137620	69372	
2.000000	bodytrack	1	1479	37.000000	5.032000	1.288000	1785447173	3530	321560291	205302868	1025176	68955	
6.000000	bodytrack	1	1479	36.000000	5.032000	1.288000	1788785210	3654	322013084	205977705	1025674	68761	
12.000000	dedup	1	102	35.000000	5.064000	0.243000	1460234392	31640	261599104	197942120	1057315	60296	
22.000000	dedup	1	102	35.000000	5.064000	0.243000	1464091798	30928	262349192	198567922	1060431	60897	
14.000000	dedup	1	102	35.000000	5.072000	0.243000	1472149205	32216	264223170	200027065	1059142	61591	
8.000000	dedup	1	204	35.000000	5.064000	0.364000	1409720326	15705	254690756	192893091	1163679	60728	
8.000000	dedup	1	204	35.000000	5.056000	0.364000	1423171620	15601	257963099	195075057	1297202	60735	
8.000000	dedup	1	204	35.000000	5.064000	0.364000	1423625465	16058	257362294	194627439	1293697	59888	
6.000000	dedup	1	307	35.000000	5.056000	0.444000	1417097280	11278	256210501	193572427	1047272	61081	
6.000000	dedup	1	307	35.000000	5.056000	0.444000	1408903735	11251	253370759	191779323	1292411	60177	
6.000000	dedup	1	307	35.000000	5.048000	0.484000	1406067739	10488	253443745	191901547	1291388	60300	
8.000000	dedup	1	403	35.000000	5.056000	0.525000	1408383403	8462	252465132	191143698	938823	60012	
6.000000	dedup	1	403	35.000000	5.056000	0.566000	1418567469	9020	253587207	191925189	940675	60924	
