Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	PC_WRITE_SPEC	CRYPTO_SPEC	BR_IMMED_SPEC	BR_RETURN_SPEC	BR_INDIRECT_SPEC
3.000000	bodytrack	1	614	33.000000	5.064000	0.526000	1656559711	268677601	0	239265753	24570799	29373628	
3.000000	bodytrack	1	710	33.000000	5.064000	0.567000	1677786827	269959442	0	240323083	24793640	29598160	
3.000000	bodytrack	1	710	34.000000	5.064000	0.567000	1670948247	268337963	0	238967467	24528669	29332269	
3.500000	bodytrack	1	710	33.000000	5.064000	0.567000	1665618851	268071252	0	238736677	24493476	29296363	
3.000000	bodytrack	1	921	33.000000	5.056000	0.728000	1699773354	268099049	0	238784596	24477435	29276257	
3.500000	bodytrack	1	921	33.000000	5.056000	0.687000	1719555418	271683597	0	241753621	25086414	29891759	
3.000000	bodytrack	1	921	33.000000	5.056000	0.728000	1695997329	267566979	0	238327147	24403520	29201628	
3.000000	bodytrack	1	1036	33.000000	5.048000	0.848000	1717765893	268134036	0	238801053	24500189	29294759	
3.000000	bodytrack	1	1036	33.000000	5.056000	0.849000	1723291085	268967349	0	239440106	24691778	29489036	
3.000000	bodytrack	1	1036	33.000000	5.048000	0.848000	1737014662	271299769	0	241444821	25015064	29816725	
3.000000	bodytrack	1	1132	33.000000	5.048000	0.848000	1725680929	268458466	0	239016201	24613119	29404063	
3.000000	bodytrack	1	1132	33.000000	5.048000	0.848000	1744304004	272312059	0	242223772	25252555	30050071	
3.000000	bodytrack	1	1132	34.000000	5.048000	0.848000	1732872926	270519972	0	240728669	24955888	29753093	
3.000000	bodytrack	1	1224	33.000000	5.048000	0.969000	1741509350	268079273	0	238714618	24534335	29326445	
2.500000	bodytrack	1	1224	34.000000	5.048000	0.928000	1741005103	267980107	0	238688111	24461720	29253780	
3.000000	bodytrack	1	1224	33.000000	5.048000	0.928000	1741566912	268282573	0	238912979	24538713	29331389	
3.000000	bodytrack	1	1428	35.000000	5.040000	1.209000	1768912181	268164025	0	238831032	24502440	29294788	
3.000000	bodytrack	1	1428	35.000000	5.040000	1.169000	1766717642	267530772	0	238245538	24457355	29247034	
3.000000	bodytrack	1	1428	34.000000	5.040000	1.169000	1774660143	269856425	0	240152485	24872092	29665734	
2.500000	bodytrack	1	1479	34.000000	5.040000	1.290000	1779803658	267402527	0	238200542	24372945	29163751	
2.500000	bodytrack	1	1479	35.000000	5.040000	1.290000	1773469604	267907064	0	238585294	24490564	29283552	
2.500000	bodytrack	1	1479	34.000000	5.032000	1.328000	1778282277	268721963	0	239235558	24655782	29448184	
15.500000	dedup	1	102	33.000000	5.072000	0.243000	1448439829	233123581	0	202932078	25139080	30155548	
17.500000	dedup	1	102	33.000000	5.072000	0.243000	1442204407	231600805	0	201681219	24870723	29883617	
15.500000	dedup	1	102	33.000000	5.072000	0.243000	1442420684	231564351	0	201610591	24907709	29917804	
7.500000	dedup	1	204	33.000000	5.064000	0.364000	1426529345	230974644	0	201221238	24749646	29717461	
10.000000	dedup	1	204	33.000000	5.064000	0.364000	1435018935	234239681	0	203943702	25294311	30260023	
8.000000	dedup	1	204	33.000000	5.064000	0.364000	1420037587	230805481	0	201072218	24734837	29697313	
5.000000	dedup	1	307	33.000000	5.056000	0.485000	1400233521	226925051	0	197770363	24180218	29118740	
5.000000	dedup	1	307	33.000000	5.064000	0.445000	1404644528	227772747	0	198516327	24274516	29220492	
5.000000	dedup	1	307	33.000000	5.056000	0.444000	1406542719	228144207	0	198867410	24297839	29240850	
4.500000	dedup	1	403	33.000000	5.056000	0.525000	1413650863	227976904	0	198638432	24369661	29302543	
4.500000	dedup	1	403	33.000000	5.056000	0.525000	1428884344	230310297	0	200571402	24759879	29702965	
6.000000	dedup	1	403	33.000000	5.056000	0.525000	1415557185	228315776	0	198974117	24367193	29305726	
3.500000	dedup	1	518	33.000000	5.056000	0.566000	1429082046	228381205	0	199042716	24374093	29302548	
4.000000	dedup	1	518	33.000000	5.056000	0.606000	1425995009	228115908	0	198760287	24389364	29319685	
3.500000	dedup	1	518	33.000000	5.056000	0.566000	1428637971	227580732	0	198325192	24291950	29219588	
5.500000	dedup	1	614	33.000000	5.056000	0.647000	1439515573	228175802	0	198883660	24331429	29256203	
3.500000	dedup	1	614	33.000000	5.048000	0.647000	1440256126	227819522	0	198514050	24343101	29269534	
3.500000	dedup	1	614	33.000000	5.056000	0.646000	1444090856	228731475	0	199239950	24530675	29455556	
3.000000	dedup	1	710	33.000000	5.048000	0.726000	1445476522	227123827	0	197906522	24258227	29181379	
3.500000	dedup	1	710	33.000000	5.048000	0.726000	1455249398	228570673	0	199138542	24474859	29396196	
3.000000	dedup	1	710	33.000000	5.048000	0.726000	1460361333	229600440	0	200043827	24597771	29520683	
3.000000	dedup	1	921	34.000000	5.040000	0.887000	1499488074	231071980	0	201284694	24828746	29751344	
2.500000	dedup	1	921	33.000000	5.048000	0.807000	1486946779	227758253	0	198493620	24312757	29228708	
3.000000	dedup	1	921	33.000000	5.040000	0.848000	1482289778	227487743	0	198249050	24284307	29202748	
3.000000	dedup	1	1036	33.000000	5.040000	0.967000	1505322633	228313370	0	198966443	24390519	29310976	
3.000000	dedup	1	1036	33.000000	5.040000	1.008000	1519839527	231545264	0	201625285	24959315	29884034	
3.000000	dedup	1	1036	34.000000	5.040000	0.927000	1506840208	228839573	0	199404642	24484115	29398988	
