Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	BUS_ACCESS_LD	BUS_ACCESS_ST	BUS_ACCESS_SHARED	BUS_ACCESS_NOT_SHARED	BUS_ACCESS_NORMAL
2.000000	bodytrack	1	614	35.000000	5.064000	0.526000	1662004406	21768349	11502381	0	33270730	33263773	
4.000000	bodytrack	1	710	35.000000	5.056000	0.606000	1682324289	21406745	11460774	0	32867519	32861469	
4.000000	bodytrack	1	710	35.000000	5.056000	0.566000	1671732190	21618829	11538410	0	33157239	33150911	
2.000000	bodytrack	1	710	35.000000	5.056000	0.566000	1701826012	21970375	11662364	0	33632739	33626365	
2.000000	bodytrack	1	921	36.000000	5.056000	0.728000	1710796756	20895431	11530054	0	32425485	32420183	
4.000000	bodytrack	1	921	36.000000	5.048000	0.728000	1713644305	21162338	11594224	0	32756562	32751043	
4.000000	bodytrack	1	921	36.000000	5.048000	0.726000	1712954091	21337074	11626196	0	32963270	32958063	
2.000000	bodytrack	1	1036	36.000000	5.048000	0.848000	1731824599	20912452	11435591	0	32348043	32343240	
4.000000	bodytrack	1	1036	36.000000	5.048000	0.807000	1739620697	20923567	11477447	0	32401014	32396164	
4.000000	bodytrack	1	1036	36.000000	5.048000	0.848000	1719611397	20832927	11427352	0	32260279	32255366	
4.000000	bodytrack	1	1132	36.000000	5.048000	0.848000	1731395955	20978563	11492107	0	32470670	32465812	
2.000000	bodytrack	1	1132	36.000000	5.048000	0.848000	1743897330	20573130	11332466	0	31905596	31900859	
4.000000	bodytrack	1	1132	36.000000	5.048000	0.848000	1725618775	20711890	11507141	0	32219031	32214557	
4.000000	bodytrack	1	1224	36.000000	5.048000	0.969000	1753782102	20784775	11602815	0	32387590	32382831	
2.000000	bodytrack	1	1224	36.000000	5.048000	0.969000	1738964366	20570872	11392033	0	31962905	31958729	
2.000000	bodytrack	1	1224	36.000000	5.048000	0.969000	1745954905	20717227	11531789	0	32249016	32244632	
4.000000	bodytrack	1	1428	36.000000	5.040000	1.209000	1784739082	20350589	11491494	0	31842083	31838061	
2.000000	bodytrack	1	1428	37.000000	5.032000	1.207000	1772352240	20267536	11582909	0	31850445	31846212	
2.000000	bodytrack	1	1428	36.000000	5.032000	1.247000	1788441329	20696253	11695682	0	32391935	32387579	
4.000000	bodytrack	1	1479	36.000000	5.032000	1.288000	1775936804	20205621	11406268	0	31611889	31608042	
2.000000	bodytrack	1	1479	37.000000	5.032000	1.328000	1787663004	20294549	11424488	0	31719037	31715104	
2.000000	bodytrack	1	1479	37.000000	5.032000	1.288000	1787146566	20401436	11398738	0	31800174	31795734	
18.000000	dedup	1	102	35.000000	5.064000	0.243000	1464791088	26724943	11627973	0	38352916	38320861	
16.000000	dedup	1	102	35.000000	5.064000	0.243000	1458068739	26735015	11354304	0	38089319	38058908	
14.000000	dedup	1	102	35.000000	5.072000	0.243000	1450834638	26295162	11139668	0	37434830	37402819	
8.000000	dedup	1	204	35.000000	5.064000	0.364000	1434698366	24069410	11205435	0	35274845	35258175	
8.000000	dedup	1	204	35.000000	5.056000	0.364000	1414443109	22728853	10887221	0	33616074	33600191	
12.000000	dedup	1	204	35.000000	5.064000	0.405000	1416485420	24174251	11236613	0	35410864	35394272	
6.000000	dedup	1	307	35.000000	5.056000	0.444000	1424891374	22325741	11080703	0	33406444	33394564	
6.000000	dedup	1	307	35.000000	5.056000	0.444000	1429669514	22585469	11030322	0	33615791	33605025	
6.000000	dedup	1	307	35.000000	5.056000	0.444000	1416871567	22809337	11238878	0	34048215	34037271	
6.000000	dedup	1	403	35.000000	5.056000	0.525000	1420808103	21344329	11199373	0	32543702	32534777	
6.000000	dedup	1	403	35.000000	5.056000	0.525000	1419072891	21528802	10972267	0	32501069	32492123	
4.000000	dedup	1	403	35.000000	5.056000	0.525000	1413172088	21713612	11108939	0	32822551	32814036	
4.000000	dedup	1	518	35.000000	5.048000	0.605000	1428456337	21025634	11010278	0	32035912	32028630	
6.000000	dedup	1	518	35.000000	5.048000	0.605000	1420030613	20278158	10947431	0	31225589	31218819	
4.000000	dedup	1	518	36.000000	5.048000	0.605000	1439006715	21148108	10947239	0	32095347	32088256	
2.000000	dedup	1	614	36.000000	5.048000	0.686000	1437428522	20303225	10904652	0	31207877	31201770	
4.000000	dedup	1	614	35.000000	5.048000	0.646000	1444030571	20783952	11014291	0	31798243	31791832	
4.000000	dedup	1	614	36.000000	5.048000	0.686000	1449015815	20656697	10817362	0	31474059	31467590	
4.000000	dedup	1	710	36.000000	5.048000	0.686000	1444999485	20047660	10748201	0	30795861	30790619	
4.000000	dedup	1	710	36.000000	5.048000	0.726000	1463972619	20537035	11082143	0	31619178	31613966	
4.000000	dedup	1	710	35.000000	5.048000	0.726000	1466593469	20685700	11054354	0	31740054	31734181	
4.000000	dedup	1	921	36.000000	5.040000	0.846000	1485266499	19672974	10849028	0	30522002	30517287	
2.000000	dedup	1	921	36.000000	5.040000	0.887000	1487001473	20144048	11265106	0	31409154	31404607	
4.000000	dedup	1	921	35.000000	5.040000	0.846000	1496328773	20140082	10894984	0	31035066	31030059	
2.000000	dedup	1	1036	36.000000	5.040000	0.927000	1501248079	19736325	10770819	0	30507144	30503178	
2.000000	dedup	1	1036	36.000000	5.040000	0.967000	1503099566	19402981	11011926	0	30414907	30410614	
2.000000	dedup	1	1036	36.000000	5.040000	0.927000	1512281181	19697582	11013160	0	30710742	30706439	
2.000000	dedup	1	1132	36.000000	5.040000	1.048000	1501932456	18996266	10681889	0	29678155	29673784	
4.000000	dedup	1	1132	36.000000	5.040000	1.046000	1495012269	19165974	10879081	0	30045055	30041330	
4.000000	dedup	1	1132	36.000000	5.040000	1.006000	1522527226	19761684	11059301	0	30820985	30817290	
2.000000	dedup	1	1224	36.000000	5.040000	1.048000	1525179816	19707546	11020816	0	30728362	30724588	
4.000000	dedup	1	1224	36.000000	5.032000	1.127000	1516428869	19397528	10887033	0	30284561	30280689	
4.000000	dedup	1	1224	36.000000	5.032000	1.127000	1530483966	19485817	10976590	0	30462407	30458599	
4.000000	dedup	1	1428	37.000000	5.032000	1.408000	1548909200	18959419	10970142	0	29929561	29925897	
4.000000	dedup	1	1428	37.000000	5.024000	1.446000	1548042783	19096390	10970593	0	30066983	30063364	
2.000000	dedup	1	1428	37.000000	5.032000	1.449000	1563187694	19201661	11068304	0	30269965	30266698	
4.000000	dedup	1	1479	37.000000	5.024000	1.446000	1560108169	18992243	10910102	0	29902345	29899023	
2.000000	dedup	1	1479	37.000000	5.024000	1.527000	1558207665	19028096	10944626	0	29972722	29969470	
2.000000	dedup	1	1479	37.000000	5.024000	1.487000	1565270460	18848698	10889403	0	29738101	29734882	
18.000000	ferret	1	102	35.000000	5.064000	0.243000	1480092723	25121702	10855667	0	35977369	35945298	
20.000000	ferret	1	102	35.000000	5.064000	0.243000	1480287733	24693789	10907942	0	35601731	35569964	
14.000000	ferret	1	102	35.000000	5.072000	0.243000	1469680499	24605274	11039554	0	35644828	35612889	
8.000000	ferret	1	204	35.000000	5.072000	0.324000	1443421458	22650359	10649693	0	33300052	33283159	
8.000000	ferret	1	204	35.000000	5.072000	0.324000	1427346591	23896514	10878015	0	34774529	34758207	
6.000000	ferret	1	204	35.000000	5.072000	0.324000	1438297332	23822766	10558642	0	34381408	34364302	
6.000000	ferret	1	307	35.000000	5.072000	0.364000	1432285433	20749652	10489804	0	31239456	31227541	
6.000000	ferret	1	307	35.000000	5.064000	0.364000	1439096398	22136119	10493118	0	32629237	32617373	
4.000000	ferret	1	307	35.000000	5.072000	0.365000	1433171599	21651244	10626242	0	32277486	32265447	
6.000000	ferret	1	403	35.000000	5.064000	0.405000	1429045507	21505501	10654682	0	32160183	32150923	
6.000000	ferret	1	403	35.000000	5.072000	0.405000	1435480349	21334047	10546939	0	31880986	31871662	
4.000000	ferret	1	403	35.000000	5.072000	0.405000	1430874210	21802418	10758567	0	32560985	32550749	
4.000000	ferret	1	518	35.000000	5.072000	0.446000	1457175579	21174735	10755472	0	31930207	31922480	
4.000000	ferret	1	518	35.000000	5.072000	0.446000	1455513850	20967811	10691671	0	31659482	31651302	
4.000000	ferret	1	518	35.000000	5.072000	0.446000	1443629670	20290872	10390602	0	30681474	30674245	
4.000000	ferret	1	614	35.000000	5.072000	0.486000	1473122014	20364337	10596598	0	30960935	30954546	
4.000000	ferret	1	614	35.000000	5.072000	0.446000	1455946346	20270999	10418139	0	30689138	30682945	
4.000000	ferret	1	614	35.000000	5.072000	0.446000	1472021144	20610099	10441194	0	31051293	31044216	
4.000000	ferret	1	710	35.000000	5.072000	0.486000	1483623085	20373373	10757684	0	31131057	31125409	
2.000000	ferret	1	710	35.000000	5.056000	0.485000	1487079376	19868779	10364356	0	30233135	30227067	
4.000000	ferret	1	710	35.000000	5.056000	0.485000	1471345452	19711212	10335862	0	30047074	30040522	
4.000000	ferret	1	921	35.000000	5.056000	0.566000	1500360262	19522655	10430074	0	29952729	29947850	
2.000000	ferret	1	921	35.000000	5.064000	0.607000	1490112753	19345020	10408686	0	29753706	29749075	
2.000000	ferret	1	921	35.000000	5.064000	0.607000	1505199756	19446138	10481220	0	29927358	29922424	
2.000000	ferret	1	1036	36.000000	5.064000	0.648000	1522023011	19092428	10503236	0	29595664	29590757	
2.000000	ferret	1	1036	36.000000	5.056000	0.728000	1525469182	19257759	10494937	0	29752696	29748546	
4.000000	ferret	1	1036	35.000000	5.064000	0.648000	1513616902	18927323	10191642	0	29118965	29114569	
4.000000	ferret	1	1132	36.000000	5.056000	0.647000	1523853492	19280041	10489885	0	29769926	29765663	
4.000000	ferret	1	1132	36.000000	5.064000	0.648000	1529773054	19323715	10519595	0	29843310	29838276	
2.000000	ferret	1	1132	36.000000	5.064000	0.648000	1524522953	19017310	10537802	0	29555112	29551022	
4.000000	ferret	1	1224	36.000000	5.056000	0.726000	1541049854	19156681	10450194	0	29606875	29603096	
4.000000	ferret	1	1224	35.000000	5.064000	0.729000	1526216462	19253944	10453847	0	29707791	29703485	
4.000000	ferret	1	1224	36.000000	5.064000	0.729000	1534011982	18761330	10350989	0	29112319	29108700	
4.000000	ferret	1	1428	36.000000	5.056000	0.930000	1562177863	18700315	10429679	0	29129994	29126365	
4.000000	ferret	1	1428	36.000000	5.056000	0.930000	1561713090	18863183	10574867	0	29438050	29434723	
2.000000	ferret	1	1428	37.000000	5.056000	0.930000	1559758298	18903768	10832908	0	29736676	29733184	
2.000000	ferret	1	1479	37.000000	5.056000	0.970000	1568632052	18622072	10413790	0	29035862	29032671	
4.000000	ferret	1	1479	36.000000	5.056000	1.009000	1580786448	19006178	10530747	0	29536925	29533491	
4.000000	ferret	1	1479	36.000000	5.048000	1.009000	1579828789	19017789	10678884	0	29696673	29693092	
20.000000	fluidanimate	1	102	35.000000	5.072000	0.283000	1494498171	24993200	11119142	0	36112342	36079435	
18.000000	fluidanimate	1	102	35.000000	5.072000	0.243000	1498654510	26280179	11346559	0	37626738	37592945	
14.000000	fluidanimate	1	102	35.000000	5.072000	0.243000	1495531441	26388492	11449103	0	37837595	37806478	
8.000000	fluidanimate	1	204	35.000000	5.064000	0.364000	1450985750	23951877	11016597	0	34968474	34950657	
8.000000	fluidanimate	1	204	35.000000	5.064000	0.364000	1460043988	22672496	10948312	0	33620808	33604288	
8.000000	fluidanimate	1	204	35.000000	5.056000	0.364000	1477749159	23983427	11069551	0	35052978	35035683	
6.000000	fluidanimate	1	307	35.000000	5.056000	0.444000	1437847215	21947698	10851250	0	32798948	32786748	
6.000000	fluidanimate	1	307	35.000000	5.056000	0.444000	1452840778	22365314	10966318	0	33331632	33318609	
6.000000	fluidanimate	1	307	35.000000	5.056000	0.444000	1460974020	22140121	10818840	0	32958961	32946716	
4.000000	fluidanimate	1	403	35.000000	5.056000	0.525000	1457528186	20957075	10841081	0	31798156	31787574	
4.000000	fluidanimate	1	403	36.000000	5.056000	0.485000	1446329591	21712727	10829111	0	32541838	32532062	
4.000000	fluidanimate	1	403	36.000000	5.056000	0.485000	1462762311	21803523	10944691	0	32748214	32738685	
4.000000	fluidanimate	1	518	35.000000	5.048000	0.566000	1460933754	20797852	10766716	0	31564568	31556180	
4.000000	fluidanimate	1	518	36.000000	5.048000	0.605000	1464238990	20447277	10862010	0	31309287	31301695	
4.000000	fluidanimate	1	518	36.000000	5.056000	0.566000	1479441171	21097054	11011655	0	32108709	32101516	
4.000000	fluidanimate	1	614	36.000000	5.048000	0.646000	1481831257	20547339	11046456	0	31593795	31586860	
2.000000	fluidanimate	1	614	36.000000	5.048000	0.646000	1477898021	20695036	10922582	0	31617618	31611804	
2.000000	fluidanimate	1	614	36.000000	5.048000	0.646000	1497722056	20982450	11046428	0	32028878	32022446	
2.000000	fluidanimate	1	710	36.000000	5.048000	0.686000	1480637291	19747971	10776159	0	30524130	30518421	
2.000000	fluidanimate	1	710	36.000000	5.040000	0.685000	1487819711	19889868	10771862	0	30661730	30656001	
4.000000	fluidanimate	1	710	36.000000	5.032000	0.885000	1494513773	20104054	10863689	0	30967743	30961915	
4.000000	fluidanimate	1	921	36.000000	5.032000	0.845000	1512372374	19342269	10713642	0	30055911	30050906	
4.000000	fluidanimate	1	921	36.000000	5.048000	0.807000	1527367824	19552230	10840228	0	30392458	30387400	
2.000000	fluidanimate	1	921	36.000000	5.048000	0.807000	1504778765	19375741	10770067	0	30145808	30141356	
2.000000	fluidanimate	1	1036	36.000000	5.040000	0.967000	1535214868	19281682	10787490	0	30069172	30064403	
4.000000	fluidanimate	1	1036	36.000000	5.040000	0.927000	1551798191	19379274	10805852	0	30185126	30180414	
2.000000	fluidanimate	1	1036	36.000000	5.032000	0.966000	1552876668	19615788	10830502	0	30446290	30442367	
2.000000	fluidanimate	1	1132	37.000000	5.032000	0.925000	1544227302	19252199	10844747	0	30096946	30092344	
2.000000	fluidanimate	1	1132	36.000000	5.040000	1.008000	1541941392	19219302	10855936	0	30075238	30071240	
2.000000	fluidanimate	1	1132	36.000000	5.040000	0.967000	1548762243	19249157	10884405	0	30133562	30129579	
2.000000	fluidanimate	1	1224	36.000000	5.032000	1.046000	1553805899	19021653	10730675	0	29752328	29748243	
2.000000	fluidanimate	1	1224	36.000000	5.040000	1.008000	1555071709	18968600	10746298	0	29714898	29710829	
2.000000	fluidanimate	1	1224	37.000000	5.032000	1.207000	1557188731	19007178	10814110	0	29821288	29816576	
2.000000	fluidanimate	1	1428	37.000000	5.024000	1.446000	1583735183	18873052	10907111	0	29780163	29775995	
2.000000	fluidanimate	1	1428	37.000000	5.016000	1.524000	1585025405	19059112	10906170	0	29965282	29962021	
4.000000	fluidanimate	1	1428	37.000000	5.024000	1.286000	1574542627	18824103	10994578	0	29818681	29815266	
2.000000	fluidanimate	1	1479	37.000000	5.024000	1.406000	1600115221	18871254	10988801	0	29860055	29856233	
4.000000	fluidanimate	1	1479	37.000000	5.016000	1.524000	1579627643	18616374	10753022	0	29369396	29365963	
4.000000	fluidanimate	1	1479	38.000000	5.016000	1.605000	1593162278	18938113	10789480	0	29727593	29724001	
18.000000	freqmine	1	102	36.000000	5.072000	0.243000	1470725439	24382053	10779325	0	35161378	35131896	
14.000000	freqmine	1	102	35.000000	5.072000	0.243000	1461145363	26477375	11097972	0	37575347	37545195	
18.000000	freqmine	1	102	35.000000	5.064000	0.243000	1467753040	25743714	10950895	0	36694609	36665314	
10.000000	freqmine	1	204	36.000000	5.064000	0.364000	1425299609	23712756	10795809	0	34508565	34492547	
8.000000	freqmine	1	204	35.000000	5.064000	0.364000	1431365550	22837172	10814139	0	33651311	33635177	
10.000000	freqmine	1	204	36.000000	5.064000	0.324000	1424050976	23436877	10921177	0	34358054	34342091	
6.000000	freqmine	1	307	36.000000	5.056000	0.444000	1442650826	22137022	10747505	0	32884527	32872729	
4.000000	freqmine	1	307	36.000000	5.056000	0.444000	1425679351	22212579	10726811	0	32939390	32928373	
6.000000	freqmine	1	307	35.000000	5.056000	0.404000	1425165376	22091557	10651027	0	32742584	32731532	
4.000000	freqmine	1	403	35.000000	5.056000	0.485000	1435009042	21049082	10865501	0	31914583	31905942	
4.000000	freqmine	1	403	35.000000	5.056000	0.485000	1426816191	21549903	10658738	0	32208641	32199518	
6.000000	freqmine	1	403	35.000000	5.056000	0.525000	1437652683	21437437	10650936	0	32088373	32079321	
4.000000	freqmine	1	518	36.000000	5.056000	0.566000	1449498470	20834748	10616572	0	31451320	31443795	
4.000000	freqmine	1	518	36.000000	5.048000	0.565000	1442597252	19807050	10421618	0	30228668	30221183	
4.000000	freqmine	1	518	36.000000	5.048000	0.565000	1449436993	20929002	10660989	0	31589991	31582356	
4.000000	freqmine	1	614	36.000000	5.056000	0.605000	1450492040	20026481	10782330	0	30808811	30802570	
4.000000	freqmine	1	614	36.000000	5.048000	0.605000	1445833506	20218491	10659530	0	30878021	30871653	
4.000000	freqmine	1	614	36.000000	5.048000	0.605000	1457940037	20523536	10621388	0	31144924	31138045	
4.000000	freqmine	1	710	36.000000	5.048000	0.726000	1465393056	19441394	10408599	0	29849993	29843950	
4.000000	freqmine	1	710	36.000000	5.048000	0.726000	1468864206	19959695	10661539	0	30621234	30615576	
4.000000	freqmine	1	710	36.000000	5.048000	0.686000	1491664418	20192557	10785616	0	30978173	30971549	
2.000000	freqmine	1	921	36.000000	5.040000	0.846000	1487849859	19202235	10498442	0	29700677	29696207	
2.000000	freqmine	1	921	36.000000	5.040000	0.806000	1510225309	19423260	10637705	0	30060965	30056404	
2.000000	freqmine	1	921	36.000000	5.040000	0.887000	1498989856	19749734	10714607	0	30464341	30459675	
4.000000	freqmine	1	1036	36.000000	5.040000	0.887000	1513298242	18739030	10403531	0	29142561	29138206	
4.000000	freqmine	1	1036	36.000000	5.040000	0.887000	1515182824	19115201	10477658	0	29592859	29588357	
2.000000	freqmine	1	1036	36.000000	5.040000	0.887000	1517710219	18848569	10438913	0	29287482	29282863	
4.000000	freqmine	1	1132	36.000000	5.040000	0.927000	1515606530	19029958	10595308	0	29625266	29620438	
2.000000	freqmine	1	1132	36.000000	5.040000	0.967000	1520386583	19384232	10581656	0	29965888	29961660	
4.000000	freqmine	1	1132	36.000000	5.040000	0.967000	1525404256	19125439	10498324	0	29623763	29619523	
2.000000	freqmine	1	1224	36.000000	5.032000	1.086000	1532828059	18669480	10479722	0	29149202	29144990	
4.000000	freqmine	1	1224	36.000000	5.032000	1.127000	1531454144	18838252	10421273	0	29259525	29255479	
4.000000	freqmine	1	1224	37.000000	5.032000	1.046000	1547513249	19018157	10404512	0	29422669	29418660	
4.000000	freqmine	1	1428	37.000000	5.024000	1.406000	1582384341	18664878	10510250	0	29175128	29171800	
2.000000	freqmine	1	1428	37.000000	5.024000	1.406000	1566724684	18935817	10577913	0	29513730	29510272	
2.000000	freqmine	1	1428	36.000000	5.024000	1.406000	1552462252	18578575	10709027	0	29287602	29284077	
2.000000	freqmine	1	1479	37.000000	5.024000	1.527000	1565443406	18298537	10345848	0	28644385	28641005	
2.000000	freqmine	1	1479	37.000000	5.024000	1.446000	1559159802	18635990	10545308	0	29181298	29177862	
2.000000	freqmine	1	1479	37.000000	5.024000	1.527000	1566984287	18411587	10480903	0	28892490	28889023	
22.000000	streamcluster	1	102	35.000000	5.072000	0.243000	1419004866	23935930	10324090	0	34260020	34233255	
16.000000	streamcluster	1	102	35.000000	5.072000	0.243000	1424237869	24985946	10486474	0	35472420	35444569	
20.000000	streamcluster	1	102	36.000000	5.072000	0.243000	1432871638	25525348	10633111	0	36158459	36129982	
10.000000	streamcluster	1	204	36.000000	5.056000	0.364000	1397722318	22809106	10329097	0	33138203	33123154	
8.000000	streamcluster	1	204	36.000000	5.056000	0.364000	1405601901	22007949	10373046	0	32380995	32366034	
8.000000	streamcluster	1	204	35.000000	5.056000	0.364000	1391503017	22589966	10113256	0	32703222	32686734	
6.000000	streamcluster	1	307	35.000000	5.048000	0.484000	1392799932	21427634	10266470	0	31694104	31683015	
8.000000	streamcluster	1	307	35.000000	5.056000	0.444000	1401219098	21434647	10191504	0	31626151	31614507	
6.000000	streamcluster	1	307	35.000000	5.056000	0.444000	1393734145	21244392	10152763	0	31397155	31386031	
4.000000	streamcluster	1	403	35.000000	5.056000	0.525000	1391183282	19961086	10201419	0	30162505	30154356	
4.000000	streamcluster	1	403	35.000000	5.056000	0.525000	1398725069	20585012	10119190	0	30704202	30696138	
4.000000	streamcluster	1	403	35.000000	5.056000	0.525000	1422208587	20664701	10193285	0	30857986	30848732	
4.000000	streamcluster	1	518	35.000000	5.048000	0.565000	1413190643	20037808	10157157	0	30194965	30188543	
4.000000	streamcluster	1	518	35.000000	5.048000	0.605000	1409700057	19616358	10037784	0	29654142	29647003	
4.000000	streamcluster	1	518	36.000000	5.048000	0.726000	1407018305	19711166	10062116	0	29773282	29766334	
4.000000	streamcluster	1	614	36.000000	5.048000	0.686000	1423418037	19399709	10114623	0	29514332	29508048	
4.000000	streamcluster	1	614	36.000000	5.048000	0.686000	1417963269	19509471	10050100	0	29559571	29553742	
4.000000	streamcluster	1	614	36.000000	5.048000	0.686000	1416544681	19772479	10117298	0	29889777	29883721	
2.000000	streamcluster	1	710	36.000000	5.048000	0.726000	1440051442	19062290	10046842	0	29109132	29103180	
4.000000	streamcluster	1	710	36.000000	5.048000	0.686000	1433913555	19334714	10087989	0	29422703	29417637	
4.000000	streamcluster	1	710	36.000000	5.048000	0.686000	1445347057	19005133	10019981	0	29025114	29019438	
