Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	BUS_ACCESS_LD	BUS_ACCESS_ST	BUS_ACCESS_SHARED	BUS_ACCESS_NOT_SHARED	BUS_ACCESS_NORMAL
2.000000	streamcluster	1	921	36.000000	5.048000	0.807000	1459597080	18656853	9930639	0	28587492	28583515	
2.000000	streamcluster	1	921	36.000000	5.040000	0.848000	1457269662	18592829	9832796	0	28425625	28421476	
2.000000	streamcluster	1	921	36.000000	5.040000	0.887000	1460238876	18541850	9969010	0	28510860	28506360	
4.000000	streamcluster	1	1036	36.000000	5.048000	0.927000	1462192944	18139647	9876305	0	28015952	28012326	
4.000000	streamcluster	1	1036	36.000000	5.048000	0.927000	1478352481	18322526	9987067	0	28309593	28305867	
4.000000	streamcluster	1	1036	36.000000	5.048000	0.888000	1475266241	18446685	9907730	0	28354415	28350651	
4.000000	streamcluster	1	1132	36.000000	5.048000	0.928000	1479883182	18359277	9946825	0	28306102	28302347	
2.000000	streamcluster	1	1132	36.000000	5.048000	0.928000	1468981862	18325504	9896510	0	28222014	28218210	
4.000000	streamcluster	1	1132	36.000000	5.048000	0.928000	1478367826	17995215	9848959	0	27844174	27840445	
2.000000	streamcluster	1	1224	36.000000	5.040000	1.008000	1494071312	18486410	10238473	0	28724883	28721228	
2.000000	streamcluster	1	1224	36.000000	5.048000	1.049000	1490488732	18360989	9954881	0	28315870	28312298	
4.000000	streamcluster	1	1224	37.000000	5.040000	1.048000	1491009212	18041277	9937438	0	27978715	27974826	
4.000000	streamcluster	1	1428	36.000000	5.040000	1.290000	1527844261	17856436	9929073	0	27785509	27782142	
4.000000	streamcluster	1	1428	37.000000	5.040000	1.330000	1520923995	18423789	10064159	0	28487948	28484548	
4.000000	streamcluster	1	1428	36.000000	5.040000	1.209000	1533165970	18261145	10078490	0	28339635	28335678	
2.000000	streamcluster	1	1479	37.000000	5.032000	1.368000	1528572254	17860182	9951746	0	27811928	27808286	
4.000000	streamcluster	1	1479	37.000000	5.032000	1.368000	1539842629	18249775	9995639	0	28245414	28242166	
4.000000	streamcluster	1	1479	37.000000	5.032000	1.408000	1537626398	18076099	9982615	0	28058714	28055509	
24.000000	vips	1	102	35.000000	5.072000	0.243000	1589837899	25540922	10963055	0	36503977	36469278	
16.000000	vips	1	102	35.000000	5.072000	0.243000	1586858996	26300659	11183944	0	37484603	37454133	
28.000000	vips	1	102	35.000000	5.072000	0.243000	1596038628	26600396	11354930	0	37955326	37922899	
8.000000	vips	1	204	35.000000	5.064000	0.324000	1563926476	24278408	10784786	0	35063194	35045665	
6.000000	vips	1	204	35.000000	5.064000	0.324000	1562957403	22352196	10727940	0	33080136	33063932	
8.000000	vips	1	204	35.000000	5.064000	0.324000	1563004858	23811805	10783653	0	34595458	34577626	
6.000000	vips	1	307	35.000000	5.072000	0.364000	1555625690	21859889	10694328	0	32554217	32542614	
6.000000	vips	1	307	35.000000	5.072000	0.364000	1561043837	22788297	10856802	0	33645099	33633310	
6.000000	vips	1	307	35.000000	5.064000	0.364000	1566409162	23326961	10914047	0	34241008	34228579	
6.000000	vips	1	403	35.000000	5.072000	0.445000	1564138553	21636857	10747670	0	32384527	32374935	
6.000000	vips	1	403	35.000000	5.064000	0.445000	1566176236	21862417	10563230	0	32425647	32415723	
4.000000	vips	1	403	35.000000	5.064000	0.405000	1555500274	21299289	10508602	0	31807891	31798886	
2.000000	vips	1	518	35.000000	5.064000	0.526000	1578831169	21249026	10567838	0	31816864	31809081	
4.000000	vips	1	518	36.000000	5.064000	0.486000	1569728754	21265860	10687482	0	31953342	31945578	
6.000000	vips	1	518	35.000000	5.064000	0.486000	1568863787	21090415	10525221	0	31615636	31608288	
4.000000	vips	1	614	35.000000	5.064000	0.567000	1583061413	21659972	11140910	0	32800882	32794223	
4.000000	vips	1	614	35.000000	5.064000	0.526000	1596467798	21035116	10636871	0	31671987	31665118	
4.000000	vips	1	614	36.000000	5.072000	0.486000	1585976938	21004459	10745694	0	31750153	31743431	
4.000000	vips	1	710	36.000000	5.064000	0.567000	1609967070	20362953	10523092	0	30886045	30879617	
4.000000	vips	1	710	35.000000	5.064000	0.606000	1595590767	20210223	10482118	0	30692341	30686903	
4.000000	vips	1	710	35.000000	5.064000	0.567000	1591459334	19606234	10504697	0	30110931	30105169	
2.000000	vips	1	921	36.000000	5.064000	0.647000	1628241029	19575255	10453514	0	30028769	30023499	
2.000000	vips	1	921	36.000000	5.064000	0.647000	1628564737	19640597	10410609	0	30051206	30046002	
4.000000	vips	1	921	36.000000	5.064000	0.688000	1621191670	19477852	10342220	0	29820072	29815410	
4.000000	vips	1	1036	36.000000	5.056000	0.768000	1627624007	19069565	10349351	0	29418916	29414539	
2.000000	vips	1	1036	36.000000	5.056000	0.728000	1642238311	19256617	10439012	0	29695629	29691031	
2.000000	vips	1	1036	35.000000	5.056000	0.728000	1646239477	19193448	10374985	0	29568433	29563298	
2.000000	vips	1	1132	36.000000	5.056000	0.768000	1645111032	18919425	10312674	0	29232099	29227836	
4.000000	vips	1	1132	36.000000	5.056000	0.728000	1667904652	19197056	10360735	0	29557791	29553318	
4.000000	vips	1	1132	36.000000	5.056000	0.728000	1648218104	19202052	10476361	0	29678413	29673603	
4.000000	vips	1	1224	36.000000	5.056000	0.849000	1663911621	19096967	10473729	0	29570696	29565716	
2.000000	vips	1	1224	37.000000	5.056000	0.849000	1662707814	19206937	10407222	0	29614159	29609373	
2.000000	vips	1	1224	36.000000	5.056000	0.889000	1667889902	19542144	10598452	0	30140596	30135705	
2.000000	vips	1	1428	37.000000	5.048000	1.130000	1691299689	19150389	10605400	0	29755789	29752226	
2.000000	vips	1	1428	37.000000	5.048000	1.171000	1696235924	19173992	10556368	0	29730360	29726611	
4.000000	vips	1	1428	36.000000	5.048000	1.130000	1688522196	19179711	10430937	0	29610648	29607353	
2.000000	vips	1	1479	36.000000	5.040000	1.209000	1693019654	18748959	10467507	0	29216466	29213204	
4.000000	vips	1	1479	37.000000	5.048000	1.171000	1693719033	18515075	10359268	0	28874343	28870469	
4.000000	vips	1	1479	37.000000	5.040000	1.209000	1694671943	18973409	10455251	0	29428660	29425091	
14.000000	x264	1	102	36.000000	5.072000	0.243000	1442312758	24890771	10670818	0	35561589	35531223	
16.000000	x264	1	102	35.000000	5.072000	0.243000	1454527883	24109244	10478031	0	34587275	34558631	
34.000000	x264	1	102	35.000000	5.072000	0.284000	1439720771	23685216	10512277	0	34197493	34169036	
8.000000	x264	1	204	35.000000	5.072000	0.324000	1422751808	22854974	10440685	0	33295659	33280391	
8.000000	x264	1	204	35.000000	5.072000	0.324000	1422843383	23555692	10610838	0	34166530	34151260	
8.000000	x264	1	204	35.000000	5.072000	0.324000	1407752640	23531404	10522795	0	34054199	34038880	
6.000000	x264	1	307	35.000000	5.072000	0.365000	1398583972	20563794	10174908	0	30738702	30728061	
6.000000	x264	1	307	35.000000	5.072000	0.405000	1413283461	22029797	10460774	0	32490571	32478700	
6.000000	x264	1	307	35.000000	5.064000	0.364000	1403655555	21067515	10303509	0	31371024	31360572	
6.000000	x264	1	403	35.000000	5.064000	0.405000	1415505629	20945507	10391348	0	31336855	31327955	
4.000000	x264	1	403	35.000000	5.064000	0.405000	1410105623	21108015	10498092	0	31606107	31597312	
4.000000	x264	1	403	35.000000	5.064000	0.445000	1414125797	21015094	10295331	0	31310425	31301930	
4.000000	x264	1	518	35.000000	5.072000	0.446000	1418965298	19888737	10172331	0	30061068	30054451	
4.000000	x264	1	518	35.000000	5.072000	0.446000	1424123067	19719112	10234861	0	29953973	29946506	
4.000000	x264	1	518	35.000000	5.072000	0.446000	1420365184	20522196	10195531	0	30717727	30710805	
2.000000	x264	1	614	35.000000	5.072000	0.486000	1426615455	19858137	10178153	0	30036290	30029863	
4.000000	x264	1	614	35.000000	5.072000	0.486000	1432474553	20216406	10255769	0	30472175	30465564	
2.000000	x264	1	614	35.000000	5.072000	0.486000	1437569043	19938030	10384411	0	30322441	30316741	
4.000000	x264	1	710	35.000000	5.064000	0.486000	1451271400	19506797	10235475	0	29742272	29736771	
4.000000	x264	1	710	35.000000	5.064000	0.526000	1449470389	19737110	10277439	0	30014549	30009330	
4.000000	x264	1	710	35.000000	5.064000	0.486000	1453164179	19112513	10221983	0	29334496	29329493	
2.000000	x264	1	921	35.000000	5.064000	0.567000	1492558549	19338524	10393638	0	29732162	29727955	
4.000000	x264	1	921	35.000000	5.064000	0.567000	1474331304	19150581	10218893	0	29369474	29364601	
2.000000	x264	1	921	36.000000	5.064000	0.567000	1472097996	18798389	10138556	0	28936945	28931716	
2.000000	x264	1	1036	35.000000	5.064000	0.648000	1496785710	18989898	10217306	0	29207204	29203514	
2.000000	x264	1	1036	35.000000	5.064000	0.648000	1492136441	18691370	10090941	0	28782311	28778569	
2.000000	x264	1	1036	36.000000	5.064000	0.607000	1507175453	18964910	10214871	0	29179781	29175824	
4.000000	x264	1	1132	35.000000	5.056000	0.728000	1489427349	18817243	10170693	0	28987936	28984153	
2.000000	x264	1	1132	35.000000	5.064000	0.648000	1495656550	18739213	10155606	0	28894819	28890404	
2.000000	x264	1	1132	36.000000	5.064000	0.648000	1504721521	18622783	10221173	0	28843956	28839830	
2.000000	x264	1	1224	35.000000	5.064000	0.729000	1505776992	18211286	10020672	0	28231958	28228183	
4.000000	x264	1	1224	36.000000	5.056000	0.768000	1505068593	18503199	10171482	0	28674681	28671074	
2.000000	x264	1	1224	35.000000	5.056000	0.728000	1501314009	18418975	10138359	0	28557334	28553994	
2.000000	x264	1	1428	36.000000	5.056000	0.930000	1545536726	18520274	10197202	0	28717476	28714077	
2.000000	x264	1	1428	36.000000	5.056000	0.930000	1556744413	18366838	10158231	0	28525069	28521887	
4.000000	x264	1	1428	36.000000	5.056000	0.930000	1531586922	18066560	9950219	0	28016779	28013175	
4.000000	x264	1	1479	36.000000	5.048000	1.009000	1552613823	18573536	10245096	0	28818632	28815182	
4.000000	x264	1	1479	37.000000	5.056000	1.009000	1546212559	18341108	10175686	0	28516794	28513794	
4.000000	x264	1	1479	37.000000	5.056000	0.970000	1550236588	18383269	10234619	0	28617888	28614675	
