Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	SW_INCR	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_REFILL	L1D_CACHE
5.500000	streamcluster	1	307	36.000000	5.056000	0.485000	1386955176	0	12482389	1720438	10427562	438776234	
6.000000	streamcluster	1	307	36.000000	5.056000	0.444000	1396143523	0	12523631	1728288	10596979	442083318	
5.500000	streamcluster	1	307	36.000000	5.056000	0.444000	1390958958	0	12552468	1735841	10542958	439340092	
4.500000	streamcluster	1	403	36.000000	5.056000	0.525000	1387743984	0	12109757	1684807	10432461	436022342	
5.000000	streamcluster	1	403	36.000000	5.048000	0.524000	1407133558	0	12171743	1716536	10488713	441610589	
4.000000	streamcluster	1	403	36.000000	5.056000	0.524000	1398426345	0	12228628	1673972	10387500	439201403	
4.000000	streamcluster	1	518	36.000000	5.048000	0.605000	1416174977	0	11909424	1686250	10347196	440735461	
4.000000	streamcluster	1	518	36.000000	5.048000	0.566000	1405667118	0	11920266	1671377	10266793	437382689	
4.000000	streamcluster	1	518	36.000000	5.048000	0.605000	1394058120	0	11828124	1637017	10157152	434357380	
4.500000	streamcluster	1	614	36.000000	5.048000	0.646000	1417041341	0	11837727	1638097	10139700	436387644	
4.000000	streamcluster	1	614	36.000000	5.048000	0.686000	1412992092	0	11739889	1626821	10173746	435543397	
4.000000	streamcluster	1	614	36.000000	5.048000	0.686000	1431885057	0	11972797	1659580	10238750	440502877	
3.500000	streamcluster	1	710	36.000000	5.048000	0.807000	1418559505	0	11708917	1634595	10167711	433574679	
3.500000	streamcluster	1	710	36.000000	5.048000	0.726000	1422912697	0	11734753	1635016	10200528	434656680	
3.500000	streamcluster	1	710	36.000000	5.048000	0.767000	1438179117	0	11782352	1653493	10322762	438528715	
3.000000	streamcluster	1	921	36.000000	5.048000	0.807000	1462637511	0	11635693	1634846	10131616	437337474	
3.000000	streamcluster	1	921	36.000000	5.048000	0.848000	1462999782	0	11544868	1617601	10214110	437771245	
4.000000	streamcluster	1	921	36.000000	5.048000	0.888000	1451108101	0	11564569	1600563	10077164	434940062	
3.000000	streamcluster	1	1036	37.000000	5.048000	0.928000	1488987057	0	11515152	1616884	10325767	441035773	
3.500000	streamcluster	1	1036	36.000000	5.048000	0.928000	1463008526	0	11487254	1605767	10142467	432921258	
3.000000	streamcluster	1	1036	36.000000	5.040000	0.927000	1476244903	0	11569710	1598867	10011153	436972100	
2.500000	streamcluster	1	1132	36.000000	5.048000	0.928000	1483365187	0	11497053	1621307	10193772	437995660	
3.000000	streamcluster	1	1132	36.000000	5.040000	0.967000	1490561548	0	11622435	1616392	10126444	437208766	
3.000000	streamcluster	1	1132	36.000000	5.048000	0.928000	1479611382	0	11497166	1608896	10049380	436453114	
3.000000	streamcluster	1	1224	36.000000	5.048000	1.009000	1487249076	0	11452013	1613432	10225920	434130842	
3.000000	streamcluster	1	1224	36.000000	5.048000	1.048000	1496469465	0	11467484	1641949	10048497	437078888	
2.500000	streamcluster	1	1224	37.000000	5.048000	1.048000	1495802414	0	11550348	1612466	10129872	437809305	
2.500000	streamcluster	1	1428	37.000000	5.040000	1.288000	1541484791	0	11485802	1605603	10128903	441958745	
2.500000	streamcluster	1	1428	37.000000	5.040000	1.330000	1521587592	0	11461374	1595337	9993524	435196252	
2.500000	streamcluster	1	1428	37.000000	5.040000	1.209000	1507113103	0	11311523	1590840	9960928	432319439	
2.500000	streamcluster	1	1479	37.000000	5.032000	1.408000	1531665135	0	11445440	1591347	10125188	436325057	
2.500000	streamcluster	1	1479	37.000000	5.032000	1.368000	1540388203	0	11457659	1632871	9979560	438170480	
2.500000	streamcluster	1	1479	37.000000	5.032000	1.368000	1535296252	0	11466369	1647072	10273157	437162893	
23.000000	vips	1	102	35.000000	5.072000	0.243000	1586735550	0	15189943	2054636	13063336	498266881	
13.500000	vips	1	102	35.000000	5.072000	0.243000	1597423549	0	15322189	2080255	13012603	500175719	
23.000000	vips	1	102	35.000000	5.064000	0.243000	1607905368	0	15318581	2073777	13166164	503699834	
6.500000	vips	1	204	35.000000	5.072000	0.324000	1565399115	0	13648710	1864443	12455175	493826535	
6.000000	vips	1	204	35.000000	5.064000	0.324000	1551939704	0	13517852	1833835	12292939	492230761	
7.500000	vips	1	204	35.000000	5.072000	0.324000	1561445416	0	13517078	1866410	12460441	492461990	
5.500000	vips	1	307	35.000000	5.072000	0.365000	1545074464	0	12853049	1783363	12239550	486555093	
5.000000	vips	1	307	35.000000	5.072000	0.364000	1553232004	0	12815870	1798243	12064118	488582524	
5.500000	vips	1	307	35.000000	5.072000	0.364000	1565802097	0	12825568	1763101	12035507	493268676	
4.500000	vips	1	403	35.000000	5.072000	0.405000	1563614132	0	12500000	1717846	11899177	489601943	
5.000000	vips	1	403	35.000000	5.064000	0.445000	1555291632	0	12521207	1746618	12331970	485508139	
5.000000	vips	1	403	35.000000	5.064000	0.445000	1563857632	0	12411283	1742320	11970371	490616520	
4.500000	vips	1	518	35.000000	5.064000	0.526000	1577544691	0	12284572	1705679	11806636	488940861	
4.000000	vips	1	518	35.000000	5.064000	0.486000	1568677796	0	12285990	1709990	11825889	485815222	
4.000000	vips	1	518	35.000000	5.072000	0.446000	1581110743	0	12273534	1705275	11896375	490712436	
4.000000	vips	1	614	36.000000	5.064000	0.526000	1575802006	0	12068216	1669168	11676277	485488923	
3.500000	vips	1	614	36.000000	5.064000	0.526000	1578556663	0	12026103	1687125	11816475	485112753	
3.500000	vips	1	614	36.000000	5.064000	0.526000	1580559591	0	12150473	1673015	11811296	486426476	
3.500000	vips	1	710	35.000000	5.072000	0.526000	1609698063	0	12023260	1688465	11948646	491808790	
3.000000	vips	1	710	35.000000	5.064000	0.567000	1590515820	0	12027109	1700198	11845369	484861683	
4.000000	vips	1	710	35.000000	5.064000	0.567000	1599097657	0	12049259	1675724	11756287	488178131	
2.500000	vips	1	921	35.000000	5.056000	0.687000	1625150389	0	11871635	1681335	11701165	485740016	
3.500000	vips	1	921	35.000000	5.056000	0.687000	1621793252	0	11961142	1665288	11650130	484600267	
3.000000	vips	1	921	36.000000	5.064000	0.648000	1622870067	0	11891108	1645951	11657939	485852788	
2.500000	vips	1	1036	36.000000	5.056000	0.728000	1642430472	0	11941945	1683957	11816103	486391416	
2.500000	vips	1	1036	36.000000	5.056000	0.728000	1651718847	0	11839127	1647863	11724402	489556716	
3.000000	vips	1	1036	35.000000	5.064000	0.729000	1637872226	0	11959981	1646586	11674771	484900610	
2.500000	vips	1	1132	35.000000	5.056000	0.768000	1643515275	0	11932033	1641410	11598959	485711518	
2.500000	vips	1	1132	36.000000	5.056000	0.768000	1651433280	0	11848691	1644489	11887846	486772164	
2.500000	vips	1	1132	36.000000	5.056000	0.728000	1639082665	0	11686787	1632032	11693139	483509420	
3.000000	vips	1	1224	36.000000	5.056000	0.889000	1662936553	0	11827604	1642219	11675715	485164389	
2.500000	vips	1	1224	36.000000	5.056000	0.889000	1659000350	0	11862418	1639717	11793533	484447018	
2.500000	vips	1	1224	37.000000	5.056000	0.849000	1661858068	0	11766660	1648972	11793060	484658792	
2.500000	vips	1	1428	36.000000	5.048000	1.130000	1687529977	0	11708464	1642504	11519501	484664463	
3.000000	vips	1	1428	36.000000	5.048000	1.130000	1683449455	0	11654205	1633033	11544361	484856117	
3.000000	vips	1	1428	36.000000	5.048000	1.130000	1692567728	0	11729017	1674876	11554871	485690939	
2.500000	vips	1	1479	37.000000	5.048000	1.211000	1705164721	0	11835698	1641403	11781863	486585844	
3.000000	vips	1	1479	36.000000	5.040000	1.249000	1694267617	0	11615991	1646353	11653462	483963376	
2.500000	vips	1	1479	37.000000	5.040000	1.249000	1693110829	0	11724987	1657291	11536514	482992586	
17.500000	x264	1	102	36.000000	5.072000	0.243000	1441089425	0	15062594	1997375	11477699	454015066	
13.500000	x264	1	102	35.000000	5.072000	0.243000	1431083173	0	14886736	1999886	11384497	451016298	
19.000000	x264	1	102	35.000000	5.072000	0.243000	1441671702	0	14973479	1996574	11724669	454354950	
7.000000	x264	1	204	35.000000	5.064000	0.324000	1407371709	0	13245074	1816097	11006092	446279712	
7.000000	x264	1	204	35.000000	5.072000	0.324000	1409472703	0	13185272	1828621	10895084	446062617	
7.000000	x264	1	204	35.000000	5.072000	0.324000	1404368461	0	13251359	1818975	10802366	444144951	
5.500000	x264	1	307	35.000000	5.072000	0.365000	1401055742	0	12645714	1744361	10641069	442985426	
5.500000	x264	1	307	35.000000	5.072000	0.365000	1407961655	0	12722335	1745141	10582691	444263318	
6.000000	x264	1	307	35.000000	5.072000	0.365000	1404356562	0	12646555	1742004	10688513	443455416	
4.500000	x264	1	403	35.000000	5.072000	0.405000	1421937200	0	12262939	1700425	10491051	446457999	
4.500000	x264	1	403	35.000000	5.072000	0.405000	1405234290	0	12303755	1701637	10420773	440392583	
5.000000	x264	1	403	35.000000	5.072000	0.405000	1412552157	0	12427514	1703479	10532701	442296327	
4.000000	x264	1	518	35.000000	5.072000	0.446000	1426065121	0	12131327	1669760	10425962	441894828	
4.000000	x264	1	518	35.000000	5.072000	0.446000	1438264479	0	12098239	1698987	10591086	446233052	
4.000000	x264	1	518	35.000000	5.072000	0.446000	1423994898	0	12091505	1685891	10553508	441622020	
4.000000	x264	1	614	35.000000	5.072000	0.486000	1430069876	0	11970125	1665675	10244328	439376614	
3.500000	x264	1	614	35.000000	5.072000	0.446000	1440778218	0	12013522	1667836	10545058	442604109	
3.500000	x264	1	614	35.000000	5.072000	0.486000	1433132768	0	11918268	1663259	10224402	440338317	
3.000000	x264	1	710	35.000000	5.064000	0.486000	1437415594	0	11984836	1658009	10199683	437774470	
3.500000	x264	1	710	35.000000	5.064000	0.526000	1442468006	0	11848086	1638174	10254482	440461166	
3.000000	x264	1	710	35.000000	5.064000	0.526000	1442007165	0	11939872	1641558	10180242	439210285	
3.000000	x264	1	921	36.000000	5.064000	0.567000	1470931458	0	11774716	1646673	10315630	440341254	
3.000000	x264	1	921	35.000000	5.064000	0.567000	1470347527	0	11783835	1633059	10257012	439346129	
2.500000	x264	1	921	36.000000	5.064000	0.567000	1460764309	0	11677843	1635152	10107035	435964929	
3.000000	x264	1	1036	36.000000	5.064000	0.607000	1483367667	0	11731870	1632348	10218618	438195569	
3.000000	x264	1	1036	35.000000	5.064000	0.607000	1486344211	0	11614108	1632781	10159266	439159002	
3.000000	x264	1	1036	35.000000	5.064000	0.648000	1492220540	0	11721189	1632402	10522795	440085699	
3.000000	x264	1	1132	36.000000	5.064000	0.648000	1492925049	0	11674485	1630821	10041614	438142150	
3.000000	x264	1	1132	35.000000	5.064000	0.648000	1494575113	0	11629318	1619662	10230242	439058433	
3.000000	x264	1	1132	36.000000	5.064000	0.648000	1501155338	0	11695419	1660360	10274153	440891418	
3.000000	x264	1	1224	36.000000	5.064000	0.729000	1503300783	0	11586832	1648800	10276844	438747155	
3.000000	x264	1	1224	35.000000	5.064000	0.728000	1524806278	0	11583202	1632648	10227145	444565903	
2.500000	x264	1	1224	36.000000	5.064000	0.728000	1503915865	0	11631921	1630669	10184541	437444229	
3.000000	x264	1	1428	36.000000	5.056000	0.930000	1524949777	0	11528142	1602532	10075221	436090786	
3.000000	x264	1	1428	37.000000	5.048000	0.928000	1557712375	0	11574974	1624461	10279870	444972895	
2.500000	x264	1	1428	36.000000	5.056000	0.930000	1530104099	0	11548574	1619248	10167566	436517722	
2.500000	x264	1	1479	37.000000	5.056000	0.970000	1545712712	0	11630446	1633475	10195274	439053609	
3.000000	x264	1	1479	36.000000	5.048000	0.969000	1553031272	0	11673175	1617993	10313516	439940985	
2.500000	x264	1	1479	36.000000	5.056000	0.970000	1529184110	0	11645605	1602859	9976153	434882055	
