Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	ST_SPEC	LDST_SPEC	DP_SPEC	ASE_SPEC	VFP_SPEC
4.000000	streamcluster	1	518	33.000000	5.056000	0.606000	1402571680	143996182	433259550	623065240	2061866	16133	
3.500000	streamcluster	1	518	33.000000	5.048000	0.566000	1399877831	143918081	433129758	623049626	2058792	16207	
4.500000	streamcluster	1	518	33.000000	5.056000	0.566000	1411826438	144883606	436778800	629014714	2063173	16146	
3.500000	streamcluster	1	614	33.000000	5.056000	0.647000	1422231820	144779950	435666459	627306704	2081462	16386	
3.500000	streamcluster	1	614	33.000000	5.056000	0.686000	1418512989	144042362	433767490	624272871	2060541	16350	
3.500000	streamcluster	1	614	33.000000	5.048000	0.686000	1419405342	144271400	434441140	625069649	2082103	16266	
3.500000	streamcluster	1	710	33.000000	5.048000	0.767000	1417597942	142951402	430203814	618840172	2154620	16251	
3.500000	streamcluster	1	710	33.000000	5.048000	0.686000	1429110228	143971025	433074534	622977885	2047372	15055	
3.500000	streamcluster	1	710	33.000000	5.048000	0.767000	1429386629	144186061	433823053	624462863	2059838	16395	
4.000000	streamcluster	1	921	34.000000	5.048000	0.848000	1464689355	144362386	434172048	624794215	2054444	16183	
3.000000	streamcluster	1	921	33.000000	5.048000	0.848000	1454540579	143143404	430841880	619621389	2076376	16347	
3.000000	streamcluster	1	921	34.000000	5.048000	0.807000	1456417427	143756632	432559608	622349361	2148401	16325	
2.500000	streamcluster	1	1036	34.000000	5.048000	0.888000	1477678700	144360347	434742684	626006361	2058118	16257	
3.000000	streamcluster	1	1036	34.000000	5.048000	0.888000	1474917865	143922098	433672180	624153618	2073728	15884	
3.000000	streamcluster	1	1036	34.000000	5.048000	0.928000	1471491224	143605079	432152124	621761035	2056070	16280	
3.000000	streamcluster	1	1132	34.000000	5.048000	0.928000	1485304973	143868494	433684816	624237964	2071652	16004	
3.000000	streamcluster	1	1132	34.000000	5.048000	0.928000	1474634129	143464104	431718127	620978518	2077441	16513	
2.500000	streamcluster	1	1132	34.000000	5.048000	0.928000	1479294113	143609237	432473849	622090113	2103055	16325	
3.000000	streamcluster	1	1224	34.000000	5.048000	1.049000	1492059235	143017070	430561227	619545120	2055570	16197	
3.000000	streamcluster	1	1224	34.000000	5.048000	1.049000	1503638328	144680122	435672307	627323979	2078589	16001	
3.500000	streamcluster	1	1224	34.000000	5.048000	1.049000	1498001778	143705877	432629979	622448299	2047359	16160	
2.500000	streamcluster	1	1428	34.000000	5.040000	1.290000	1538203439	145189341	437407015	630244753	2053604	16254	
3.000000	streamcluster	1	1428	34.000000	5.040000	1.290000	1526999307	144158560	433985287	624792502	2052126	16298	
3.000000	streamcluster	1	1428	34.000000	5.040000	1.209000	1525092353	143515597	431512401	620889422	2054408	16013	
3.000000	streamcluster	1	1479	35.000000	5.040000	1.330000	1537425720	143901160	433790913	624917757	2054322	16085	
3.000000	streamcluster	1	1479	35.000000	5.040000	1.370000	1523451352	142685028	429330623	617424647	2050696	16239	
2.500000	streamcluster	1	1479	34.000000	5.040000	1.330000	1539034399	143923264	433270087	623612850	2156640	16301	
13.500000	vips	1	102	33.000000	5.072000	0.243000	1599388232	163282429	498169027	721272440	3423653	28539801	
16.000000	vips	1	102	33.000000	5.072000	0.243000	1592058063	162567623	495638297	717182487	3414239	28536276	
17.500000	vips	1	102	33.000000	5.072000	0.243000	1604407728	163596350	498691521	722534582	3407648	28471494	
7.000000	vips	1	204	33.000000	5.072000	0.324000	1555434356	159461446	485639818	702681071	3527710	28526670	
8.000000	vips	1	204	33.000000	5.072000	0.324000	1540106495	158617545	482904073	698506635	3536656	28517344	
6.500000	vips	1	204	33.000000	5.072000	0.324000	1555195703	159150113	484573202	700877609	3405607	28523746	
5.500000	vips	1	307	33.000000	5.072000	0.365000	1559765807	159461699	485757637	703426675	3409946	28527571	
5.000000	vips	1	307	33.000000	5.072000	0.365000	1557008953	158747331	483568634	699742382	3437191	28621820	
5.500000	vips	1	307	33.000000	5.072000	0.365000	1558596942	159050563	484193355	701049041	3424869	28437019	
4.500000	vips	1	403	33.000000	5.072000	0.405000	1548017430	157456485	479400348	693552523	3413643	28517427	
4.500000	vips	1	403	33.000000	5.072000	0.446000	1567701691	158772788	483657111	700397554	3540436	28548070	
4.500000	vips	1	403	33.000000	5.072000	0.446000	1566165872	158530262	483638765	700620203	3417274	28512570	
4.500000	vips	1	518	33.000000	5.072000	0.446000	1570920567	157974873	481338283	696275245	3424558	28525803	
4.000000	vips	1	518	33.000000	5.072000	0.486000	1586910075	159108778	485073777	703142731	3435407	28517158	
4.000000	vips	1	518	33.000000	5.072000	0.446000	1572650762	157661063	480900727	696154554	3463797	28485907	
4.000000	vips	1	614	33.000000	5.064000	0.526000	1594306539	159133084	484507902	701875937	3415642	28487371	
3.500000	vips	1	614	33.000000	5.064000	0.526000	1586174352	157743918	480185352	694722624	3448522	28541242	
4.000000	vips	1	614	33.000000	5.072000	0.486000	1589548001	158239603	481671989	696838656	3405824	28525600	
3.500000	vips	1	710	33.000000	5.064000	0.567000	1601830089	157755226	480591190	695646604	3425228	28530018	
3.500000	vips	1	710	33.000000	5.064000	0.567000	1589912018	156960314	477747942	691184925	3411950	28529680	
3.000000	vips	1	710	33.000000	5.064000	0.567000	1587885947	157299009	478656353	692349499	3417219	28490302	
3.000000	vips	1	921	33.000000	5.064000	0.648000	1624706240	157409636	479310053	693962797	3411577	28473474	
3.500000	vips	1	921	34.000000	5.064000	0.648000	1621390640	157148781	478322421	692081610	3409652	28500395	
3.000000	vips	1	921	33.000000	5.064000	0.648000	1627394481	157392558	479664212	694147003	3430572	28505407	
3.000000	vips	1	1036	34.000000	5.064000	0.729000	1648392980	157495351	479762773	694822984	3436303	28512813	
3.000000	vips	1	1036	33.000000	5.064000	0.729000	1647979458	157752680	480459309	695353265	3442529	28551326	
3.000000	vips	1	1036	33.000000	5.064000	0.729000	1648333695	157562631	479922630	694690260	3534728	28504807	
3.000000	vips	1	1132	33.000000	5.056000	0.768000	1645403310	156770523	477592923	691224116	3530560	28501539	
3.000000	vips	1	1132	34.000000	5.064000	0.768000	1641842177	156494959	476491108	689397342	3439193	28497253	
2.500000	vips	1	1132	34.000000	5.064000	0.769000	1634579919	156056498	474748241	686345930	3425405	28487227	
3.000000	vips	1	1224	34.000000	5.056000	0.849000	1669598511	157903274	481269474	696997640	3413581	28523314	
3.000000	vips	1	1224	34.000000	5.056000	0.889000	1665878826	157301420	479061982	693561960	3421696	28541630	
2.500000	vips	1	1224	33.000000	5.056000	0.889000	1655448022	156472334	477072902	690579038	3424676	28516226	
3.000000	vips	1	1428	34.000000	5.048000	1.130000	1700629969	157515822	479631532	694579437	3414886	28516843	
2.500000	vips	1	1428	34.000000	5.048000	1.130000	1694241075	157355814	479004801	693596607	3414173	28439424	
3.000000	vips	1	1428	35.000000	5.048000	1.171000	1695468501	157302665	479253552	693494235	3533912	28480689	
3.000000	vips	1	1479	35.000000	5.048000	1.211000	1716130529	158624018	483722702	700459087	3425286	28521003	
3.000000	vips	1	1479	34.000000	5.048000	1.251000	1715684824	158505328	483207495	700039973	3449488	28542103	
2.500000	vips	1	1479	34.000000	5.048000	1.211000	1707988975	157363345	479452876	694194420	3415737	28509629	
19.000000	x264	1	102	33.000000	5.072000	0.243000	1433563302	149455578	450558247	648692784	2016259	1150	
17.500000	x264	1	102	33.000000	5.072000	0.243000	1446078803	150736041	454531434	655247953	2045398	1168	
16.500000	x264	1	102	33.000000	5.072000	0.243000	1432186028	149496607	450384427	648582107	2025975	1157	
7.500000	x264	1	204	33.000000	5.072000	0.324000	1409297651	147622227	444294016	639975662	2028219	1163	
6.500000	x264	1	204	33.000000	5.072000	0.324000	1424083243	149020904	449074530	647314094	2033844	1119	
6.500000	x264	1	204	33.000000	5.072000	0.324000	1419489433	148137775	446673727	644241595	2035771	1182	
5.500000	x264	1	307	33.000000	5.072000	0.365000	1392597343	145482405	437655338	629787165	2011799	1157	
5.500000	x264	1	307	33.000000	5.072000	0.365000	1413324792	146951260	442678752	638392483	2132803	1200	
5.500000	x264	1	307	33.000000	5.072000	0.365000	1398604917	145916269	439141100	632472771	2043451	1189	
4.500000	x264	1	403	33.000000	5.072000	0.405000	1420287564	146651867	441556884	636850251	2009481	1256	
4.500000	x264	1	403	33.000000	5.072000	0.405000	1419903823	146689216	442180574	637324115	2017851	1238	
4.500000	x264	1	403	33.000000	5.072000	0.405000	1420487674	146816177	441973880	637212751	2021102	1176	
4.000000	x264	1	518	33.000000	5.072000	0.446000	1439521975	147354761	443425656	639625530	2150988	1247	
3.500000	x264	1	518	33.000000	5.072000	0.446000	1440716740	147195810	443690667	640538223	2046725	1200	
3.500000	x264	1	518	33.000000	5.072000	0.446000	1431234517	146632469	441641177	636409270	2026045	1145	
3.500000	x264	1	614	33.000000	5.072000	0.486000	1431609346	144870828	436209688	628432213	2017932	1162	
4.000000	x264	1	614	33.000000	5.072000	0.446000	1438501034	146003861	439434553	633292031	2131624	1286	
4.000000	x264	1	614	33.000000	5.072000	0.486000	1426777436	144710119	435842299	627484284	2031768	1213	
3.000000	x264	1	710	33.000000	5.072000	0.527000	1455977823	146323830	439979130	634055486	2014145	1168	
3.500000	x264	1	710	33.000000	5.072000	0.486000	1442775386	145269670	437465413	630345734	2050106	1204	
3.000000	x264	1	710	33.000000	5.072000	0.486000	1441338011	144746803	435818722	627188736	2044247	1127	
3.000000	x264	1	921	33.000000	5.064000	0.607000	1475009629	144821902	435735173	627224897	2010196	1219	
3.000000	x264	1	921	33.000000	5.064000	0.607000	1470096800	144606242	435787796	627069940	2032028	1289	
3.000000	x264	1	921	33.000000	5.064000	0.567000	1478863947	145402222	438001119	631303847	2038808	1316	
3.000000	x264	1	1036	33.000000	5.064000	0.607000	1496386424	145450617	438364878	631707089	2016345	1155	
3.000000	x264	1	1036	33.000000	5.072000	0.568000	1488146465	144160844	434256342	625484735	2016350	1284	
2.500000	x264	1	1036	33.000000	5.064000	0.607000	1481292398	144361421	434325035	625035400	2023489	1180	
3.000000	x264	1	1132	33.000000	5.064000	0.648000	1502975001	145471250	438024549	630874229	2146365	1220	
3.000000	x264	1	1132	33.000000	5.064000	0.648000	1502762723	145098908	437232600	630488069	2032581	1187	
2.500000	x264	1	1132	33.000000	5.064000	0.648000	1486529200	144124906	434268578	625287310	2025103	1238	
3.000000	x264	1	1224	34.000000	5.064000	0.729000	1504455433	143803806	433004470	623519178	2041616	1222	
3.000000	x264	1	1224	33.000000	5.064000	0.729000	1521320306	145877829	438794286	632480067	2147641	1206	
2.500000	x264	1	1224	33.000000	5.064000	0.729000	1518821348	145284763	437580463	630516027	2146898	1274	
2.500000	x264	1	1428	33.000000	5.056000	0.930000	1558155181	146344606	441193611	636167445	2020890	1228	
3.000000	x264	1	1428	33.000000	5.056000	0.970000	1527319049	143679919	432516139	622643699	2153179	1183	
2.500000	x264	1	1428	33.000000	5.056000	0.930000	1539779899	144741929	435939416	627360077	2033918	1172	
2.500000	x264	1	1479	34.000000	5.056000	0.970000	1566291675	146305623	440781191	635203347	2025928	1211	
3.000000	x264	1	1479	34.000000	5.056000	1.011000	1554230081	145477722	438355070	631700396	2026664	1180	
2.500000	x264	1	1479	34.000000	5.056000	0.970000	1551626275	145392180	438131675	631346463	2024604	1215	
