Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	ST_SPEC	LDST_SPEC	DP_SPEC	ASE_SPEC	VFP_SPEC
3.250000	bodytrack	1	614	34.000000	5.064000	0.526000	1687209686	161679624	532541807	769907331	4536290	81905455	
3.750000	bodytrack	1	614	35.000000	5.064000	0.526000	1679359754	160592003	529208432	764761110	4534006	81904000	
3.000000	bodytrack	1	710	34.000000	5.064000	0.567000	1689206182	160330653	528376844	763195403	4549885	81905418	
3.250000	bodytrack	1	710	34.000000	5.064000	0.567000	1681570273	159943109	526596840	760509791	4537935	81907211	
3.250000	bodytrack	1	710	34.000000	5.064000	0.567000	1695337164	160671438	529632062	766070531	4568046	81906089	
3.000000	bodytrack	1	921	35.000000	5.056000	0.728000	1706332127	158973746	523760287	756198610	4555558	81903620	
3.000000	bodytrack	1	921	35.000000	5.056000	0.728000	1707421599	158937745	523499453	755682280	4534073	81904497	
2.750000	bodytrack	1	921	34.000000	5.056000	0.728000	1712151908	159409888	525158884	758355156	4553280	81906006	
3.250000	bodytrack	1	1036	35.000000	5.048000	0.848000	1731135314	159092286	523700428	756854971	4545914	81903533	
3.000000	bodytrack	1	1036	34.000000	5.056000	0.808000	1728564523	159301022	524470402	757993840	4564186	81906179	
3.000000	bodytrack	1	1036	35.000000	5.048000	0.848000	1718985479	158362303	522062502	753695150	4550412	81905244	
3.250000	bodytrack	1	1132	35.000000	5.048000	0.888000	1740347149	159751024	526229665	760317420	4528768	81905993	
2.750000	bodytrack	1	1132	34.000000	5.056000	0.848000	1735656278	159015159	524352038	757357030	4531011	81901306	
2.750000	bodytrack	1	1132	34.000000	5.048000	0.848000	1747563161	160334936	527789480	763269440	4536754	81904555	
3.500000	bodytrack	1	1224	35.000000	5.048000	0.969000	1759582116	159656230	525783885	760316586	4529521	81903857	
2.750000	bodytrack	1	1224	35.000000	5.048000	0.969000	1753269865	158848092	523879208	756762651	4557351	81901127	
2.750000	bodytrack	1	1224	35.000000	5.048000	0.969000	1748434687	158826843	523303998	755873039	4530374	81906625	
2.750000	bodytrack	1	1428	35.000000	5.040000	1.169000	1774031011	157912186	520119890	750498968	4559843	81903185	
2.750000	bodytrack	1	1428	36.000000	5.040000	1.249000	1779484633	158648550	522934291	755062782	4532386	81906557	
2.500000	bodytrack	1	1428	36.000000	5.040000	1.209000	1779560401	158843579	523993419	756781275	4552106	81908017	
2.250000	bodytrack	1	1479	35.000000	5.040000	1.290000	1812013776	160742296	529633041	765706587	4639420	81904481	
2.500000	bodytrack	1	1479	36.000000	5.040000	1.290000	1786976611	158782606	523370469	755869877	4563010	81903055	
2.750000	bodytrack	1	1479	35.000000	5.040000	1.290000	1796753190	159188049	524341652	757224115	4547426	81903820	
41.750000	dedup	1	102	34.000000	5.072000	0.243000	1462103403	152116911	457937663	659150328	1982174	2222	
28.000000	dedup	1	102	34.000000	5.072000	0.243000	1466009006	152498448	459061441	660697093	1970707	2213	
18.000000	dedup	1	102	34.000000	5.072000	0.243000	1450998748	151255557	454720296	653467024	2087594	2234	
7.250000	dedup	1	204	34.000000	5.064000	0.364000	1424872463	149534022	450227241	648463218	1974260	2244	
6.750000	dedup	1	204	34.000000	5.064000	0.364000	1433499479	150212527	452515959	652635731	2016595	2221	
9.750000	dedup	1	204	34.000000	5.064000	0.364000	1431760690	149872449	451848327	651057666	1991214	2237	
5.500000	dedup	1	307	34.000000	5.056000	0.444000	1416380978	147995076	445161294	640866791	1990347	2214	
5.250000	dedup	1	307	34.000000	5.064000	0.445000	1413123266	147458432	443219476	637416812	1975775	2225	
5.250000	dedup	1	307	34.000000	5.064000	0.444000	1410056563	147098577	442887544	636946676	1993650	2218	
4.750000	dedup	1	403	34.000000	5.056000	0.525000	1412880516	146664695	441084838	634724358	1989624	2232	
4.750000	dedup	1	403	34.000000	5.056000	0.525000	1412069097	146114785	439738995	632310964	2005390	2214	
4.750000	dedup	1	403	34.000000	5.056000	0.525000	1417765891	146911905	442275515	636556457	2104741	2241	
5.000000	dedup	1	518	34.000000	5.056000	0.606000	1428790807	146609514	440616421	633551287	1993195	2262	
4.000000	dedup	1	518	34.000000	5.056000	0.606000	1442023537	148071764	445938199	642138720	2002728	2242	
4.250000	dedup	1	518	34.000000	5.056000	0.605000	1423256903	146191554	439729579	632200669	2016324	2234	
3.500000	dedup	1	614	34.000000	5.048000	0.686000	1430781222	145511570	437663539	629222126	2010806	2250	
3.500000	dedup	1	614	34.000000	5.048000	0.646000	1445808537	146854111	442358523	637128885	1984891	2225	
3.750000	dedup	1	614	34.000000	5.048000	0.686000	1445213381	147207643	442720753	637291583	2011898	2224	
3.250000	dedup	1	710	34.000000	5.048000	0.767000	1444544058	145710879	438619549	630360003	2004615	2230	
3.000000	dedup	1	710	34.000000	5.048000	0.686000	1458841165	146577888	441112777	634342897	1994708	2235	
3.500000	dedup	1	710	34.000000	5.048000	0.726000	1454795003	146287122	440129889	632932075	1996056	2244	
3.250000	dedup	1	921	34.000000	5.048000	0.848000	1482865385	146179323	439517868	631789893	2100057	2248	
3.000000	dedup	1	921	35.000000	5.040000	0.887000	1489569936	146491021	440967438	634464153	1988807	2247	
3.000000	dedup	1	921	34.000000	5.048000	0.848000	1508718067	148393064	446366104	643056882	2003770	2217	
3.000000	dedup	1	1036	34.000000	5.040000	0.967000	1504198119	146265154	440188846	633642787	2111945	2240	
2.750000	dedup	1	1036	34.000000	5.040000	0.967000	1501332959	146353405	439820916	632464349	1984039	2223	
2.750000	dedup	1	1036	34.000000	5.040000	0.927000	1504244495	146084546	439741521	632693798	2006383	2243	
2.750000	dedup	1	1132	34.000000	5.040000	0.967000	1507587515	146169607	439568534	632221281	2105228	2225	
3.250000	dedup	1	1132	34.000000	5.040000	1.008000	1504891287	145661777	438748885	631110578	2006387	2226	
2.750000	dedup	1	1132	34.000000	5.040000	0.967000	1504525629	146360040	440593961	633531259	1993402	2214	
3.250000	dedup	1	1224	35.000000	5.040000	1.128000	1536738366	147336648	443039503	638304361	1979265	2214	
3.750000	dedup	1	1224	35.000000	5.032000	1.127000	1528179910	146781950	441940330	635980332	1991431	2218	
3.250000	dedup	1	1224	35.000000	5.040000	1.088000	1525349187	146267387	440244124	633123024	2000950	2237	
3.000000	dedup	1	1428	35.000000	5.032000	1.408000	1568105924	147541899	443608673	638924809	2017837	2218	
2.750000	dedup	1	1428	35.000000	5.032000	1.449000	1541911380	145437899	437731335	629060645	1997149	2235	
2.750000	dedup	1	1428	35.000000	5.032000	1.408000	1557223535	146361743	439980974	632985055	1995102	2229	
2.500000	dedup	1	1479	35.000000	5.032000	1.489000	1552530810	145837292	438489065	630328076	1979858	2233	
2.500000	dedup	1	1479	35.000000	5.032000	1.489000	1563755932	146337698	439802408	632698591	1981822	2212	
2.500000	dedup	1	1479	35.000000	5.032000	1.449000	1560480444	145968476	439032715	631481345	1979981	2241	
24.500000	ferret	1	102	34.000000	5.072000	0.243000	1490832544	154323767	467423353	674707339	2294176	5331132	
14.500000	ferret	1	102	34.000000	5.072000	0.243000	1475446572	153079954	463547449	667833680	2278079	5285410	
20.000000	ferret	1	102	33.000000	5.072000	0.243000	1470885876	152718906	462280473	666324518	2388525	5303872	
6.750000	ferret	1	204	33.000000	5.072000	0.324000	1435087937	149892132	453513862	653739555	2270656	5294931	
7.750000	ferret	1	204	33.000000	5.072000	0.324000	1435214756	149404874	451970516	651342644	2377696	5292793	
7.500000	ferret	1	204	33.000000	5.072000	0.324000	1448997373	150326966	455300219	656807112	2277772	5340191	
5.000000	ferret	1	307	33.000000	5.072000	0.365000	1426843432	148366852	448878029	646743467	2376905	5293732	
5.250000	ferret	1	307	34.000000	5.072000	0.405000	1428912659	148230925	448084327	645700809	2270117	5306965	
5.500000	ferret	1	307	33.000000	5.072000	0.365000	1427936191	148260528	448516880	646222781	2383381	5306480	
4.500000	ferret	1	403	34.000000	5.072000	0.405000	1433855150	147303314	445684424	642026345	2278007	5291090	
4.750000	ferret	1	403	33.000000	5.072000	0.405000	1447409687	149110982	451527294	650801398	2277954	5308293	
4.750000	ferret	1	403	33.000000	5.072000	0.405000	1439042698	148286156	448420339	646114474	2311697	5283763	
3.750000	ferret	1	518	33.000000	5.072000	0.446000	1450020359	147752193	446825128	643681261	2293141	5283966	
3.750000	ferret	1	518	33.000000	5.072000	0.446000	1456998416	148588426	449266740	647394912	2272309	5287146	
3.500000	ferret	1	518	33.000000	5.072000	0.446000	1443799824	147067343	444955917	640777463	2367654	5321809	
3.500000	ferret	1	614	34.000000	5.072000	0.486000	1464158713	147559393	446506587	643474326	2286020	5302568	
3.750000	ferret	1	614	33.000000	5.072000	0.446000	1467440380	148409441	448939469	646800770	2276471	5284882	
3.500000	ferret	1	614	33.000000	5.072000	0.486000	1464170693	147689714	446445865	643191174	2282562	5291546	
3.250000	ferret	1	710	33.000000	5.072000	0.486000	1474518120	147401391	445853985	642464650	2280069	5308487	
3.250000	ferret	1	710	33.000000	5.072000	0.486000	1473730494	147402647	445896458	642252336	2288755	5298097	
3.250000	ferret	1	710	33.000000	5.072000	0.486000	1482193874	148431217	449097663	647319622	2269909	5293979	
2.750000	ferret	1	921	33.000000	5.064000	0.567000	1502424630	147189170	444858274	640973545	2285516	5279256	
3.250000	ferret	1	921	33.000000	5.064000	0.567000	1501789357	147184587	445264063	641250591	2274569	5286327	
3.000000	ferret	1	921	34.000000	5.064000	0.567000	1508416187	147466425	446253332	643039643	2273419	5329937	
3.250000	ferret	1	1036	34.000000	5.064000	0.648000	1517960384	146848427	443884243	639270920	2267124	5278045	
2.750000	ferret	1	1036	34.000000	5.064000	0.648000	1522182757	147370228	445600179	642013239	2297452	5277317	
2.750000	ferret	1	1036	34.000000	5.064000	0.607000	1515176504	146736156	443599892	639008732	2370263	5295034	
2.750000	ferret	1	1132	34.000000	5.072000	0.608000	1523281722	146454152	443051780	638141834	2266741	5266219	
3.250000	ferret	1	1132	34.000000	5.064000	0.648000	1526576969	147241256	444903309	641463704	2271998	5281051	
2.750000	ferret	1	1132	34.000000	5.064000	0.648000	1519416858	146594804	442617030	638121890	2271452	5308626	
3.000000	ferret	1	1224	34.000000	5.064000	0.729000	1533368044	146917418	443280038	639040792	2295443	5277279	
2.750000	ferret	1	1224	34.000000	5.064000	0.729000	1530406482	146529038	442019344	637081960	2278128	5283736	
2.750000	ferret	1	1224	34.000000	5.064000	0.729000	1536076513	146765106	443330636	639191816	2278587	5280152	
3.500000	ferret	1	1428	34.000000	5.056000	0.930000	1562885291	146361988	441908910	636921920	2270520	5320081	
3.000000	ferret	1	1428	35.000000	5.056000	0.930000	1564769615	146749040	443342332	639244738	2269044	5283593	
2.750000	ferret	1	1428	34.000000	5.056000	0.930000	1556861617	146154565	440920737	635388443	2264033	5298463	
2.750000	ferret	1	1479	36.000000	5.056000	0.970000	1574034857	146889739	443589356	639598498	2396222	5279784	
3.000000	ferret	1	1479	34.000000	5.056000	0.970000	1564637843	145640781	439923760	633630379	2288141	5273089	
2.750000	ferret	1	1479	35.000000	5.048000	1.049000	1558979016	145387934	438862512	632194887	2261557	5326596	
25.250000	fluidanimate	1	102	33.000000	5.072000	0.243000	1488699438	154585893	472353044	677251289	2406956	9530440	
14.000000	fluidanimate	1	102	33.000000	5.072000	0.243000	1495925318	154774263	473056084	678556948	2432133	9527894	
22.500000	fluidanimate	1	102	33.000000	5.072000	0.243000	1481125236	153814209	470089167	674152954	2421115	9523937	
8.250000	fluidanimate	1	204	33.000000	5.064000	0.364000	1457454834	151890171	464447608	666803294	2439695	9517661	
7.750000	fluidanimate	1	204	33.000000	5.064000	0.364000	1453097260	151931077	464816519	667488058	2432880	9523672	
8.250000	fluidanimate	1	204	34.000000	5.064000	0.364000	1448592279	151193611	462065500	663259208	2430635	9522770	
