Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	UNALIGNED_LDST_SPEC	LDREX_SPEC	STREX_PASS_SPEC	STREX_FAIL_SPEC	LD_SPEC
3.500000	bodytrack	1	614	34.000000	5.064000	0.526000	1662781574	1205664	3889514	3826542	157	364969827	
3.250000	bodytrack	1	710	34.000000	5.064000	0.567000	1673869576	1202073	3886376	3823118	170	364748057	
3.250000	bodytrack	1	710	34.000000	5.064000	0.567000	1663223148	1097716	3818671	3755013	145	362729578	
3.250000	bodytrack	1	710	34.000000	5.056000	0.566000	1678178943	1447830	3904540	3840852	251	365735601	
2.750000	bodytrack	1	921	34.000000	5.056000	0.687000	1712663327	1203642	3930551	3867741	338	365599059	
2.750000	bodytrack	1	921	35.000000	5.056000	0.687000	1706502853	1093124	3902942	3840030	211	364763800	
3.250000	bodytrack	1	921	35.000000	5.056000	0.728000	1711985808	1094323	3949340	3886303	211	366017448	
3.000000	bodytrack	1	1036	35.000000	5.048000	0.848000	1721203191	1318160	3882304	3818781	222	363612625	
2.750000	bodytrack	1	1036	35.000000	5.048000	0.848000	1717038768	1447322	3877268	3815157	144	363488499	
3.000000	bodytrack	1	1036	35.000000	5.048000	0.848000	1731081448	1095435	3945518	3882772	186	365901063	
2.750000	bodytrack	1	1132	35.000000	5.048000	0.848000	1724359971	1202266	3862999	3799558	155	363171718	
3.000000	bodytrack	1	1132	35.000000	5.048000	0.848000	1728787728	1096445	3888725	3826793	147	364399640	
2.750000	bodytrack	1	1132	35.000000	5.048000	0.848000	1741778608	1316954	4026592	3963682	189	367663366	
3.000000	bodytrack	1	1224	36.000000	5.048000	0.928000	1733587826	1087528	3806149	3741605	223	361828687	
2.750000	bodytrack	1	1224	36.000000	5.048000	0.969000	1746656448	1092906	3910562	3848333	137	364654760	
3.750000	bodytrack	1	1224	35.000000	5.048000	0.969000	1746081523	1202494	3912122	3849722	263	364460940	
2.500000	bodytrack	1	1428	36.000000	5.040000	1.209000	1775011159	1200663	3914563	3852351	193	364152008	
2.750000	bodytrack	1	1428	36.000000	5.040000	1.209000	1763064747	1203214	3808665	3746115	188	361396177	
2.750000	bodytrack	1	1428	36.000000	5.040000	1.209000	1772282846	1449514	3873162	3810367	126	363513562	
2.500000	bodytrack	1	1479	36.000000	5.040000	1.290000	1781140790	1315351	3865936	3802725	260	363022584	
2.500000	bodytrack	1	1479	36.000000	5.032000	1.330000	1784500851	1320734	3861527	3798172	264	362931584	
2.500000	bodytrack	1	1479	36.000000	5.032000	1.330000	1786695634	1448801	3944594	3882355	158	364765975	
15.750000	dedup	1	102	34.000000	5.072000	0.243000	1441061896	1366119	3728267	3657789	222	302328612	
16.500000	dedup	1	102	34.000000	5.072000	0.243000	1458987688	1120041	3831830	3761517	235	305963901	
12.750000	dedup	1	102	34.000000	5.072000	0.243000	1472373194	1120087	3946772	3876628	187	308990414	
11.500000	dedup	1	204	34.000000	5.064000	0.364000	1417174495	1354430	3736672	3675997	178	297941892	
13.750000	dedup	1	204	34.000000	5.064000	0.364000	1414825372	1352032	3768239	3707761	127	298295026	
6.500000	dedup	1	204	34.000000	5.064000	0.364000	1420802267	1111726	3790720	3730430	170	299027024	
5.750000	dedup	1	307	34.000000	5.056000	0.444000	1414936378	1001164	3763501	3705653	159	296627415	
6.000000	dedup	1	307	34.000000	5.064000	0.445000	1428508354	1000811	3865271	3808476	152	299400934	
5.000000	dedup	1	307	34.000000	5.064000	0.445000	1411248064	1352510	3737426	3678769	130	295776759	
4.500000	dedup	1	403	34.000000	5.056000	0.525000	1405654503	1217616	3692290	3636047	141	293359053	
4.500000	dedup	1	403	34.000000	5.056000	0.525000	1421416690	1223623	3770796	3714712	145	295839839	
5.000000	dedup	1	403	34.000000	5.056000	0.525000	1423671684	1217412	3800051	3743833	166	296711270	
3.750000	dedup	1	518	34.000000	5.056000	0.606000	1420046704	996433	3661463	3607379	125	292055024	
4.000000	dedup	1	518	34.000000	5.056000	0.606000	1425862814	1109539	3743971	3688235	131	294719635	
5.250000	dedup	1	518	34.000000	5.056000	0.606000	1417781738	996522	3671557	3616167	125	292530983	
3.500000	dedup	1	614	34.000000	5.048000	0.726000	1455867571	1000393	3876903	3822192	127	297169967	
4.750000	dedup	1	614	34.000000	5.048000	0.646000	1437171739	1219450	3723933	3668846	132	293514657	
