Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	UNALIGNED_LDST_SPEC	LDREX_SPEC	STREX_PASS_SPEC	STREX_FAIL_SPEC	LD_SPEC
3.750000	streamcluster	1	518	34.000000	5.056000	0.605000	1402082287	1339326	3659684	3605166	150	289179447	
4.250000	streamcluster	1	614	34.000000	5.048000	0.646000	1421053882	1095555	3709887	3655550	141	290029845	
3.750000	streamcluster	1	614	34.000000	5.056000	0.726000	1417496509	1099025	3741554	3687171	132	290268877	
5.000000	streamcluster	1	614	34.000000	5.048000	0.686000	1409718759	1093416	3647478	3593221	163	288025407	
3.250000	streamcluster	1	710	34.000000	5.048000	0.726000	1438813039	1210010	3800739	3747685	134	292175066	
3.250000	streamcluster	1	710	34.000000	5.048000	0.726000	1440813706	1338661	3799688	3746749	155	292297338	
3.250000	streamcluster	1	710	34.000000	5.048000	0.726000	1419337731	983950	3633415	3579956	130	287478460	
3.000000	streamcluster	1	921	34.000000	5.048000	0.848000	1452058277	985960	3674843	3622114	168	289108107	
3.000000	streamcluster	1	921	34.000000	5.040000	0.927000	1456791219	1208770	3685841	3632376	135	288208829	
3.000000	streamcluster	1	921	34.000000	5.048000	0.848000	1464358038	1210982	3757446	3704674	152	291168579	
4.750000	streamcluster	1	1036	34.000000	5.048000	0.888000	1478182027	1208017	3745128	3691988	190	290477308	
2.750000	streamcluster	1	1036	34.000000	5.048000	0.928000	1475805521	1092344	3713449	3660389	173	289547485	
3.500000	streamcluster	1	1036	34.000000	5.048000	0.928000	1485858819	987045	3809267	3755708	101	292086505	
4.000000	streamcluster	1	1132	34.000000	5.048000	0.928000	1464672275	987239	3601770	3548303	111	286299989	
3.500000	streamcluster	1	1132	34.000000	5.048000	0.928000	1485840495	1093368	3727424	3674458	179	289868912	
2.750000	streamcluster	1	1132	34.000000	5.048000	0.888000	1482780860	1340112	3721664	3668928	142	289263367	
2.750000	streamcluster	1	1224	34.000000	5.048000	1.009000	1491705102	984091	3683290	3630883	151	288427867	
3.250000	streamcluster	1	1224	34.000000	5.040000	1.048000	1490633699	1097813	3670083	3616247	205	288006115	
3.000000	streamcluster	1	1224	34.000000	5.048000	1.049000	1489613508	982864	3696042	3643537	144	288483103	
2.750000	streamcluster	1	1428	35.000000	5.040000	1.249000	1512872673	1090245	3688320	3635949	126	287771579	
2.750000	streamcluster	1	1428	35.000000	5.040000	1.330000	1519323275	986226	3726835	3674058	174	288827149	
2.750000	streamcluster	1	1428	35.000000	5.040000	1.209000	1519067221	984113	3703889	3651299	127	288402646	
2.750000	streamcluster	1	1479	35.000000	5.040000	1.290000	1525949070	1207885	3681603	3628751	260	288149596	
2.500000	streamcluster	1	1479	35.000000	5.040000	1.370000	1530534662	982908	3676292	3622501	146	287884827	
2.750000	streamcluster	1	1479	35.000000	5.040000	1.370000	1533555822	1094568	3687261	3634619	139	288292051	
12.500000	vips	1	102	34.000000	5.072000	0.243000	1598519718	1464805	3814786	3741242	224	334502249	
13.500000	vips	1	102	33.000000	5.072000	0.243000	1593147506	1219244	3829576	3755142	191	332902108	
20.000000	vips	1	102	33.000000	5.072000	0.243000	1599793468	1340144	3824790	3751390	260	333676324	
7.000000	vips	1	204	33.000000	5.072000	0.324000	1562651411	1453370	3802907	3739804	200	327888847	
7.250000	vips	1	204	33.000000	5.072000	0.324000	1553252493	1210416	3792927	3730343	189	327176754	
7.500000	vips	1	204	33.000000	5.072000	0.324000	1578443456	1457315	3907854	3845345	211	331604679	
5.750000	vips	1	307	34.000000	5.072000	0.364000	1556229597	1369892	3787950	3728719	144	326101212	
5.750000	vips	1	307	33.000000	5.064000	0.405000	1571986357	1367033	3911029	3851763	190	328822791	
6.000000	vips	1	307	33.000000	5.072000	0.365000	1556851149	1212251	3772440	3712693	146	325328564	
4.750000	vips	1	403	33.000000	5.072000	0.405000	1565978921	1206944	3824362	3766441	155	325416584	
4.000000	vips	1	403	34.000000	5.072000	0.405000	1568143450	1319556	3817454	3759642	191	324774504	
5.250000	vips	1	403	34.000000	5.064000	0.445000	1564523624	1098562	3798074	3740912	157	324423261	
4.000000	vips	1	518	33.000000	5.064000	0.486000	1558963893	1093982	3691126	3633020	206	319940541	
3.750000	vips	1	518	33.000000	5.064000	0.486000	1571650638	1473148	3788716	3732541	154	322619669	
4.000000	vips	1	518	34.000000	5.072000	0.486000	1563789750	1365670	3717167	3660242	143	322006942	
3.500000	vips	1	614	34.000000	5.064000	0.486000	1582332381	1207654	3784561	3728480	141	322648624	
3.500000	vips	1	614	34.000000	5.064000	0.526000	1591682178	1099298	3833529	3777541	147	324715657	
3.500000	vips	1	614	34.000000	5.072000	0.486000	1575130649	1326076	3708323	3652682	134	321536389	
3.500000	vips	1	710	33.000000	5.064000	0.567000	1593741894	1204943	3758253	3702696	140	322102003	
3.500000	vips	1	710	34.000000	5.064000	0.567000	1595124594	1316055	3764388	3708549	169	322235638	
3.500000	vips	1	710	34.000000	5.064000	0.567000	1602016019	1204548	3817943	3762883	129	323749318	
3.000000	vips	1	921	34.000000	5.064000	0.648000	1620919253	1470658	3751979	3696665	488	320967022	
2.750000	vips	1	921	35.000000	5.064000	0.648000	1626651110	1590388	3780543	3725005	142	322327921	
3.000000	vips	1	921	34.000000	5.064000	0.648000	1614137386	1709448	3716029	3661245	128	320448261	
2.750000	vips	1	1036	34.000000	5.056000	0.728000	1644601741	1204545	3788408	3732463	124	321936486	
3.000000	vips	1	1036	34.000000	5.064000	0.729000	1649669997	1320828	3820712	3765703	153	323630593	
2.750000	vips	1	1036	34.000000	5.064000	0.729000	1645989830	1204119	3802327	3746572	195	321952915	
3.000000	vips	1	1132	34.000000	5.056000	0.768000	1641305279	1318359	3759521	3704508	138	320126910	
2.750000	vips	1	1132	34.000000	5.064000	0.729000	1640455445	1360146	3748800	3693421	224	320234630	
3.250000	vips	1	1132	34.000000	5.064000	0.768000	1632140449	1205948	3692434	3636150	187	318841717	
2.750000	vips	1	1224	34.000000	5.056000	0.849000	1651764953	1096820	3727881	3672835	908	319457757	
3.000000	vips	1	1224	34.000000	5.056000	0.889000	1648803644	1206950	3686099	3631566	271	318653478	
2.750000	vips	1	1224	34.000000	5.056000	0.849000	1658035473	1446602	3749287	3694557	229	320329346	
3.250000	vips	1	1428	36.000000	5.048000	1.171000	1708479769	1208152	3893201	3838533	156	324172341	
2.750000	vips	1	1428	36.000000	5.048000	1.090000	1695398402	1320005	3803888	3748893	169	322018488	
2.750000	vips	1	1428	35.000000	5.048000	1.130000	1681167083	1201110	3702538	3648530	118	319694492	
3.500000	vips	1	1479	35.000000	5.048000	1.211000	1699873948	1473327	3782908	3728326	176	321390454	
2.750000	vips	1	1479	35.000000	5.048000	1.171000	1700285861	1469453	3815814	3760957	230	321650344	
2.500000	vips	1	1479	35.000000	5.048000	1.251000	1686352909	1582157	3703098	3648053	149	318717486	
19.500000	x264	1	102	33.000000	5.072000	0.243000	1448698077	1012714	3817185	3746504	243	303407525	
15.000000	x264	1	102	33.000000	5.072000	0.243000	1446059828	1017377	3840853	3771042	204	304045323	
15.250000	x264	1	102	33.000000	5.072000	0.243000	1434457759	1118423	3752821	3682038	249	300979903	
7.000000	x264	1	204	33.000000	5.072000	0.324000	1403665742	1007162	3733990	3674249	166	296139889	
7.250000	x264	1	204	33.000000	5.072000	0.324000	1411708445	1357445	3775625	3715967	165	297088273	
7.500000	x264	1	204	33.000000	5.072000	0.324000	1403749660	1112343	3712607	3652244	177	295554778	
5.000000	x264	1	307	33.000000	5.072000	0.365000	1396674058	1111345	3726760	3668680	125	293723870	
5.500000	x264	1	307	33.000000	5.072000	0.365000	1417648251	999523	3850930	3793402	161	297575858	
5.750000	x264	1	307	33.000000	5.072000	0.365000	1408142905	1354531	3760426	3702299	147	294908626	
5.250000	x264	1	403	33.000000	5.072000	0.405000	1423042289	999906	3866028	3810013	167	296490017	
4.500000	x264	1	403	33.000000	5.072000	0.405000	1414764999	1107351	3753834	3697558	166	293889831	
5.000000	x264	1	403	33.000000	5.072000	0.405000	1420303214	1223439	3820732	3764579	154	295417712	
3.750000	x264	1	518	33.000000	5.072000	0.446000	1413892140	1352138	3712362	3658043	144	291230742	
3.750000	x264	1	518	33.000000	5.072000	0.446000	1429762877	1349872	3784132	3728999	159	294375884	
4.000000	x264	1	518	33.000000	5.072000	0.446000	1416826338	1345327	3718058	3662800	139	291914199	
3.250000	x264	1	614	33.000000	5.072000	0.486000	1422755896	1217262	3674444	3619823	163	290194587	
3.750000	x264	1	614	33.000000	5.072000	0.446000	1437318330	1351827	3791409	3736600	127	293247560	
3.500000	x264	1	614	33.000000	5.072000	0.486000	1427703330	1219496	3668439	3613609	146	290624853	
3.500000	x264	1	710	33.000000	5.072000	0.486000	1447180969	999905	3748886	3694090	162	292149096	
3.000000	x264	1	710	33.000000	5.072000	0.486000	1433409024	1349233	3647248	3593763	117	289494666	
4.750000	x264	1	710	34.000000	5.072000	0.486000	1443679435	1110049	3723223	3668750	130	291684243	
2.750000	x264	1	921	34.000000	5.064000	0.567000	1468002659	1103325	3736562	3683282	142	290770881	
3.000000	x264	1	921	34.000000	5.064000	0.567000	1472967700	997163	3730388	3676169	202	291160711	
3.000000	x264	1	921	34.000000	5.064000	0.567000	1464815174	1102046	3703838	3650515	163	290332613	
3.000000	x264	1	1036	34.000000	5.064000	0.607000	1480785476	994361	3708638	3655583	145	289862679	
2.750000	x264	1	1036	34.000000	5.072000	0.607000	1503709301	1108297	3783516	3730671	120	292623592	
2.500000	x264	1	1036	34.000000	5.064000	0.607000	1488912882	1105672	3739403	3685715	111	291623420	
2.750000	x264	1	1132	34.000000	5.064000	0.648000	1482450543	998723	3673620	3619775	164	289070408	
3.000000	x264	1	1132	34.000000	5.064000	0.648000	1491381378	1352176	3708249	3654779	162	291042200	
2.750000	x264	1	1132	34.000000	5.064000	0.648000	1485032216	1219691	3688439	3634033	142	289622067	
3.000000	x264	1	1224	34.000000	5.064000	0.729000	1509805601	1102763	3759970	3706897	229	291200402	
2.750000	x264	1	1224	34.000000	5.064000	0.729000	1504837041	997084	3735935	3681980	136	290701032	
2.750000	x264	1	1224	34.000000	5.064000	0.729000	1503923823	1221088	3721294	3668055	172	290656846	
2.750000	x264	1	1428	35.000000	5.056000	0.930000	1537850424	1350906	3741173	3688400	169	290770541	
2.750000	x264	1	1428	34.000000	5.056000	0.970000	1538750871	1108076	3745180	3691925	129	290776002	
2.500000	x264	1	1428	34.000000	5.056000	0.930000	1537939293	994903	3739554	3685444	131	290570631	
2.750000	x264	1	1479	34.000000	5.056000	0.970000	1547481938	995910	3806189	3753158	207	292223770	
2.750000	x264	1	1479	35.000000	5.048000	1.009000	1542116997	1221139	3680277	3627526	148	289294451	
2.750000	x264	1	1479	34.000000	5.056000	0.970000	1559204218	1222901	3861299	3807711	482	293916527	
