Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	BR_MIS_PRED	BR_PRED	MEM_ACCESS	L1I_CACHE	L1D_CACHE_WB
3.500000	bodytrack	1	614	37.000000	5.064000	0.526000	1667086201	8402628	270228892	530189378	663818247	4340765	
3.500000	bodytrack	1	614	37.000000	5.064000	0.526000	1667391639	8450174	270028421	530162136	664108885	4395253	
3.500000	bodytrack	1	614	37.000000	5.064000	0.526000	1666420427	8464486	269753513	529635088	664009313	4377455	
3.000000	bodytrack	1	710	37.000000	5.056000	0.566000	1679944752	8409016	269617573	529509025	662985036	4326523	
3.000000	bodytrack	1	710	37.000000	5.056000	0.606000	1690765051	8486219	271096096	531814469	667387031	4375403	
3.500000	bodytrack	1	710	37.000000	5.056000	0.566000	1683868839	8513477	269585908	529068999	664852632	4325184	
3.000000	bodytrack	1	921	37.000000	5.048000	0.726000	1709897809	8372609	268599582	527407486	661954741	4368271	
3.000000	bodytrack	1	921	37.000000	5.056000	0.726000	1721543260	8455769	271695056	532550681	665856855	4337025	
3.000000	bodytrack	1	921	37.000000	5.056000	0.726000	1712305598	8430985	269961574	529794379	663531022	4372684	
3.500000	bodytrack	1	1036	37.000000	5.048000	0.848000	1726618053	8297356	268879743	527350759	660970181	4316109	
3.000000	bodytrack	1	1036	37.000000	5.048000	0.848000	1726459078	8359502	269652857	528848181	662557697	4299134	
3.000000	bodytrack	1	1036	38.000000	5.048000	0.848000	1729660111	8337669	269539623	528939044	662646566	4409262	
3.000000	bodytrack	1	1132	37.000000	5.048000	0.848000	1715345706	8324264	266399241	523573112	657443449	4232660	
3.500000	bodytrack	1	1132	37.000000	5.048000	0.848000	1746757937	8360704	271710985	532228462	665743539	4315376	
4.500000	bodytrack	1	1132	38.000000	5.048000	0.888000	1737063381	8325724	269767827	528904434	662323809	4353051	
2.500000	bodytrack	1	1224	38.000000	5.048000	0.969000	1750160053	8304722	269167427	527938699	661233575	4293262	
2.500000	bodytrack	1	1224	37.000000	5.048000	0.969000	1749467443	8362391	269204741	528302262	660295055	4269078	
3.000000	bodytrack	1	1224	37.000000	5.048000	0.969000	1750252716	8295096	269393742	528273090	661305080	4243640	
