Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	BR_MIS_PRED	BR_PRED	MEM_ACCESS	L1I_CACHE	L1D_CACHE_WB
3.593750	bodytrack	1	614	26.000000	5.064000	0.486000	1670213206	8448888	272244363	533712658	667829116	4378835	
3.812500	bodytrack	1	614	26.000000	5.064000	0.486000	1663257372	8436538	271401280	532659910	665755944	4346811	
3.781250	bodytrack	1	614	26.000000	5.064000	0.486000	1666553537	8500554	271034333	531973968	665553204	4450893	
3.375000	bodytrack	1	710	26.000000	5.056000	0.525000	1696776472	8506287	273355259	535810642	671273447	4539784	
3.406250	bodytrack	1	710	27.000000	5.056000	0.525000	1678697289	8435257	270298550	530223236	665080501	4394679	
3.375000	bodytrack	1	710	26.000000	5.056000	0.525000	1678708712	8429776	270743701	531377777	663843312	4339282	
3.156250	bodytrack	1	921	26.000000	5.056000	0.647000	1706466821	8382295	270168703	530169473	664039316	4388656	
3.187500	bodytrack	1	921	26.000000	5.056000	0.647000	1707588508	8363428	269862117	529104925	661702275	4260316	
3.125000	bodytrack	1	921	26.000000	5.056000	0.647000	1724823175	8401579	272495164	534038895	667602306	4432701	
2.687500	bodytrack	1	1036	26.000000	5.048000	0.767000	1719133464	8381240	269506896	528493136	661365104	4257237	
2.750000	bodytrack	1	1036	27.000000	5.048000	0.767000	1728902246	8389919	270210091	530099167	662838917	4405763	
3.250000	bodytrack	1	1036	26.000000	5.048000	0.767000	1714198611	8424056	267567162	526084393	658427713	4304448	
2.906250	bodytrack	1	1132	27.000000	5.048000	0.807000	1745719423	8384422	272340984	533420353	667090327	4435708	
2.718750	bodytrack	1	1132	27.000000	5.048000	0.807000	1720662964	8262731	268124516	526074913	658346402	4308676	
2.781250	bodytrack	1	1132	27.000000	5.040000	0.806000	1746440882	8451356	270936804	531194321	664608414	4431805	
3.000000	bodytrack	1	1224	27.000000	5.040000	0.927000	1738958047	8296255	268070569	526003556	659002664	4293734	
3.125000	bodytrack	1	1224	27.000000	5.032000	0.925000	1751706637	8357673	269337297	528374980	661351781	4301027	
3.281250	bodytrack	1	1224	27.000000	5.048000	0.928000	1748478120	8267624	269564492	528470441	660959325	4325805	
2.687500	bodytrack	1	1428	27.000000	5.040000	1.169000	1778298991	8338239	270254011	529721162	662433240	4307351	
2.656250	bodytrack	1	1428	28.000000	5.040000	1.169000	1758130207	8239490	267570623	525112222	656986782	4269165	
2.593750	bodytrack	1	1428	27.000000	5.040000	1.169000	1777372642	8240605	269687924	529325909	662498111	4335576	
2.531250	bodytrack	1	1479	29.000000	5.032000	1.207000	1774751768	8262138	266767270	524195634	657375121	4307672	
2.562500	bodytrack	1	1479	27.000000	5.024000	1.245000	1789143164	8289869	269520204	528681142	660793381	4264257	
2.562500	bodytrack	1	1479	28.000000	5.032000	1.247000	1776250389	8214450	268009219	525824772	657690421	4272753	
