Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	L1D_CACHE_ST	L1D_CACHE_REFILL_LD	L1D_CACHE_REFILL_ST	L1D_CACHE_WB_VICTIM	L1D_CACHE_WB_CLEAN
2.000000	freqmine	1	1479	37.000000	5.024000	1.406000	1565671178	191337069	8414243	1831367	3961537	118370	
14.000000	streamcluster	1	102	35.000000	5.072000	0.243000	1433605865	193475245	9648115	1966293	4352074	159028	
14.000000	streamcluster	1	102	35.000000	5.072000	0.243000	1432608483	192892542	9507367	1943457	4263084	161125	
24.000000	streamcluster	1	102	35.000000	5.072000	0.243000	1440362466	194076688	9560513	1921304	4284893	162326	
6.000000	streamcluster	1	204	35.000000	5.064000	0.364000	1399021451	189972460	8947452	1840877	4052273	137674	
12.000000	streamcluster	1	204	36.000000	5.064000	0.364000	1402336314	190773054	9101417	1909317	4120714	136081	
8.000000	streamcluster	1	204	35.000000	5.056000	0.404000	1406076991	190377264	9120397	1832770	4054337	137930	
6.000000	streamcluster	1	307	35.000000	5.056000	0.444000	1388575532	187764903	8792297	1829891	3979880	128463	
4.000000	streamcluster	1	307	35.000000	5.056000	0.485000	1404713580	189984432	8790176	1812542	3983933	130843	
4.000000	streamcluster	1	307	35.000000	5.056000	0.444000	1398239531	189130005	8806727	1845708	4011183	130526	
6.000000	streamcluster	1	403	35.000000	5.048000	0.525000	1402127586	189078884	8700525	1802574	3943411	125033	
4.000000	streamcluster	1	403	35.000000	5.048000	0.524000	1412326962	190013092	8717747	1829112	4003961	128047	
4.000000	streamcluster	1	403	35.000000	5.056000	0.525000	1392982138	187566696	8573129	1801550	3914940	123087	
4.000000	streamcluster	1	518	36.000000	5.048000	0.605000	1409141057	187363863	8620397	1811851	3919249	120432	
4.000000	streamcluster	1	518	35.000000	5.048000	0.605000	1409258253	187548385	8619519	1795616	3890942	120784	
6.000000	streamcluster	1	518	36.000000	5.048000	0.605000	1416190309	188677940	8467802	1747890	3857873	124262	
4.000000	streamcluster	1	614	35.000000	5.048000	0.686000	1417126556	187110725	8452988	1755642	3839258	118571	
4.000000	streamcluster	1	614	35.000000	5.048000	0.646000	1429713874	188852228	8569599	1798161	3914502	122325	
4.000000	streamcluster	1	614	35.000000	5.048000	0.686000	1408532696	185840698	8352938	1762889	3799688	117763	
2.000000	streamcluster	1	710	36.000000	5.048000	0.726000	1427878792	186893547	8481472	1752558	3825070	120094	
2.000000	streamcluster	1	710	35.000000	5.048000	0.726000	1435970336	187898522	8421010	1725492	3811963	118053	
4.000000	streamcluster	1	710	36.000000	5.048000	0.726000	1436672891	187947035	8441234	1724448	3824135	118722	
2.000000	streamcluster	1	921	36.000000	5.048000	0.807000	1468023419	188175982	8524131	1783758	3910504	116276	
2.000000	streamcluster	1	921	36.000000	5.048000	0.887000	1459056314	187023090	8431490	1724783	3786775	115651	
4.000000	streamcluster	1	921	36.000000	5.048000	0.848000	1444499233	185670181	8411264	1805009	3908076	112153	
4.000000	streamcluster	1	1036	36.000000	5.040000	0.927000	1477202909	187213787	8510320	1798508	3891296	118619	
2.000000	streamcluster	1	1036	36.000000	5.048000	0.928000	1473392703	187560727	8453291	1786350	3882021	112462	
4.000000	streamcluster	1	1036	36.000000	5.040000	0.887000	1479722473	187465074	8375857	1749107	3839383	115811	
2.000000	streamcluster	1	1132	36.000000	5.048000	0.928000	1483626886	187434921	8327189	1753590	3821787	114923	
2.000000	streamcluster	1	1132	36.000000	5.040000	0.927000	1488305473	187322618	8465607	1740017	3815745	117432	
4.000000	streamcluster	1	1132	36.000000	5.040000	0.927000	1477904001	186547407	8332505	1755171	3817284	112406	
2.000000	streamcluster	1	1224	36.000000	5.048000	1.049000	1498989740	187229048	8396528	1767608	3844326	114101	
2.000000	streamcluster	1	1224	36.000000	5.040000	1.048000	1489680298	186240093	8304118	1746545	3765285	115106	
2.000000	streamcluster	1	1224	36.000000	5.040000	1.088000	1488104473	185701008	8275280	1733159	3759350	112163	
2.000000	streamcluster	1	1428	36.000000	5.040000	1.290000	1519356188	186436203	8354992	1777764	3844455	111505	
4.000000	streamcluster	1	1428	37.000000	5.040000	1.328000	1520606218	186731927	8327779	1760780	3811526	114727	
4.000000	streamcluster	1	1428	37.000000	5.040000	1.209000	1530867832	188044920	8384593	1782696	3860012	114930	
2.000000	streamcluster	1	1479	36.000000	5.032000	1.368000	1522085061	185796686	8347681	1762775	3793590	112775	
4.000000	streamcluster	1	1479	37.000000	5.032000	1.408000	1519858895	185231029	8246452	1749329	3750392	111872	
4.000000	streamcluster	1	1479	37.000000	5.032000	1.328000	1526953863	186263766	8306780	1773015	3800966	116447	
18.000000	vips	1	102	35.000000	5.064000	0.243000	1612647848	214259143	10164128	3108966	5318107	173275	
20.000000	vips	1	102	35.000000	5.072000	0.243000	1624036020	215211425	10239625	3127437	5394295	166722	
12.000000	vips	1	102	35.000000	5.072000	0.243000	1601111106	212247099	10023058	3091824	5232985	163762	
8.000000	vips	1	204	35.000000	5.072000	0.324000	1553098201	207064584	9412445	2971780	4950158	138945	
8.000000	vips	1	204	35.000000	5.072000	0.324000	1547736955	207504691	9312217	2974028	4946279	137962	
8.000000	vips	1	204	35.000000	5.064000	0.324000	1561275103	208298148	9449865	2983902	4968853	140984	
6.000000	vips	1	307	35.000000	5.064000	0.364000	1546263931	206033151	9136518	2977614	4901863	129957	
6.000000	vips	1	307	35.000000	5.064000	0.364000	1560969368	207591181	9225473	2948848	4908901	130356	
4.000000	vips	1	307	35.000000	5.072000	0.365000	1555784129	206722591	9195438	2969516	4899210	128716	
4.000000	vips	1	403	35.000000	5.064000	0.445000	1570143777	207357535	9057640	2953852	4880290	127562	
4.000000	vips	1	403	35.000000	5.064000	0.445000	1566975691	206930945	9085350	2925336	4852173	127004	
4.000000	vips	1	403	35.000000	5.064000	0.445000	1552022019	205593951	8909930	2928007	4806470	125206	
4.000000	vips	1	518	35.000000	5.064000	0.486000	1593825582	208675642	9266005	2984506	4958840	125037	
6.000000	vips	1	518	35.000000	5.072000	0.445000	1588324989	208286099	9049057	2954573	4889944	124322	
4.000000	vips	1	518	35.000000	5.064000	0.445000	1580971565	206884336	9077708	2908887	4805443	124796	
4.000000	vips	1	614	35.000000	5.064000	0.526000	1588052095	206167506	9030113	2973681	4883142	124344	
4.000000	vips	1	614	35.000000	5.064000	0.526000	1590266792	206411898	8851179	2903171	4779768	124593	
4.000000	vips	1	614	35.000000	5.072000	0.486000	1586605548	206255879	8927623	2926271	4825101	118616	
4.000000	vips	1	710	36.000000	5.064000	0.567000	1603917741	206255760	8895020	2892623	4782435	118463	
4.000000	vips	1	710	35.000000	5.064000	0.567000	1592571145	204905452	8827899	2921761	4782371	120131	
4.000000	vips	1	710	36.000000	5.064000	0.567000	1596982350	205851785	8804696	2920641	4796394	120592	
4.000000	vips	1	921	35.000000	5.064000	0.647000	1636440145	206621036	8886600	2914358	4801693	118994	
2.000000	vips	1	921	36.000000	5.064000	0.648000	1626229504	205223551	8772022	2913353	4742564	117858	
4.000000	vips	1	921	35.000000	5.064000	0.647000	1631282154	206147329	8931737	2912832	4818321	117130	
2.000000	vips	1	1036	36.000000	5.056000	0.728000	1638826828	205144196	8809576	2899633	4754824	116282	
2.000000	vips	1	1036	36.000000	5.064000	0.687000	1641170770	204722117	8998689	3003379	4904267	118616	
2.000000	vips	1	1036	36.000000	5.056000	0.728000	1640310992	204873870	9061792	2933426	4817689	117518	
4.000000	vips	1	1132	36.000000	5.056000	0.728000	1654109376	205630567	9455305	2980447	5031958	121458	
2.000000	vips	1	1132	36.000000	5.056000	0.768000	1661907863	207052511	8953118	2894271	4825190	116923	
4.000000	vips	1	1132	36.000000	5.056000	0.768000	1653706831	205430471	8823361	2912493	4765339	119985	
2.000000	vips	1	1224	36.000000	5.056000	0.849000	1653375684	204215900	8656780	2902758	4705429	116199	
4.000000	vips	1	1224	36.000000	5.056000	0.889000	1663723136	204924423	8852463	2950211	4797348	118015	
4.000000	vips	1	1224	36.000000	5.056000	0.849000	1660331979	204324664	8742469	2925484	4753799	115494	
2.000000	vips	1	1428	37.000000	5.048000	1.130000	1690728122	204980338	8801611	2941627	4784071	116628	
2.000000	vips	1	1428	36.000000	5.048000	1.130000	1692572929	204837239	8684749	2904748	4740037	116447	
2.000000	vips	1	1428	36.000000	5.048000	1.130000	1690016515	204463578	8891374	2951230	4809073	116979	
2.000000	vips	1	1479	37.000000	5.048000	1.211000	1691767433	203950386	8664639	2875494	4686625	115083	
2.000000	vips	1	1479	36.000000	5.040000	1.249000	1703585574	205560666	8671781	2886301	4723302	119146	
4.000000	vips	1	1479	37.000000	5.048000	1.209000	1694938572	204608996	8851602	2970126	4823403	116239	
16.000000	x264	1	102	35.000000	5.072000	0.243000	1436066133	193458144	9684598	1950294	4343373	150816	
16.000000	x264	1	102	35.000000	5.064000	0.243000	1433647056	193813461	9518151	1919269	4250554	154061	
14.000000	x264	1	102	35.000000	5.072000	0.243000	1499957569	196306054	9861940	1970860	4365634	172415	
8.000000	x264	1	204	35.000000	5.072000	0.324000	1418247709	192823066	9195794	1871419	4156396	135678	
10.000000	x264	1	204	35.000000	5.064000	0.324000	1411742898	191375914	9300492	1948580	4254401	137222	
8.000000	x264	1	204	35.000000	5.064000	0.324000	1407090084	190623138	9052293	1841200	4034904	138624	
6.000000	x264	1	307	35.000000	5.072000	0.364000	1409682436	191124139	8895263	1819819	4006873	129263	
6.000000	x264	1	307	35.000000	5.064000	0.364000	1411486430	190825537	8863628	1802696	3971018	128690	
6.000000	x264	1	307	35.000000	5.072000	0.365000	1419446679	192186756	8953800	1843734	4075678	129902	
4.000000	x264	1	403	35.000000	5.072000	0.405000	1417749339	190687935	8808894	1824370	3995223	126188	
6.000000	x264	1	403	35.000000	5.072000	0.405000	1428348941	191991130	8824490	1833233	4027637	124221	
6.000000	x264	1	403	35.000000	5.064000	0.405000	1415646633	190006101	8689041	1825984	3971937	127078	
4.000000	x264	1	518	35.000000	5.072000	0.446000	1419332383	188829902	8503940	1760222	3861098	120993	
2.000000	x264	1	518	35.000000	5.072000	0.446000	1414060618	188162209	8572171	1797276	3889062	123516	
2.000000	x264	1	518	35.000000	5.072000	0.445000	1430037892	190230208	8704714	1767445	3909470	120601	
4.000000	x264	1	614	36.000000	5.072000	0.446000	1430754019	188419112	8558407	1778221	3873361	119410	
2.000000	x264	1	614	36.000000	5.072000	0.486000	1435553832	189370341	8570394	1786249	3907962	119184	
2.000000	x264	1	614	35.000000	5.072000	0.486000	1439338220	189367474	8747043	1803352	3925958	123961	
4.000000	x264	1	710	35.000000	5.064000	0.526000	1438829409	187655223	8525174	1798816	3869693	118156	
4.000000	x264	1	710	35.000000	5.064000	0.526000	1443080506	188363802	8591957	1810752	3951722	116528	
2.000000	x264	1	710	36.000000	5.064000	0.486000	1456487076	190865092	8569025	1767554	3912195	119793	
2.000000	x264	1	921	35.000000	5.064000	0.567000	1487997804	190715962	8545638	1791363	3925334	116891	
4.000000	x264	1	921	36.000000	5.064000	0.567000	1479015220	188951906	8533202	1820861	3918159	117193	
2.000000	x264	1	921	36.000000	5.064000	0.567000	1483018182	189807230	8518944	1779076	3875425	120985	
2.000000	x264	1	1036	36.000000	5.064000	0.607000	1508173796	190706270	8742401	1851604	4003396	117647	
2.000000	x264	1	1036	35.000000	5.064000	0.607000	1481106024	187430469	8456548	1775658	3843111	115159	
2.000000	x264	1	1036	35.000000	5.064000	0.648000	1492629649	188637272	8532059	1797944	3892671	116147	
4.000000	x264	1	1132	36.000000	5.064000	0.648000	1500575782	189214312	8448493	1768895	3858572	116214	
2.000000	x264	1	1132	36.000000	5.064000	0.648000	1494862853	188393704	8593345	1797318	3932161	115386	
2.000000	x264	1	1132	36.000000	5.064000	0.648000	1493314950	188241646	8386305	1752961	3829996	115698	
4.000000	x264	1	1224	36.000000	5.064000	0.728000	1507680193	188489498	8558769	1788413	3867082	114465	
4.000000	x264	1	1224	35.000000	5.064000	0.729000	1504138417	187694932	8339973	1769405	3801975	120310	
2.000000	x264	1	1224	36.000000	5.064000	0.728000	1499486984	187260739	8318390	1743920	3780706	115451	
2.000000	x264	1	1428	37.000000	5.056000	0.930000	1527908052	186909003	8318383	1778478	3816359	113701	
2.000000	x264	1	1428	37.000000	5.048000	0.969000	1528235637	186796329	8329909	1796411	3837460	114120	
4.000000	x264	1	1428	37.000000	5.056000	0.930000	1547633065	190003074	8433420	1755386	3868064	117208	
4.000000	x264	1	1479	37.000000	5.056000	0.970000	1537071363	187521844	8244671	1745209	3777846	114684	
2.000000	x264	1	1479	37.000000	5.056000	0.970000	1530644242	186714791	8319073	1757819	3790649	114685	
2.000000	x264	1	1479	36.000000	5.056000	0.970000	1532448524	187123550	8247656	1756278	3786389	112952	
