Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	ISB_SPEC	DSB_SPEC	DMB_SPEC	EXC_UNDEF	EXC_SVC
3.500000	bodytrack	1	710	32.000000	5.064000	0.567000	1676542979	1877952	161243	3434798	0	37897	
3.000000	bodytrack	1	921	33.000000	5.056000	0.728000	1708724382	1880989	161349	3424751	0	37882	
2.500000	bodytrack	1	921	33.000000	5.056000	0.687000	1718819464	1878936	162184	3478064	0	37896	
3.000000	bodytrack	1	921	33.000000	5.056000	0.687000	1707885782	1876417	160886	3420661	0	37882	
3.000000	bodytrack	1	1036	34.000000	5.048000	0.807000	1734382001	1877563	158658	3508064	0	37876	
3.000000	bodytrack	1	1036	33.000000	5.048000	0.848000	1755169572	1881720	159954	3642400	0	37894	
3.000000	bodytrack	1	1036	33.000000	5.048000	0.848000	1729149059	1877115	161179	3407571	0	37888	
3.500000	bodytrack	1	1132	33.000000	5.048000	0.848000	1737499584	1877378	158601	3485843	0	37879	
3.000000	bodytrack	1	1132	33.000000	5.056000	0.848000	1726063165	1874116	160090	3339172	0	37879	
3.000000	bodytrack	1	1132	34.000000	5.048000	0.848000	1743740745	1879901	161755	3522360	0	37876	
3.000000	bodytrack	1	1224	32.000000	5.048000	0.969000	1751693100	1877204	161115	3446266	0	37888	
2.500000	bodytrack	1	1224	33.000000	5.048000	0.969000	1754990393	1878890	160055	3481655	0	37894	
2.500000	bodytrack	1	1224	33.000000	5.048000	0.928000	1756809943	1882960	160474	3479304	0	37895	
3.000000	bodytrack	1	1428	33.000000	5.040000	1.169000	1780212191	1875129	160223	3432039	0	37888	
2.500000	bodytrack	1	1428	35.000000	5.040000	1.209000	1791978315	1878719	159506	3560271	0	37897	
3.000000	bodytrack	1	1428	35.000000	5.040000	1.209000	1780836682	1875166	160154	3349474	0	37882	
2.500000	bodytrack	1	1479	33.000000	5.032000	1.328000	1792583322	1877218	160353	3440525	0	37893	
2.500000	bodytrack	1	1479	34.000000	5.032000	1.328000	1796556012	1878524	160847	3444664	0	37885	
2.500000	bodytrack	1	1479	34.000000	5.040000	1.290000	1771614452	1871160	159461	3309478	0	37857	
16.000000	dedup	1	102	32.000000	5.072000	0.243000	1458682963	1876447	167415	3509805	0	35607	
21.000000	dedup	1	102	32.000000	5.072000	0.243000	1449821246	1875287	168719	3409987	0	35608	
22.000000	dedup	1	102	32.000000	5.072000	0.243000	1464275990	1880045	170428	3483371	0	35612	
9.500000	dedup	1	204	32.000000	5.064000	0.364000	1425552966	1857521	164978	3415435	0	35618	
8.000000	dedup	1	204	32.000000	5.064000	0.364000	1414748624	1854524	163820	3397716	0	35611	
8.000000	dedup	1	204	32.000000	5.072000	0.365000	1420399386	1855319	164344	3363495	0	35608	
5.500000	dedup	1	307	32.000000	5.056000	0.444000	1422976290	1850694	164399	3440713	0	35603	
5.000000	dedup	1	307	32.000000	5.056000	0.444000	1423545738	1850434	162609	3474270	0	35616	
