Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	ISB_SPEC	DSB_SPEC	DMB_SPEC	EXC_UNDEF	EXC_SVC
4.000000	streamcluster	1	921	33.000000	5.048000	0.807000	1450041043	1813217	159762	3195404	0	35064	
3.000000	streamcluster	1	1036	33.000000	5.048000	0.888000	1470610483	1814326	157582	3288254	0	35064	
3.000000	streamcluster	1	1036	33.000000	5.048000	0.928000	1481247778	1816960	159658	3335881	0	35070	
3.000000	streamcluster	1	1036	34.000000	5.048000	0.928000	1481674354	1819261	160060	3335750	0	35070	
3.000000	streamcluster	1	1132	33.000000	5.048000	0.928000	1484431226	1821635	160698	3333503	0	35064	
3.000000	streamcluster	1	1132	33.000000	5.048000	0.928000	1484338384	1817276	160117	3332640	0	35064	
2.000000	streamcluster	1	1132	33.000000	5.048000	0.928000	1468407087	1814284	160120	3206335	0	35070	
3.000000	streamcluster	1	1224	34.000000	5.048000	1.049000	1494980580	1815120	159066	3309100	0	35058	
3.000000	streamcluster	1	1224	34.000000	5.048000	1.049000	1508527461	1818868	157511	3486312	0	35064	
2.000000	streamcluster	1	1224	34.000000	5.048000	1.049000	1498651183	1816982	159682	3327308	0	35070	
3.000000	streamcluster	1	1428	34.000000	5.040000	1.290000	1511768910	1813339	159523	3227792	0	35067	
3.000000	streamcluster	1	1428	34.000000	5.040000	1.290000	1520864200	1813505	157294	3319534	0	35070	
3.000000	streamcluster	1	1428	34.000000	5.040000	1.330000	1519612876	1814689	159525	3297644	0	35070	
3.000000	streamcluster	1	1479	35.000000	5.040000	1.411000	1547697263	1819665	158566	3520492	0	35070	
3.000000	streamcluster	1	1479	34.000000	5.040000	1.370000	1529380936	1815011	160543	3268704	0	35061	
3.000000	streamcluster	1	1479	35.000000	5.040000	1.370000	1536729597	1816255	159306	3358946	0	35070	
27.000000	vips	1	102	33.000000	5.072000	0.243000	1599060861	1884725	168678	3493800	0	35809	
12.000000	vips	1	102	33.000000	5.072000	0.243000	1609894740	1892412	170853	3524573	0	35808	
16.000000	vips	1	102	33.000000	5.072000	0.243000	1589203955	1884338	170670	3385826	0	35810	
7.000000	vips	1	204	32.000000	5.072000	0.324000	1586790722	1866722	164721	3632875	0	35808	
7.000000	vips	1	204	33.000000	5.072000	0.324000	1566224762	1865451	167164	3478739	0	35809	
8.000000	vips	1	204	33.000000	5.072000	0.324000	1571701848	1866511	164821	3492233	0	35808	
6.000000	vips	1	307	33.000000	5.072000	0.365000	1552258258	1852604	162753	3377780	0	35808	
5.000000	vips	1	307	33.000000	5.072000	0.365000	1562087408	1854829	164868	3421782	0	35808	
5.000000	vips	1	307	33.000000	5.072000	0.364000	1561374300	1853932	164267	3379432	0	35808	
5.000000	vips	1	403	33.000000	5.064000	0.445000	1574253067	1854936	164738	3503557	0	35805	
4.000000	vips	1	403	33.000000	5.072000	0.405000	1564935401	1849763	161953	3353554	0	35805	
7.000000	vips	1	403	33.000000	5.064000	0.445000	1566525542	1850537	163344	3408969	0	35805	
4.000000	vips	1	518	33.000000	5.064000	0.486000	1594117381	1851039	162575	3561204	0	35805	
5.000000	vips	1	518	33.000000	5.072000	0.486000	1570945857	1845029	162280	3296102	0	35807	
5.000000	vips	1	518	33.000000	5.072000	0.486000	1563849361	1841831	161503	3271916	0	35806	
3.000000	vips	1	614	32.000000	5.064000	0.526000	1570166349	1840807	162077	3244888	0	35805	
4.000000	vips	1	614	33.000000	5.064000	0.486000	1577267202	1841819	162377	3254019	0	35805	
4.000000	vips	1	614	33.000000	5.072000	0.527000	1584837915	1843479	161370	3351490	0	35809	
3.000000	vips	1	710	33.000000	5.064000	0.567000	1603230749	1846993	161145	3418289	0	35808	
3.000000	vips	1	710	33.000000	5.064000	0.567000	1611838746	1848132	161755	3500119	0	35805	
3.000000	vips	1	710	33.000000	5.064000	0.567000	1599544090	1845978	163319	3353636	0	35809	
3.000000	vips	1	921	33.000000	5.064000	0.648000	1621864946	1840348	160714	3348713	0	35805	
3.000000	vips	1	921	34.000000	5.064000	0.648000	1617886084	1839490	161639	3265914	0	35808	
4.000000	vips	1	921	33.000000	5.064000	0.648000	1635708951	1845527	163356	3449314	0	35802	
3.000000	vips	1	1036	33.000000	5.056000	0.728000	1646983194	1841706	160502	3388690	0	35805	
2.000000	vips	1	1036	33.000000	5.064000	0.729000	1649248240	1843847	160730	3434939	0	35805	
3.000000	vips	1	1036	33.000000	5.064000	0.729000	1640248370	1841040	161512	3285842	0	35805	
3.000000	vips	1	1132	33.000000	5.056000	0.728000	1648450520	1841129	159590	3393631	0	35805	
3.000000	vips	1	1132	33.000000	5.056000	0.768000	1661361581	1843841	160946	3493378	0	35805	
3.000000	vips	1	1132	33.000000	5.064000	0.769000	1641931516	1840560	161197	3286840	0	35805	
3.000000	vips	1	1224	34.000000	5.056000	0.849000	1662439592	1840673	161350	3360579	0	35805	
3.000000	vips	1	1224	34.000000	5.056000	0.889000	1668856693	1843444	162370	3391512	0	35809	
3.000000	vips	1	1224	33.000000	5.056000	0.849000	1655143140	1839708	160502	3304011	0	35810	
3.000000	vips	1	1428	34.000000	5.048000	1.130000	1693497118	1840575	162441	3351011	0	35805	
3.000000	vips	1	1428	35.000000	5.048000	1.130000	1707102090	1842327	161356	3456789	0	35805	
3.000000	vips	1	1428	34.000000	5.048000	1.130000	1702774904	1845210	162575	3487388	0	35805	
3.000000	vips	1	1479	34.000000	5.048000	1.171000	1710892475	1843343	162482	3429882	0	35805	
2.000000	vips	1	1479	33.000000	5.048000	1.251000	1704629843	1841145	160935	3375717	0	35806	
3.000000	vips	1	1479	35.000000	5.048000	1.211000	1704305036	1841457	162390	3377555	0	35802	
20.000000	x264	1	102	33.000000	5.072000	0.243000	1452637729	1878740	170357	3486584	0	35576	
16.000000	x264	1	102	32.000000	5.072000	0.243000	1433425039	1871494	170123	3332798	0	35576	
19.000000	x264	1	102	33.000000	5.072000	0.243000	1452918175	1879073	170778	3527828	0	35573	
7.000000	x264	1	204	33.000000	5.072000	0.324000	1419710145	1855742	164143	3474604	0	35576	
7.000000	x264	1	204	32.000000	5.072000	0.324000	1407151269	1850934	165052	3313706	0	35576	
7.000000	x264	1	204	32.000000	5.072000	0.324000	1413899617	1852547	164945	3412554	0	35570	
6.000000	x264	1	307	33.000000	5.072000	0.365000	1409446453	1845780	163705	3425564	0	35571	
6.000000	x264	1	307	33.000000	5.072000	0.365000	1406505278	1845869	163797	3304874	0	35562	
8.000000	x264	1	307	32.000000	5.072000	0.365000	1407986448	1847067	164575	3354856	0	35576	
5.000000	x264	1	403	32.000000	5.072000	0.405000	1408076291	1842371	164001	3284983	0	35567	
6.000000	x264	1	403	32.000000	5.072000	0.405000	1414151409	1843482	164168	3354534	0	35573	
5.000000	x264	1	403	33.000000	5.072000	0.405000	1427365394	1845306	162923	3480026	0	35570	
4.000000	x264	1	518	32.000000	5.072000	0.405000	1422075826	1839725	163059	3330888	0	35576	
4.000000	x264	1	518	33.000000	5.072000	0.446000	1430692814	1840545	161594	3419792	0	35576	
4.000000	x264	1	518	33.000000	5.072000	0.446000	1433600063	1843617	161462	3483421	0	35573	
4.000000	x264	1	614	33.000000	5.072000	0.486000	1440084231	1841966	161224	3374144	0	35573	
3.000000	x264	1	614	33.000000	5.072000	0.446000	1432355082	1836444	161268	3324304	0	35576	
4.000000	x264	1	614	32.000000	5.072000	0.486000	1453763702	1842135	161984	3529807	0	35576	
4.000000	x264	1	710	32.000000	5.072000	0.486000	1442785711	1835200	160815	3343664	0	35576	
3.000000	x264	1	710	33.000000	5.072000	0.486000	1439978164	1834982	160983	3306275	0	35561	
3.000000	x264	1	710	32.000000	5.072000	0.486000	1448677042	1836802	161960	3311295	0	35576	
3.000000	x264	1	921	33.000000	5.064000	0.567000	1473273656	1837968	160808	3313088	0	35564	
3.000000	x264	1	921	33.000000	5.064000	0.567000	1473098589	1838497	161961	3345498	0	35576	
3.000000	x264	1	921	32.000000	5.064000	0.607000	1474310833	1836574	160831	3358521	0	35564	
3.000000	x264	1	1036	33.000000	5.064000	0.607000	1498421375	1837194	160690	3461059	0	35564	
3.000000	x264	1	1036	33.000000	5.072000	0.568000	1484927014	1832509	159880	3302425	0	35573	
3.000000	x264	1	1036	33.000000	5.064000	0.607000	1491717512	1832737	160567	3338320	0	35570	
3.000000	x264	1	1132	33.000000	5.064000	0.648000	1503918094	1838184	161877	3421386	0	35576	
4.000000	x264	1	1132	33.000000	5.064000	0.648000	1497293562	1835681	163370	3332495	0	35570	
3.000000	x264	1	1132	33.000000	5.064000	0.648000	1479870637	1830224	159566	3232067	0	35576	
3.000000	x264	1	1224	33.000000	5.064000	0.729000	1510111145	1833637	161318	3311406	0	35576	
3.000000	x264	1	1224	33.000000	5.064000	0.729000	1516046932	1835726	162500	3388576	0	35573	
3.000000	x264	1	1224	33.000000	5.064000	0.729000	1505353477	1833187	161343	3309050	0	35576	
3.000000	x264	1	1428	33.000000	5.056000	0.930000	1540101921	1832922	159704	3348057	0	35570	
3.000000	x264	1	1428	33.000000	5.056000	0.930000	1553740252	1837741	159849	3515565	0	35561	
3.000000	x264	1	1428	34.000000	5.056000	0.889000	1543987050	1836796	161390	3403832	0	35561	
2.000000	x264	1	1479	33.000000	5.056000	0.970000	1557998099	1835901	162352	3407093	0	35576	
4.000000	x264	1	1479	34.000000	5.056000	0.970000	1537480087	1830839	160393	3257079	0	35576	
2.000000	x264	1	1479	34.000000	5.056000	0.970000	1539758626	1831271	159516	3305629	0	35561	
