Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	L1D_TLB_REFILL	INST_RETIRED	EXC_TAKEN	EXC_RETURN	CID_WRITE_RETIRED
3.500000	streamcluster	1	921	36.000000	5.048000	0.888000	1463868293	4813526	1051601522	123509	123509	0	
3.000000	streamcluster	1	921	36.000000	5.048000	0.807000	1452005910	4819982	1041983074	122261	122261	0	
4.500000	streamcluster	1	921	36.000000	5.048000	0.887000	1459875537	4839793	1050814981	122886	122886	0	
3.000000	streamcluster	1	1036	36.000000	5.048000	0.888000	1469359673	4805372	1041879563	122777	122777	0	
3.000000	streamcluster	1	1036	36.000000	5.048000	0.928000	1481990184	4837419	1059285003	123519	123519	0	
2.500000	streamcluster	1	1036	36.000000	5.040000	0.887000	1477507795	4804114	1050485209	122776	122776	0	
3.000000	streamcluster	1	1132	36.000000	5.048000	0.928000	1478725283	4821645	1043700005	122792	122792	0	
4.500000	streamcluster	1	1132	36.000000	5.040000	0.927000	1481641385	4748837	1045956002	122668	122668	0	
3.500000	streamcluster	1	1132	36.000000	5.040000	0.927000	1473129544	4797299	1043499341	122765	122765	0	
3.000000	streamcluster	1	1224	36.000000	5.048000	0.969000	1493821899	4730515	1046682306	122779	122779	0	
3.000000	streamcluster	1	1224	37.000000	5.040000	1.048000	1487730906	4779487	1040088045	122150	122150	0	
2.500000	streamcluster	1	1224	36.000000	5.040000	1.048000	1490801535	4795613	1044581982	122392	122392	0	
2.500000	streamcluster	1	1428	37.000000	5.040000	1.290000	1517042850	4776108	1044107970	122701	122701	0	
3.000000	streamcluster	1	1428	37.000000	5.040000	1.330000	1516831583	4775351	1045911564	122754	122754	0	
2.500000	streamcluster	1	1428	37.000000	5.040000	1.209000	1524239146	4809857	1050688962	122744	122744	0	
3.000000	streamcluster	1	1479	37.000000	5.032000	1.368000	1515922990	4807952	1035669094	121844	121844	0	
2.500000	streamcluster	1	1479	37.000000	5.032000	1.408000	1529832625	4787157	1046032528	122441	122441	0	
3.000000	streamcluster	1	1479	37.000000	5.032000	1.368000	1535010264	4781163	1051466173	123064	123064	0	
22.000000	vips	1	102	36.000000	5.072000	0.243000	1618820558	6354932	1256270179	131166	131166	0	
13.500000	vips	1	102	36.000000	5.072000	0.243000	1602420462	6337931	1238301278	130104	130104	0	
14.500000	vips	1	102	36.000000	5.072000	0.243000	1605131206	6381667	1242945329	130023	130023	0	
6.500000	vips	1	204	36.000000	5.064000	0.324000	1564473398	6187210	1221353270	127320	127320	0	
6.500000	vips	1	204	36.000000	5.072000	0.324000	1553927986	6219306	1216835296	127152	127152	0	
7.000000	vips	1	204	36.000000	5.064000	0.324000	1564796931	6213021	1221298115	127265	127265	0	
5.500000	vips	1	307	35.000000	5.064000	0.364000	1548186704	6075608	1209026607	125913	125913	0	
5.000000	vips	1	307	36.000000	5.064000	0.364000	1556360804	6099972	1211745395	126596	126596	0	
5.000000	vips	1	307	36.000000	5.072000	0.365000	1555406979	6113446	1210168511	125905	125905	0	
4.500000	vips	1	403	35.000000	5.064000	0.445000	1570282993	6130872	1214007861	126111	126111	0	
4.500000	vips	1	403	35.000000	5.064000	0.445000	1559708929	6076520	1206977931	125757	125757	0	
4.500000	vips	1	403	36.000000	5.064000	0.445000	1551565722	6123878	1200567963	125170	125170	0	
3.500000	vips	1	518	36.000000	5.064000	0.526000	1578718350	6113720	1212133527	126398	126398	0	
4.500000	vips	1	518	35.000000	5.064000	0.486000	1573674165	6078986	1208384003	125503	125503	0	
4.500000	vips	1	518	36.000000	5.072000	0.445000	1574893222	6069864	1207790980	125545	125545	0	
4.000000	vips	1	614	36.000000	5.064000	0.526000	1586414828	6039331	1209143324	126020	126020	0	
3.500000	vips	1	614	36.000000	5.064000	0.526000	1584355567	6078917	1205548274	125397	125397	0	
3.500000	vips	1	614	36.000000	5.072000	0.486000	1599830197	6045118	1222058883	126694	126694	0	
3.000000	vips	1	710	36.000000	5.064000	0.567000	1603778562	6058584	1211133975	126091	126091	0	
3.500000	vips	1	710	36.000000	5.064000	0.567000	1596110699	5927303	1203820324	125303	125303	0	
3.500000	vips	1	710	36.000000	5.064000	0.567000	1595575088	6074662	1205121515	125916	125916	0	
3.000000	vips	1	921	36.000000	5.064000	0.687000	1618324330	6009232	1197791065	125317	125317	0	
3.000000	vips	1	921	36.000000	5.064000	0.647000	1620239729	6017685	1199277048	125087	125087	0	
3.000000	vips	1	921	36.000000	5.056000	0.687000	1624180527	6016170	1199892020	125151	125151	0	
3.000000	vips	1	1036	36.000000	5.056000	0.768000	1657664631	6094526	1216922656	126046	126046	0	
3.000000	vips	1	1036	36.000000	5.056000	0.728000	1642974095	6056344	1203983950	125507	125507	0	
3.000000	vips	1	1036	36.000000	5.056000	0.728000	1640307278	6029090	1203332984	125374	125374	0	
2.500000	vips	1	1132	36.000000	5.056000	0.768000	1643983151	6038016	1202592055	125314	125314	0	
3.000000	vips	1	1132	36.000000	5.056000	0.768000	1648123042	6044144	1202218275	125000	125000	0	
3.000000	vips	1	1132	36.000000	5.056000	0.768000	1652633814	6037462	1204767972	125377	125377	0	
3.000000	vips	1	1224	37.000000	5.056000	0.849000	1664743168	6055742	1203849748	125580	125580	0	
3.000000	vips	1	1224	36.000000	5.048000	0.969000	1667795088	6051792	1206355514	125332	125332	0	
2.500000	vips	1	1224	37.000000	5.056000	0.889000	1657423236	6033836	1201488361	124851	124851	0	
3.000000	vips	1	1428	37.000000	5.048000	1.171000	1686359332	6004650	1200797617	125109	125109	0	
2.500000	vips	1	1428	37.000000	5.048000	1.130000	1682824388	5997137	1196845286	124593	124593	0	
2.500000	vips	1	1428	36.000000	5.048000	1.171000	1698677173	6059012	1210173942	125815	125815	0	
3.000000	vips	1	1479	37.000000	5.032000	1.247000	1717496057	6057590	1215290041	126525	126525	0	
3.000000	vips	1	1479	38.000000	5.048000	1.209000	1697247649	6011345	1202010315	125260	125260	0	
3.000000	vips	1	1479	37.000000	5.048000	1.171000	1700267387	6055975	1205169812	125243	125243	0	
17.500000	x264	1	102	36.000000	5.072000	0.284000	1444329138	5130904	1086184844	128329	128329	0	
12.500000	x264	1	102	36.000000	5.072000	0.243000	1435596049	5101927	1083488116	127799	127799	0	
15.000000	x264	1	102	36.000000	5.072000	0.243000	1441964561	5169793	1088970742	128038	128038	0	
6.500000	x264	1	204	36.000000	5.064000	0.324000	1424196448	4983366	1085157528	126731	126731	0	
6.500000	x264	1	204	36.000000	5.072000	0.324000	1414833531	4981969	1073488907	126452	126452	0	
7.500000	x264	1	204	36.000000	5.072000	0.324000	1407403093	4956090	1068902083	125693	125693	0	
5.500000	x264	1	307	36.000000	5.072000	0.364000	1399022432	4896153	1061898225	125212	125212	0	
5.500000	x264	1	307	35.000000	5.072000	0.364000	1411610839	4918158	1067793264	125796	125796	0	
6.000000	x264	1	307	36.000000	5.072000	0.365000	1401793936	4909149	1063761131	125073	125073	0	
4.500000	x264	1	403	36.000000	5.072000	0.405000	1430027004	4908300	1077903421	126525	126525	0	
4.500000	x264	1	403	36.000000	5.072000	0.405000	1426279486	4922178	1071920957	126142	126142	0	
5.500000	x264	1	403	36.000000	5.072000	0.405000	1416335686	4915530	1064500944	125162	125162	0	
4.000000	x264	1	518	36.000000	5.072000	0.486000	1413774379	4776935	1052308188	124166	124166	0	
4.000000	x264	1	518	36.000000	5.072000	0.446000	1411109948	4833095	1048190861	123889	123889	0	
3.500000	x264	1	518	36.000000	5.072000	0.445000	1431839761	4859682	1066987177	125224	125224	0	
3.500000	x264	1	614	36.000000	5.072000	0.486000	1433138141	4835066	1057570737	124596	124596	0	
3.500000	x264	1	614	36.000000	5.072000	0.486000	1454526537	4889470	1076200913	125972	125972	0	
3.500000	x264	1	614	36.000000	5.072000	0.486000	1440686544	4830599	1063855573	124985	124985	0	
3.500000	x264	1	710	36.000000	5.072000	0.486000	1438394790	4850819	1050887525	124195	124195	0	
3.500000	x264	1	710	36.000000	5.064000	0.526000	1438009127	4849506	1053548404	124312	124312	0	
3.000000	x264	1	710	36.000000	5.072000	0.486000	1445707587	4854534	1055707508	124323	124323	0	
3.000000	x264	1	921	36.000000	5.064000	0.567000	1479192100	4858299	1061596624	125450	125450	0	
3.000000	x264	1	921	36.000000	5.064000	0.607000	1482810018	4880034	1061731332	125091	125091	0	
3.000000	x264	1	921	36.000000	5.064000	0.607000	1468322408	4816342	1050822320	123926	123926	0	
2.500000	x264	1	1036	36.000000	5.064000	0.648000	1495686124	4849057	1060647315	124795	124795	0	
3.500000	x264	1	1036	36.000000	5.064000	0.648000	1489485433	4857639	1056810687	124480	124480	0	
3.000000	x264	1	1036	36.000000	5.064000	0.607000	1478731631	4858647	1045651643	123407	123407	0	
3.000000	x264	1	1132	36.000000	5.064000	0.648000	1505100412	4873998	1062436258	125088	125088	0	
3.000000	x264	1	1132	36.000000	5.064000	0.648000	1505249970	4809518	1061068563	124788	124788	0	
3.000000	x264	1	1132	36.000000	5.064000	0.648000	1496813456	4851543	1058084381	124399	124399	0	
2.500000	x264	1	1224	36.000000	5.064000	0.729000	1520072820	4868283	1061079587	124622	124622	0	
3.000000	x264	1	1224	36.000000	5.064000	0.728000	1510868068	4842019	1056009861	124416	124416	0	
3.000000	x264	1	1224	37.000000	5.064000	0.729000	1502194732	4820645	1049236396	124314	124314	0	
3.000000	x264	1	1428	37.000000	5.056000	0.930000	1536616595	4840030	1049774253	123909	123909	0	
3.000000	x264	1	1428	37.000000	5.048000	0.928000	1538711551	4844519	1055231024	124300	124300	0	
2.500000	x264	1	1428	36.000000	5.056000	0.930000	1536011852	4810312	1051970784	124020	124020	0	
2.500000	x264	1	1479	37.000000	5.056000	1.011000	1540348140	4807247	1051311424	123965	123965	0	
3.000000	x264	1	1479	37.000000	5.048000	1.009000	1536629775	4813772	1045064276	123391	123391	0	
3.000000	x264	1	1479	36.000000	5.056000	1.009000	1543229102	4804682	1052818579	124339	124339	0	
