Run Duration (ms)	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	CPU_CYCLES	L1D_TLB_REFILL	INST_RETIRED	EXC_TAKEN	EXC_RETURN	CID_WRITE_RETIRED
3.500000	bodytrack	1	710	36.000000	5.056000	0.566000	1678274234	5010900	1391703620	128654	128654	0	
3.000000	bodytrack	1	710	36.000000	5.056000	0.566000	1681014179	5039631	1393230799	128948	128948	0	
3.000000	bodytrack	1	710	36.000000	5.056000	0.606000	1684687279	5046959	1396344125	129124	129124	0	
2.500000	bodytrack	1	921	36.000000	5.056000	0.726000	1715161793	5022029	1394634250	128650	128650	0	
2.500000	bodytrack	1	921	37.000000	5.056000	0.728000	1699102777	4997695	1379609484	127969	127969	0	
3.000000	bodytrack	1	921	36.000000	5.056000	0.726000	1709241995	5032580	1387843435	128336	128336	0	
3.000000	bodytrack	1	1036	37.000000	5.048000	0.848000	1742622341	5007567	1399422090	128982	128982	0	
3.000000	bodytrack	1	1036	36.000000	5.048000	0.848000	1717517567	4984760	1379885600	127946	127946	0	
3.000000	bodytrack	1	1036	36.000000	5.048000	0.848000	1729299337	5009348	1391567615	128874	128874	0	
3.000000	bodytrack	1	1132	36.000000	5.048000	0.888000	1735367656	4966404	1391270064	128414	128414	0	
3.000000	bodytrack	1	1132	36.000000	5.048000	0.848000	1736319738	4994055	1391360789	128508	128508	0	
3.000000	bodytrack	1	1132	36.000000	5.048000	0.848000	1730461984	4991786	1388388835	128215	128215	0	
3.000000	bodytrack	1	1224	37.000000	5.048000	0.969000	1744515440	4973877	1381967531	127872	127872	0	
3.000000	bodytrack	1	1224	36.000000	5.048000	0.969000	1753284614	4987323	1392302757	129144	129144	0	
2.500000	bodytrack	1	1224	36.000000	5.048000	0.969000	1752713707	5020455	1394445095	129363	129363	0	
2.500000	bodytrack	1	1428	38.000000	5.040000	1.209000	1780504818	5016425	1390023753	128502	128502	0	
3.000000	bodytrack	1	1428	37.000000	5.040000	1.249000	1786573959	5042751	1395487033	128925	128925	0	
2.500000	bodytrack	1	1428	38.000000	5.040000	1.209000	1783684055	4973779	1385031140	128236	128236	0	
3.500000	bodytrack	1	1479	37.000000	5.032000	1.288000	1796691721	5004217	1391651357	128827	128827	0	
2.500000	bodytrack	1	1479	37.000000	5.032000	1.328000	1793742025	5028400	1391133752	128928	128928	0	
2.500000	bodytrack	1	1479	37.000000	5.032000	1.328000	1775995701	4991981	1379561263	127684	127684	0	
18.000000	dedup	1	102	35.000000	5.072000	0.243000	1459688890	5169623	1100100895	129385	129385	0	
15.500000	dedup	1	102	35.000000	5.072000	0.243000	1458702481	5128567	1098541230	129100	129100	0	
24.500000	dedup	1	102	35.000000	5.072000	0.243000	1454788390	5142314	1096491707	128776	128776	0	
