#Timestamp	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	Energy[J]	Run Duration (s)	CPU_CYCLES	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_REFILL	L1D_CACHE	L1D_TLB_REFILL	INST_RETIRED	EXC_TAKEN	EXC_RETURN	BR_MIS_PRED	BR_PRED	MEM_ACCESS	L1I_CACHE	L1D_CACHE_WB	L2D_CACHE	L2D_CACHE_REFILL	L2D_CACHE_WB	BUS_ACCESS	INST_SPEC	TTBR_WRITE_RETIRED	BUS_CYCLES	L1D_CACHE_LD	L1D_CACHE_ST	L1D_CACHE_REFILL_LD	L1D_CACHE_REFILL_ST	L1D_CACHE_WB_VICTIM	L1D_CACHE_WB_CLEAN	L1D_CACHE_INVAL	L1D_TLB_REFILL_LD	L1D_TLB_REFILL_ST	L2D_CACHE_LD	L2D_CACHE_ST	L2D_CACHE_REFILL_LD	L2D_CACHE_REFILL_ST	L2D_CACHE_WB_VICTIM	BUS_ACCESS_LD	BUS_ACCESS_ST	BUS_ACCESS_NOT_SHARED	BUS_ACCESS_NORMAL	BUS_ACCESS_PERIPH	MEM_ACCESS_LD	MEM_ACCESS_ST	UNALIGNED_LD_SPEC	UNALIGNED_ST_SPEC	UNALIGNED_LDST_SPEC	LDREX_SPEC	STREX_PASS_SPEC	STREX_FAIL_SPEC	LD_SPEC	ST_SPEC	LDST_SPEC	DP_SPEC	ASE_SPEC	VFP_SPEC	PC_WRITE_SPEC	BR_IMMED_SPEC	BR_RETURN_SPEC	BR_INDIRECT_SPEC	ISB_SPEC	DSB_SPEC	DMB_SPEC	EXC_SVC	EXC_PABORT	EXC_DABORT	0EXC_IRQ	0EXC_SMC	0RC_LD_SPEC	0RC_ST_SPEC
11	blackscholes	2	403	36	5.056	0.525	2.403515625	4.578125	1408659260	12266484	1701586	10384072	441182257	4878687	1050503663	124098	124098	8244621	225769133	441472113	556748765	4085971	44162936	5160704	1291134	30929640	1344034516	1807836	1416693313	252950977	191303815	8782063	1820038	4025070	124221	26536	4432611	547281	31556070	12108930	4236146	973300	1281703	20815619	10305723	31121342	31112810	8740	249652001	188477121	1156302	65374	1106507	3773075	3717371	139	294203083	146389723	441194536	635569458	2098031	51420	224670199	196066439	23835621	28567892	1839135	162388	3237339	35541	10122	77649	1399	328	474426	2616289
12	blackscholes	3	403	36	5.048	0.524	2.65275	5.0625	1407532428	12253223	1685803	10518752	441307407	4894257	1053292251	124170	124170	8282537	225236983	440829984	557203568	4012425	44304176	5200099	1286451	31011764	1335235259	1805252	1405421607	251347693	191199676	8951510	1831939	4083589	126666	30510	4390534	541291	31826724	12242480	4353725	1000316	1322606	20868767	10145686	31014453	31005688	9526	252222959	190186186	1041620	66202	1107162	3778313	3722082	126	293538395	145881930	439483342	633480969	2090422	51386	228225317	199029028	24423759	29160398	1846824	162232	3376334	35556	10462	77297	1454	325	473236	2582936
13	blackscholes	1	518	36	5.048	0.605	2.32546875	3.84375	1425932716	12109127	1688423	10228692	442944172	4883967	1046995187	123641	123641	8120138	223524631	436946774	551811775	3966139	43396741	5085893	1284811	30529063	1333126681	1805040	1416167918	251122518	187234862	8473334	1783660	3869105	120839	25239	4387948	548551	31162189	12147939	4118786	979735	1298420	20624726	10317391	30942117	30935143	6622	250353510	188816381	927930	66378	1352325	3797125	3741768	128	293475888	145271451	438056993	631314977	2068784	51455	229386992	200000281	24621662	29350840	1840680	163474	3350202	35541	9762	77689	1126	330	469497	2599892
14	blackscholes	2	518	36	5.048	0.605	2.36328125	3.90625	1414548379	12022469	1700173	10324284	439855146	4847125	1049579906	123913	123913	8185701	225380116	440876585	556178436	3973083	43112074	4900621	1265767	29713670	1338343956	1808640	1420595491	252227101	188904028	8683886	1815531	3958541	120342	25603	4455312	546483	31167417	12172975	3860101	941685	1259714	19866704	10246032	30112736	30105993	6606	249883098	188503179	928614	65366	1103146	3747574	3693011	150	292148177	145475086	438390558	631634241	2067067	51506	227140556	198099704	24274495	29004994	1838774	159429	3408066	35541	10140	77674	1074	324	466736	2572658
15	blackscholes	3	518	36	5.048	0.605	2.486171875	4.109375	1419648829	12091697	1714046	10300744	440530457	4836229	1049138030	123688	123688	8153085	223085380	436770912	551099360	3983454	43119098	4985103	1256825	29942417	1349940755	1808828	1435967310	254388377	187172020	8674097	1859229	3971005	119307	24739	4409453	545920	31080186	12127314	4069427	987078	1301371	20175572	10309184	30484756	30477453	6331	251464140	189793873	928960	66244	1107241	3753082	3698628	149	292573578	144858587	436502081	628267524	2072961	51427	227258151	198209106	24283059	29013181	1837599	160306	3340873	35529	10490	77285	1084	328	465233	2495830
16	blackscholes	1	614	36	5.048	0.686	2.1223125	3.09375	1441645307	11981824	1666496	10447890	443160930	4870599	1043722354	123416	123416	8186619	226262991	441951236	556805312	4021404	42764261	4947248	1292933	30114046	1333545988	1804688	1429541266	251050946	187947939	8510812	1810682	3907432	123681	24705	4376665	544282	30798631	12088726	3945158	961095	1272057	19917817	10357846	30275663	30269813	5795	250435478	189010165	1281559	65563	1352264	3718229	3663241	146	291144416	145407480	438403822	631783976	2074268	51580	224381057	195807402	23816220	28537788	1836455	161247	3289604	35541	10779	77612	950	336	464282	2550771
17	blackscholes	2	614	36	5.048	0.646	2.1600625	3.34375	1424387679	11932106	1651577	10379799	438072274	4816610	1049613354	123621	123621	8136176	223509994	437206634	551349906	3920734	43101418	4906134	1267922	29747057	1351076684	1810056	1448152404	254425548	187951388	8467423	1774082	3873688	119239	21866	4378878	538192	30951879	12114016	4005866	971044	1288776	20008468	10238840	30247308	30240875	5719	251834815	189774182	1280369	66544	1350722	3734010	3679764	130	291098977	144914092	436806678	628724598	2078346	51439	224614874	195971342	23883848	28607656	1832866	160041	3216091	35541	9462	77011	914	330	463507	2561970
18	blackscholes	3	614	36	5.048	0.646	2.5234375	3.90625	1432665048	11859403	1685133	10299626	440651363	4889074	1047183651	123661	123661	8123746	224947697	439775080	554063403	3943699	43240193	5007768	1283553	30296184	1338770388	1807524	1436868617	252207748	188885618	8475954	1780481	3885446	120674	23801	4393507	541328	30922121	12151016	4105312	981787	1304842	20162741	10287749	30450490	30444797	5722	250993186	189434863	1041194	65719	1106456	3761649	3706588	130	292260612	144712589	436210012	627870883	2087317	51535	225938070	197098647	24083050	28803552	1838292	161234	3362003	35541	10120	77340	859	327	463076	2518889
19	blackscholes	1	710	36	5.048	0.726	2.677125	3.6875	1451098754	11752328	1650050	10230090	442993383	4890938	1052927046	123868	123868	8122054	225714790	440491940	556255984	4000092	42872327	4813946	1275458	29427406	1332298765	1805888	1443400429	251065339	189293077	8531173	1766318	3889798	115424	22932	4418024	545342	30771982	12104088	3930107	981801	1302942	19420480	10185199	29605679	29599825	5257	248683767	188114446	928435	66163	1219704	3729386	3675213	149	290617265	143835555	433303404	623574477	2063891	51549	227925263	198663344	24499379	29226056	1836224	161090	3304413	35547	9817	77335	838	328	462740	2569194
20	blackscholes	2	710	36	5.048	0.726	2.7451875	3.78125	1458743161	11874561	1649075	10295469	444632672	4922410	1063533335	124868	124868	8114834	224355857	438637134	552428183	3923688	42948310	4912651	1291578	29924077	1336281821	1808176	1445298420	251538303	187952662	8635291	1852409	3961121	119336	20432	4384246	536055	30527038	11966388	3923941	968215	1276606	19490995	10120330	29611325	29606083	5347	250415164	188766245	1155328	66867	999259	3718657	3664397	128	290309769	145423211	438133046	631182883	2094990	51538	223015908	194618303	23645255	28361747	1839806	162610	3301462	35535	10170	77682	776	328	461145	2474455
