#Timestamp	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	Voltage[V]	Power[W]	Energy[J]	Run Duration (s)	CPU_CYCLES	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_REFILL	L1D_CACHE	L1D_TLB_REFILL	INST_RETIRED	EXC_TAKEN	EXC_RETURN	BR_MIS_PRED	BR_PRED	MEM_ACCESS	L1I_CACHE	L1D_CACHE_WB	L2D_CACHE	L2D_CACHE_REFILL	L2D_CACHE_WB	BUS_ACCESS	INST_SPEC	TTBR_WRITE_RETIRED	BUS_CYCLES	L1D_CACHE_LD	L1D_CACHE_ST	L1D_CACHE_REFILL_LD	L1D_CACHE_REFILL_ST	L1D_CACHE_WB_VICTIM	L1D_CACHE_WB_CLEAN	L1D_CACHE_INVAL	L1D_TLB_REFILL_LD	L1D_TLB_REFILL_ST	L2D_CACHE_LD	L2D_CACHE_ST	L2D_CACHE_REFILL_LD	L2D_CACHE_REFILL_ST	L2D_CACHE_WB_VICTIM	BUS_ACCESS_LD	BUS_ACCESS_ST	BUS_ACCESS_NOT_SHARED	BUS_ACCESS_NORMAL	BUS_ACCESS_PERIPH	MEM_ACCESS_LD	MEM_ACCESS_ST	UNALIGNED_LD_SPEC	UNALIGNED_ST_SPEC	UNALIGNED_LDST_SPEC	LDREX_SPEC	STREX_PASS_SPEC	STREX_FAIL_SPEC	LD_SPEC	ST_SPEC	LDST_SPEC	DP_SPEC	ASE_SPEC	VFP_SPEC	PC_WRITE_SPEC	BR_IMMED_SPEC	BR_RETURN_SPEC	BR_INDIRECT_SPEC	ISB_SPEC	DSB_SPEC	DMB_SPEC	EXC_SVC	EXC_PABORT	EXC_DABORT	0EXC_IRQ	0EXC_SMC	0RC_LD_SPEC	0RC_ST_SPEC
78	bodytrack	3	1479	37	5.032	1.328	3.403	2.5625	1781020558	12215650	1649491	11049389	525874110	4991981	1379561263	127684	127684	8323296	270094286	529355204	662834955	4344100	45107452	5015853	1395394	31497365	1680331782	1846052	1792326298	323170356	206318588	9008521	2015514	4191657	121261	21461	4537055	566167	32095424	13208572	4048126	1119643	1424306	20401436	11398738	31800174	31795734	3654	322013084	205977705	1025674	68761	1448801	3944594	3882355	158	364765975	159188049	524341652	757224115	4547426	81903820	268721963	239235558	24655782	29448184	1871160	159461	3309478	37857	9787	79492	581	334	513335	2632975
79	dedup	1	102	36	5.072	0.243	4.0246875	16.5625	1466668219	15158701	2032717	11937273	461666141	5169623	1100100895	129385	129385	8984107	234612653	460911173	584604103	4688156	51718445	6674015	1469586	38057177	1398562119	1815012	1465642869	262702346	195681361	9750593	2049048	4453529	156961	70731	4649687	575701	37588045	13777624	5489502	1159350	1498741	26724943	11627973	38352916	38320861	31640	261599104	197942120	1057315	60296	1366119	3728267	3657789	222	302328612	152116911	457937663	659150328	1982174	2222	233123581	202932078	25139080	30155548	1876447	167415	3509805	35607	9773	79239	4877	336	534572	2636822
80	dedup	2	102	36	5.072	0.243	3.493125	14.375	1454094210	15072468	2030103	11800899	456868282	5128567	1098541230	129100	129100	9031857	234029047	460454471	584677460	4643566	50696679	6540605	1460593	37467502	1390448182	1813380	1458178816	261103038	196178941	9830516	2041720	4512545	154532	71732	4681400	576958	37594314	13696821	5528540	1136791	1456848	26735015	11354304	38089319	38058908	30928	262349192	198567922	1060431	60897	1120041	3831830	3761517	235	305963901	152498448	459061441	660697093	1970707	2213	231600805	201681219	24870723	29883617	1875287	168719	3409987	35608	9782	78656	4721	336	532603	2600151
81	dedup	3	102	36	5.064	0.283	4.704875	16.625	1451362557	15089561	2029300	11653010	457176212	5142314	1096491707	128776	128776	8986944	232673935	458289527	581952435	4623062	50264209	6470429	1442743	37092051	1394831426	1814408	1461348015	262019403	196928878	9730131	2043304	4501306	158121	73338	4710422	581283	37702780	13722780	5437802	1148033	1464697	26295162	11139668	37434830	37402819	32216	264223170	200027065	1059142	61591	1120087	3946772	3876628	187	308990414	151255557	454720296	653467024	2087594	2234	231564351	201610591	24907709	29917804	1880045	170428	3483371	35612	9827	78437	4808	337	538112	2691609
82	dedup	1	204	36	5.064	0.364	3.52625	9.6875	1424097942	13284572	1820770	11028797	452934097	5019104	1078046853	126698	126698	8506859	228629710	448801205	566177601	4340597	47482270	6043661	1438614	35337901	1374982943	1812056	1429526409	258391389	193780521	9155950	1926282	4252024	136578	47024	4531763	557534	34210953	13040927	4860895	1082614	1408191	24069410	11205435	35274845	35258175	15705	254690756	192893091	1163679	60728	1354430	3736672	3675997	178	297941892	149534022	450227241	648463218	1974260	2244	230974644	201221238	24749646	29717461	1857521	164978	3415435	35618	9816	78326	2457	337	496498	2698578
83	dedup	2	204	36	5.056	0.364	3.310125	9.09375	1418579345	13259487	1821945	11033888	450798856	4974704	1086425936	127251	127251	8480660	230656138	451700671	569215160	4408430	46651814	5709108	1418528	33946024	1372783086	1811828	1428491544	258590445	194363090	9254612	1963417	4322949	137662	45329	4539721	564990	34274381	13170882	4593098	1066191	1395514	22728853	10887221	33616074	33600191	15601	257963099	195075057	1297202	60735	1352032	3768239	3707761	127	298295026	150212527	452515959	652635731	2016595	2221	234239681	203943702	25294311	30260023	1854524	163820	3397716	35611	10137	78390	2373	331	491526	2547334
84	dedup	3	204	36	5.056	0.364	2.991625	8.21875	1429780901	13328864	1824779	11171242	453738665	4970844	1080407524	126862	126862	8502975	229468575	449689592	567250107	4331176	47581867	6022569	1439456	35293361	1372480941	1811036	1425988649	258088067	192900086	9184206	1947504	4252651	140858	45927	4553920	558639	34362145	13029598	4884386	1099614	1436147	24174251	11236613	35410864	35394272	16058	257362294	194627439	1293697	59888	1111726	3790720	3730430	170	299027024	149872449	451848327	651057666	1991214	2237	230805481	201072218	24734837	29697313	1855319	164344	3363495	35608	9795	79252	2400	325	496200	2690713
85	dedup	1	307	36	5.048	0.444	2.4975	5.625	1409908642	12656894	1742929	11000186	446230597	4864494	1072783247	125975	125975	8366959	228952311	448928151	564659698	4282277	45709923	5632576	1403556	33421486	1362403372	1810956	1422154115	256814292	192861507	8915718	1907203	4159940	137804	33978	4473913	546084	32939445	12822230	4447879	1073579	1413460	22325741	11080703	33406444	33394564	11278	256210501	193572427	1047272	61081	1001164	3763501	3705653	159	296627415	147995076	445161294	640866791	1990347	2214	226925051	197770363	24180218	29118740	1850694	164399	3440713	35603	10486	78950	1651	332	481370	2589078
86	dedup	2	307	36	5.056	0.485	2.6675	5.5	1418750633	12629644	1738677	10817537	449390034	4936617	1075253282	126732	126732	8361985	229281563	449026128	565124188	4309895	45950260	5626029	1431939	33721960	1357484864	1810280	1418093529	255789393	193245060	9048723	1952683	4227795	136225	38652	4458717	555409	33071895	12750985	4603683	1076845	1417193	22585469	11030322	33615791	33605025	11251	253370759	191779323	1292411	60177	1000811	3865271	3808476	152	299400934	147458432	443219476	637416812	1975775	2225	227772747	198516327	24274516	29220492	1850434	162609	3474270	35616	10168	78982	1622	328	483702	2611398
87	dedup	3	307	36	5.056	0.444	2.2755	5.125	1414187497	12774639	1751028	10858970	446719211	4887394	1076615384	126424	126424	8339025	229066325	448225606	564561442	4253429	45194412	5646291	1422280	33675926	1349364832	1807568	1411362444	253974183	192387537	8954308	1920099	4198022	132632	34526	4446233	549534	32905455	12715020	4571303	1094484	1422600	22809337	11238878	34048215	34037271	10488	253443745	191901547	1291388	60300	1352510	3737426	3678769	130	295776759	147098577	442887544	636946676	1993650	2218	228144207	198867410	24297839	29240850	1847668	163463	3349333	35607	10126	79234	1649	327	482396	2610880
88	dedup	1	403	36	5.056	0.524	2.5545	4.875	1410935882	12351141	1715275	10620420	444344715	4863618	1063931260	125640	125640	8283944	227915123	446045639	560651047	4193047	45065852	5333427	1425602	32360231	1357115499	1809604	1426287899	256108416	189859075	8742561	1909850	4086436	129508	31276	4471889	547399	32250267	12647209	4296236	1071009	1412593	21344329	11199373	32543702	32534777	8462	252465132	191143698	938823	60012	1217616	3692290	3636047	141	293359053	146664695	441084838	634724358	1989624	2232	227976904	198638432	24369661	29302543	1844328	161103	3420131	35615	9471	78332	1286	325	475268	2582093
89	dedup	2	403	36	5.048	0.525	2.3625	4.5	1421702155	12297617	1705859	10743343	447156981	4871651	1061957682	124983	124983	8342149	229154437	448061626	566388097	4259651	45161699	5519139	1422142	33216110	1353521971	1809068	1425980905	255002224	191675757	8947248	1905520	4148739	130104	31060	4388672	549171	32293000	12606227	4333716	1063440	1397109	21528802	10972267	32501069	32492123	9020	253587207	191925189	940675	60924	1223623	3770796	3714712	145	295839839	146114785	439738995	632310964	2005390	2214	230310297	200571402	24759879	29702965	1843191	162551	3296183	35607	10462	78642	1341	325	477523	2579357
90	dedup	3	403	36	5.056	0.525	2.2640625	4.3125	1419548423	12242577	1699036	10643215	445540060	4893599	1068937950	125653	125653	8219805	228190590	446390645	561252028	4242068	44499586	5362385	1416789	32574849	1349053776	1808708	1422446468	254152058	191967394	8818190	1899095	4118288	132217	28827	4506291	551646	32452278	12652136	4333800	1073793	1403787	21713612	11108939	32822551	32814036	8789	257984071	194868940	1160252	61428	1217412	3800051	3743833	166	296711270	146911905	442275515	636556457	2104741	2241	228315776	198974117	24367193	29305726	1842741	161928	3372235	35603	10147	78970	1345	328	475533	2521555
91	dedup	1	518	36	5.048	0.605	2.2309375	3.6875	1435307781	12226517	1703569	10626417	445902970	4872997	1072243478	126114	126114	8235498	228048426	446118399	561346067	4221161	43920965	5185315	1404335	31691024	1351203430	1808536	1433739014	254738490	189624956	8595731	1876339	4036876	123739	28723	4397805	544120	32084006	12554509	4257084	1066543	1415961	21025634	11010278	32035912	32028630	7008	254654437	192667828	1162703	61362	996433	3661463	3607379	125	292055024	146609514	440616421	633551287	1993195	2262	228381205	199042716	24374093	29302548	1839568	163339	3321462	35613	10434	78122	1045	330	472297	2578108
92	dedup	2	518	36	5.048	0.605	2.2309375	3.6875	1422745669	12152939	1694076	10489947	442675982	4839103	1057768629	124545	124545	8170741	225600460	441666841	555981920	4151445	44038580	5078772	1393344	31177431	1346398849	1809816	1430378908	253873968	190187705	8745140	1892846	4064187	128657	26661	4423064	542974	31587455	12525382	3885465	1030564	1363901	20278158	10947431	31225589	31218819	6728	256968993	194128091	935206	61688	1109539	3743971	3688235	131	294719635	148071764	445938199	642138720	2002728	2242	228115908	198760287	24389364	29319685	1841444	161533	3368695	35607	10495	79027	1026	332	468883	2554535
93	dedup	3	518	36	5.048	0.605	2.7603125	4.5625	1417757917	12112334	1666677	10422497	441628455	4905311	1069800833	125799	125799	8213553	228202975	446645692	562288592	4206841	44778187	5302437	1434906	32313546	1363577136	1812424	1450278728	257297460	191303904	8662425	1866299	4061967	123928	27098	4395549	547814	31935485	12592330	4192467	1046413	1396377	21148108	10947239	32095347	32088256	7480	252770776	191285402	1049554	60802	996522	3671557	3616167	125	292530983	146191554	439729579	632200669	2016324	2234	227580732	198325192	24291950	29219588	1840337	160356	3303348	35603	9851	78612	1005	333	468351	2510099
94	dedup	1	614	36	5.048	0.686	2.82975	4.125	1439374701	11932895	1664726	10513140	444293032	4835459	1063005060	125210	125210	8158903	230414928	450163291	564743167	4215648	43604018	5211691	1434370	31949627	1335686162	1804040	1436193765	251959487	192307602	8676865	1861115	4071893	126633	24218	4420831	541557	31660975	12574188	4067311	1066659	1406888	20303225	10904652	31207877	31201770	6331	254500982	192446951	1290391	60935	1000393	3876903	3822192	127	297169967	145511570	437663539	629222126	2010806	2250	228175802	198883660	24331429	29256203	1838140	160619	3294263	35623	9794	78945	807	332	472413	2646442
95	dedup	2	614	36	5.048	0.686	2.358125	3.4375	1456193818	11984897	1666466	10665603	448887083	4804819	1057802795	125029	125029	8160267	227035589	444419434	558360461	4149188	43937086	5165281	1426176	31834514	1339078191	1807032	1436911280	252094015	191960925	8666704	1852827	4042980	124167	24517	4458241	545224	31604345	12591446	4069506	1042399	1391807	20783952	11014291	31798243	31791832	6291	256578543	194005482	1044047	60945	1219450	3723933	3668846	132	293514657	146854111	442358523	637128885	1984891	2225	227819522	198514050	24343101	29269534	1837071	162629	3243552	35610	9806	78962	896	328	466904	2519034
96	dedup	3	614	36	5.048	0.686	2.5725	3.75	1437373288	11950824	1672450	10520554	442498995	4825418	1058247502	124882	124882	8106991	226055023	442659395	556383203	4143737	43865559	5130880	1404822	31513200	1348524369	1808440	1449466949	254424867	191108772	8702009	1888941	4119458	122654	24982	4407919	545124	31474922	12458233	4084088	1061030	1409862	20656697	10817362	31474059	31467590	6398	254048367	192289700	1045213	60623	1348513	3762807	3708601	155	294045257	147207643	442720753	637291583	2011898	2224	228731475	199239950	24530675	29455556	1833208	159925	3244467	35615	9797	78669	895	328	468326	2540036
97	dedup	1	710	36	5.048	0.726	2.3595	3.25	1451388656	11885085	1666499	10406527	443747444	4908351	1067888155	125771	125771	8118387	227936971	445479677	559213065	4110548	43119690	4968528	1397669	30791950	1334473896	1805008	1442682363	251513034	190906385	8768216	1859283	4056131	120758	21905	4380855	539711	31159772	12391031	3979525	1052887	1410960	20047660	10748201	30795861	30790619	5765	254171818	192182162	1288030	60269	998294	3760107	3704128	170	294009457	145710879	438619549	630360003	2004615	2230	227123827	197906522	24258227	29181379	1841532	160842	3505063	35603	9440	77825	887	325	466659	2625056
98	dedup	2	710	36	5.04	0.726	2.314125	3.1875	1467088764	11981179	1666583	10558495	447912997	4877470	1066326432	125389	125389	8145782	228615625	446392299	560359944	4249199	43999994	5076616	1417960	31346428	1346638811	1810516	1459002889	254074404	189281576	8466765	1880990	4007375	120220	20685	4374718	539533	31043892	12208215	4327097	1076573	1447533	20537035	11082143	31619178	31613966	5539	255898663	193458420	1288082	61176	1106773	3742938	3688892	129	293683348	146577888	441112777	634342897	1994708	2235	228570673	199138542	24474859	29396196	1834959	160824	3235724	35605	10090	78627	832	339	468408	2597417
99	dedup	3	710	36	5.048	0.726	2.223375	3.0625	1448821384	11871423	1657922	10480799	442006054	4914241	1078030833	126049	126049	8127577	227480532	444587525	559047567	4141665	43869741	5094973	1414655	31386670	1330416151	1802368	1444857724	250834038	191303128	8694289	1880769	4068674	123666	25277	4407804	543619	31480547	12555734	4097823	1064910	1412571	20685700	11054354	31740054	31734181	5916	254428042	192418070	1157217	60338	1348838	3725652	3671488	165	292492621	146287122	440129889	632932075	1996056	2244	229600440	200043827	24597771	29520683	1835696	161860	3311007	35608	9474	78948	789	329	465444	2508388
100	dedup	1	921	36	5.04	0.887	2.4946875	2.8125	1487022281	11771437	1646223	10377262	444470042	4800733	1051786659	124321	124321	8123137	228231425	445844275	559848729	4124413	43704907	4966263	1418509	30934904	1340820006	1806448	1483181369	252947618	190217341	8559702	1831397	3980170	118395	22494	4421919	544285	30833034	12297868	3863822	1048797	1391463	19672974	10849028	30522002	30517287	5050	253176745	191783381	1293307	60580	1353434	3836083	3782078	160	295488598	146179323	439517868	631789893	2100057	2248	231071980	201284694	24828746	29751344	1837010	161360	3334795	35605	9469	78675	598	334	465746	2620476
101	dedup	2	921	36	5.04	0.846	2.538	3	1486741099	11840147	1638644	10483478	444853512	4835683	1066128605	124888	124888	8084222	227433941	444101640	558326373	4137193	43390299	4943157	1381101	30589898	1337895751	1804648	1480641239	252288375	189861043	8642365	1864953	4057256	116602	19596	4443061	545618	30773823	12319478	3942395	1048715	1408987	20144048	11265106	31409154	31404607	4849	254007577	192100116	939359	61408	1354895	3758167	3704567	151	293458204	146491021	440967438	634464153	1988807	2247	227758253	198493620	24312757	29228708	1836454	160302	3318908	35606	10097	79581	680	331	464294	2494764
102	dedup	3	921	36	5.04	0.846	2.538	3	1498795336	11788897	1646077	10436400	448610956	4869074	1067448167	125407	125407	8103934	226784205	443118983	556570108	4156329	43511435	5079712	1428230	31595389	1334180789	1805408	1477168617	251787611	190904582	8552516	1839079	4009849	121140	21258	4374918	540149	30708219	12206758	3898236	1051348	1395584	20140082	10894984	31035066	31030059	4968	255842789	193355296	1045677	61253	999002	3853865	3799815	215	296118344	148393064	446366104	643056882	2003770	2217	227487743	198249050	24284307	29202748	1835495	162255	3221295	35619	9771	78150	598	323	463044	2556448
103	dedup	1	1036	37	5.04	0.967	2.9614375	3.0625	1501958163	11674875	1654657	10373129	444239409	4864156	1061604033	124916	124916	8038831	227176651	444135557	557210532	4117323	43088822	4819087	1390545	30074089	1353794519	1811540	1513997498	255549252	191717383	8897212	1946583	4177287	118912	20584	4383410	539613	30744033	12331252	3814003	1047044	1394480	19736325	10770819	30507144	30503178	4241	252917254	191272379	1046611	60820	1107196	3754463	3699881	217	293411120	146265154	440188846	633642787	2111945	2240	228313370	198966443	24390519	29310976	1838655	160563	3415207	35620	9800	78357	589	332	462956	2533688
104	dedup	2	1036	37	5.04	0.967	2.780125	2.875	1517939263	11740513	1645979	10657110	448784747	4846728	1057297130	124969	124969	8074600	227831236	444877734	558181843	4115473	42730276	4790282	1388235	29976836	1344809234	1807112	1501750266	253925561	191147382	8660078	1908464	4086779	120536	19473	4385222	543474	30704767	12428561	3780972	1051438	1402234	19402981	11011926	30414907	30410614	4319	252676601	191208266	1157877	60682	1350090	3876616	3822421	260	296594703	146353405	439820916	632464349	1984039	2223	231545264	201625285	24959315	29884034	1837734	161620	3375394	35618	10499	78631	557	324	464081	2574939
105	dedup	3	1036	36	5.04	0.967	2.901	3	1509122782	11731111	1675295	10368120	445653437	4801738	1054910608	124747	124747	8067042	224825134	440345409	553534478	4105544	42976739	4849870	1416329	30381397	1337611986	1808072	1499850897	252543721	190454270	8541722	1840008	3994263	117712	19939	4375869	539883	30686856	12263682	3948619	1062802	1441614	19697582	11013160	30710742	30706439	4295	252326709	190855883	1285391	60228	1221571	3789606	3735627	174	293658577	146084546	439741521	632693798	2006383	2243	228839573	199404642	24484115	29398988	1833718	159674	3263403	35607	9801	77832	602	324	465255	2645062
106	dedup	1	1132	36	5.032	1.008	2.898	2.875	1515781695	11733982	1668298	10483524	446078006	4867672	1063272490	125382	125382	7981633	224802947	440141442	552955996	4147276	43342019	4958157	1434191	30898616	1336477503	1806488	1503192655	252215680	190122766	8503576	1826008	3985378	116714	18820	4407500	539844	30658264	12256065	3836093	1062478	1413901	18996266	10681889	29678155	29673784	3837	252165809	190650544	1160529	60852	998033	3744244	3690843	123	292488884	146169607	439568534	632221281	2105228	2225	226915848	197754427	24211307	29125488	1835414	160575	3330332	35619	10446	78922	499	329	457812	2474838
107	dedup	2	1132	37	5.04	1.008	3.717	3.6875	1521846695	11731865	1641124	10558365	448102834	4827962	1066262294	125061	125061	7998728	224795806	439942943	553330610	4084734	42805456	4866174	1420174	30465824	1337747559	1806376	1504449785	252476352	189170792	8501413	1872794	3997982	117369	18166	4336325	537232	30758318	12381784	3812598	1030739	1373488	19165974	10879081	30045055	30041330	3721	252553226	191415850	938395	60455	1104742	3810006	3754855	181	294435829	145661777	438748885	631110578	2006387	2226	226693821	197588672	24152289	29069203	1834558	159396	3325852	35616	10152	78126	595	324	464489	2634107
108	dedup	3	1132	37	5.04	0.967	2.65925	2.75	1509187871	11695161	1640509	10555498	444063750	4872716	1061004825	124944	124944	8112934	229386791	447911284	562274290	4216773	43059863	4812846	1388481	30070923	1332930698	1805112	1500393693	251589025	192529263	8675947	1904295	4142599	117699	18019	4375484	539731	31188333	12815024	3809998	1046135	1413660	19761684	11059301	30820985	30817290	3905	252569037	191152115	1157085	59962	1103323	3786389	3731983	168	294861365	146360040	440593961	633531259	1993402	2214	227317360	198072186	24293404	29209231	1833454	161605	3228797	35615	10148	78640	510	330	458490	2515774
109	dedup	1	1224	37	5.024	1.085	4.0009375	3.6875	1515937183	11629755	1652248	10432495	441819635	4834237	1068788729	125486	125486	8017576	227885705	444646133	557952811	4141237	42850866	4889104	1410042	30556772	1336023957	1805904	1516192793	252312159	192081727	8575736	1850838	4050706	120417	18584	4320873	537777	30229653	12118862	3822677	1056226	1415870	19707546	11020816	30728362	30724588	3548	252602320	190982168	935519	60455	1105963	3787273	3733858	198	293713816	147336648	443039503	638304361	1979265	2214	226465362	197420794	24098473	29008625	1833795	159703	3385368	35610	10179	78335	450	325	461049	2544881
110	dedup	2	1224	37	5.024	1.165	3.20375	2.75	1529333227	11693144	1631063	10352152	446585154	4840499	1059730389	124733	124733	8008516	227689132	444833758	558913250	4192041	42800992	4799463	1401919	30105351	1345017558	1810180	1528709827	253719787	191373421	8652987	1870820	4062417	117007	22803	4396707	543372	30761265	12418916	3802599	1061336	1427496	19397528	10887033	30284561	30280689	3870	252726153	191205965	930902	60629	1351563	3745946	3691930	325	292545383	146781950	441940330	635980332	1991431	2218	230966257	201248066	24761831	29682249	1839438	160405	3472891	35601	10159	78755	468	328	460569	2579552
111	dedup	3	1224	37	5.032	1.046	2.941875	2.8125	1519035017	11633767	1628893	10248925	442325209	4784765	1063659782	125194	125194	8075275	228263146	446142996	559139304	4092557	43331892	4780390	1388721	29989386	1339369784	1808776	1521097371	252611945	190379790	8515155	1858958	4017441	121967	20430	4359789	541235	30592644	12310981	3748057	1027093	1396055	19485817	10976590	30462407	30458599	4448	253300664	191542831	938374	60927	1349328	3737073	3683660	194	292300316	146267387	440244124	633123024	2000950	2237	227890256	198681363	24254704	29172951	1836354	161189	3318021	35602	11140	78630	548	330	460090	2568954
112	dedup	1	1428	38	5.024	1.406	4.657375	3.3125	1548121564	11679593	1637951	10358493	441645975	4864821	1062258675	124766	124766	8014766	226435929	442850031	556210654	4207349	43258773	4741526	1416908	30182573	1334950287	1804400	1553951836	252214194	190315044	8566003	1855101	4014130	116503	20739	4366371	541664	30303090	12214526	3825158	1068557	1436646	18959419	10970142	29929561	29925897	3677	251081214	189900022	1158255	60219	1105685	3726041	3672578	185	291421114	147541899	443608673	638924809	2017837	2218	227613404	198335546	24330055	29241927	1832475	161415	3235194	35615	9815	78430	498	325	460040	2590453
113	dedup	2	1428	37	5.024	1.406	3.778625	2.6875	1533505172	11550628	1622024	10343488	438453671	4928380	1083074411	127015	127015	8002409	229355845	447352442	560896869	4133512	42497535	4762061	1411418	29984308	1339793159	1807688	1550431858	253263508	190568012	8594866	1882326	4069366	115061	18544	4386671	539254	30279889	12198878	3770712	1069549	1446476	19096390	10970593	30066983	30063364	3699	254098787	191957601	935771	60923	1106951	3678731	3624825	277	291093089	145437899	437731335	629060645	1997149	2235	230079909	200473598	24654843	29570359	1843564	161630	3395624	35617	9768	78142	434	331	462559	2631205
114	dedup	3	1428	38	5.024	1.366	3.58575	2.625	1543966143	11679687	1625631	10342247	441876257	4805795	1054914064	124010	124010	7980469	225850073	441112900	554791355	4157824	42679858	4735585	1391392	29712444	1348080888	1808172	1556284776	254443443	191481470	8692316	1895469	4101670	117996	18573	4405631	537629	30478443	12284647	3645257	1039872	1405961	19201661	11068304	30269965	30266698	3315	252123180	190810794	1159961	60690	1347108	3738876	3685134	329	291867754	146361743	439980974	632985055	1995102	2229	226875740	197728597	24199851	29111201	1834222	160327	3322047	35622	10154	78317	401	329	457809	2549081
115	dedup	1	1479	37	5.024	1.487	3.7175	2.5	1563913020	11674377	1636057	10404572	444685125	4838593	1055919914	124459	124459	8029262	226011742	442078950	556189703	4114007	42716534	4786618	1421676	30115562	1331588955	1806312	1548117604	251216972	188174532	8462653	1862523	3957322	117202	20555	4388078	543464	30343612	12286942	3678613	1049293	1413581	18992243	10910102	29902345	29899023	3076	252221562	190831448	1044833	59976	1347210	3776785	3723049	338	293281553	145837292	438489065	630328076	1979858	2233	226873388	197731377	24190827	29106066	1836481	161954	3325291	35610	10475	79211	395	332	458824	2473857
116	dedup	2	1479	37	5.024	1.406	3.602875	2.5625	1552694358	11533908	1639558	10269305	440452587	4813702	1057182487	125023	125023	7975667	227026975	443696002	557429388	4113337	42808299	4905894	1441356	30762160	1340985479	1810160	1564687652	253392348	191812212	8569089	1851683	4054267	119795	18880	4397064	544661	30586056	12349360	3781473	1076647	1440622	19028096	10944626	29972722	29969470	3573	251444533	190391769	1041460	59973	996643	3724948	3670786	156	292741142	146337698	439802408	632698591	1981822	2212	227612223	198420601	24241882	29155686	1834920	161819	3360791	35616	10182	78988	433	330	459438	2576418
117	dedup	3	1479	37	5.024	1.487	4.4572825	2.9975	1548926203	11534636	1613926	10290385	441068867	4807213	1063474087	125232	125232	7986819	226661998	443129014	555926025	4217781	43056687	4858355	1433695	30536851	1336616558	1805544	1554154007	252430510	189973087	8544212	1892773	4045927	116852	19045	4331362	536791	30422257	12314433	3721657	1050642	1418997	18848698	10889403	29738101	29734882	3388	253677486	191685005	934230	60517	1215506	3695957	3642764	150	290636008	145968476	439032715	631481345	1979981	2241	226972074	197869133	24157390	29066988	1844207	161854	3423410	35618	10839	79263	403	332	460493	2586862
118	ferret	1	102	36	5.072	0.243	3.2264325	13.2775	1478323831	15070780	2011844	11865077	466079462	5222147	1062207	1380777	0	9068324	231665894	457853122	583705762	4492997	50454492	6152389	1356445	35409698	1413248700	1816384	1477512459	264811521	196096432	9719835	1982864	4365032	155599	60415	4595565	573776	37059105	13662069	5222147	1062207	1380777	25121702	10855667	35977369	35945298	31047	263174604	197343488	1173037	70648	1251760	3830490	3759855	202	308600824	154323767	467423353	674707339	2294176	5331132	234987291	204849987	25230467	30101215	1880787	168843	3409707	35753	10098	78493	4291	325	540177	2586321
119	ferret	2	102	36	5.072	0.243	3.5690625	14.6875	1463154849	15023314	2017805	11762116	460286852	5021820	1024690	1360985	0	9125035	235059696	463871071	588586399	4522541	50430895	5987061	1361060	34658521	1398463239	1814116	1456249699	262122461	195897403	9641833	1982476	4345462	156925	59926	4677581	577416	36865494	13623882	5021820	1024690	1360985	24693789	10907942	35601731	35569964	32500	263311459	197463427	1058325	70611	1133868	3824308	3754619	263	307802765	153079954	463547449	667833680	2278079	5285410	234761682	204762490	25094063	29963095	1890545	172780	3619601	35760	10134	77855	4290	338	544142	2627383
120	ferret	3	102	36	5.072	0.243	4.07025	16.75	1462982269	15176539	2040977	11745503	459035773	5011847	1041823	1367095	0	9178399	237909778	468755166	593667961	4632220	51004886	6156243	1388547	35518881	1418671677	1818540	1478596001	266043739	199122688	10043657	2001935	4507216	155979	63413	4705045	574172	37363473	13868998	5011847	1041823	1367095	24605274	11039554	35644828	35612889	31385	265318594	198847040	1061825	70527	1378308	3823849	3753144	171	307854623	152718906	462280473	666324518	2388525	5303872	232545724	202877459	24765953	29632164	1884249	171195	3475679	35760	10482	78742	4275	336	543919	2624939
121	ferret	1	204	36	5.072	0.324	2.2275	6.875	1429175537	13252989	1840517	11017880	452733422	4732716	1033046	1353213	0	8694423	232064637	456248011	577662868	4303812	47207428	5670333	1344961	33301766	1400296469	1816008	1450913620	263001941	192405563	9158414	1923029	4163103	137199	37137	4503163	561180	34028995	13124545	4732716	1033046	1353213	22650359	10649693	33300052	33283159	16407	262630537	196509994	943200	70845	1010614	3764825	3703969	235	302028901	149892132	453513862	653739555	2270656	5294931	233102321	203408709	24847387	29657509	1860336	165256	3467373	35747	10098	79099	2655	346	502178	2664697
122	ferret	2	204	36	5.064	0.405	2.6325	6.5	1431605802	13316331	1813012	11080910	451651305	4903666	1056017	1365812	0	8692313	231437319	455111733	576011212	4289441	47544514	6318289	1404526	36332968	1383951523	1812164	1435127978	259839132	193242219	9173964	1885447	4136519	136120	39685	4513927	558301	33982252	12810138	4903666	1056017	1365812	23896514	10878015	34774529	34758207	15715	258764226	193784575	943521	69657	1121229	3771659	3709343	199	302164268	149404874	451970516	651342644	2377696	5292793	233564150	203721539	24996972	29806514	1856506	166421	3275510	35754	9845	78483	2455	334	499634	2608096
